fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
57,94,0.606,22,45,0.489,21,28,0.75,7,22,29,35,7,11,14,25,157,0.738,0.723,0.479,0.298,20.6,64.7,42.6,61.4,6.4,17.2,11.6,144.1,139.5,0b4dcd3b-85ff-4e81-95b8-b7a10c118983,Away,1,57,95,0.6,15,31,0.484,23,28,0.821,12,27,39,28,8,4,15,23,152,0.708,0.679,0.326,0.295,35.3,79.4,57.4,49.1,7.3,8.2,12.3,139.5,144.1
50,91,0.549,18,39,0.462,13,16,0.813,5,26,31,33,10,6,15,24,131,0.668,0.648,0.429,0.176,13.2,66.7,40.3,66.0,9.4,9.5,13.3,123.2,124.1,1139ec1f-74e8-42e5-9927-2285805581fb,Home,0,48,90,0.533,11,27,0.407,25,30,0.833,13,33,46,26,7,3,19,15,132,0.64,0.594,0.3,0.333,33.3,86.8,59.7,54.2,6.6,5.8,15.5,124.1,123.2
49,102,0.48,16,38,0.421,22,24,0.917,15,25,40,24,7,8,9,21,136,0.604,0.559,0.373,0.235,34.1,64.1,48.2,49.0,7.1,11.1,7.4,138.2,114.8,3a2c3068-d7cf-4ae5-9978-671f170dac84,Home,1,43,90,0.478,7,18,0.389,20,24,0.833,14,29,43,22,6,11,14,18,113,0.562,0.517,0.2,0.267,35.9,65.9,51.8,51.2,6.1,17.2,12.2,114.8,138.2
42,88,0.477,8,33,0.242,18,24,0.75,10,32,42,26,10,6,20,24,110,0.558,0.523,0.375,0.273,25.6,78.0,52.5,61.9,9.6,9.0,16.9,105.9,109.7,406e54e0-076a-4ea7-a7b6-6f41efb8341b,Home,0,40,85,0.471,9,18,0.5,25,31,0.806,9,29,38,20,6,4,16,21,114,0.578,0.524,0.212,0.365,22.0,74.4,47.5,50.0,5.8,7.3,14.0,109.7,105.9
50,98,0.51,11,43,0.256,21,32,0.656,10,24,34,30,11,5,10,31,132,0.589,0.566,0.439,0.327,20.8,70.6,41.5,60.0,10.2,7.7,8.2,122.1,131.4,b5b4d762-8029-43d1-82f6-8d2016f2e4c9,Away,0,48,86,0.558,8,21,0.381,38,45,0.844,10,38,48,25,4,1,14,28,142,0.671,0.605,0.244,0.523,29.4,79.2,58.5,52.1,3.7,1.8,11.7,131.4,122.1
56,85,0.659,16,32,0.5,16,20,0.8,3,29,32,35,4,8,10,24,144,0.768,0.753,0.376,0.235,12.0,82.9,53.3,62.5,4.0,12.5,9.6,142.3,127.5,9cfa96a1-b59d-458f-b216-94d787ee9e31,Away,1,48,89,0.539,12,25,0.48,21,24,0.875,6,22,28,27,3,1,12,22,129,0.648,0.607,0.281,0.27,17.1,88.0,46.7,56.3,3.0,1.9,10.8,127.5,142.3
43,94,0.457,19,40,0.475,17,21,0.81,7,34,41,28,8,4,6,15,122,0.591,0.559,0.426,0.223,14.0,72.3,42.3,65.1,7.8,7.1,5.5,118.8,109.0,6c297170-36d2-4961-b6e9-ce2e76162c15,Home,1,46,97,0.474,12,41,0.293,8,12,0.667,13,43,56,27,5,9,18,19,112,0.548,0.536,0.423,0.124,27.7,86.0,57.7,58.7,4.9,16.7,15.0,109.0,118.8
50,102,0.49,7,33,0.212,21,25,0.84,15,36,51,30,9,8,10,21,128,0.566,0.525,0.324,0.245,30.6,75.0,52.6,60.0,8.6,12.7,8.1,121.9,113.3,a9f7660b-ad32-473b-96ae-fcf9ca3616c9,Away,1,43,96,0.448,12,33,0.364,21,28,0.75,12,34,46,19,3,9,12,17,119,0.549,0.51,0.344,0.292,25.0,69.4,47.4,44.2,2.9,13.0,10.0,113.3,121.9
35,95,0.368,10,41,0.244,29,33,0.879,9,23,32,27,10,7,9,33,109,0.498,0.421,0.432,0.347,17.3,65.7,36.8,77.1,9.5,9.3,7.6,103.3,116.6,88e774f1-9774-4da7-bc5a-2036dc1bdaaf,Away,0,47,88,0.534,2,13,0.154,27,35,0.771,12,43,55,25,5,10,18,25,123,0.595,0.545,0.148,0.398,34.3,82.7,63.2,53.2,4.7,18.5,14.8,116.6,103.3
52,92,0.565,13,31,0.419,14,19,0.737,11,32,43,33,8,5,18,20,131,0.653,0.636,0.337,0.207,31.4,84.2,58.9,63.5,7.8,9.6,15.2,127.1,119.4,1b0ca59c-b712-486e-b6d6-2d457ba904e7,Away,1,45,81,0.556,10,29,0.345,23,30,0.767,6,24,30,26,11,4,15,18,123,0.653,0.617,0.358,0.37,15.8,68.6,41.1,57.8,10.7,6.6,13.7,119.4,127.1
45,100,0.45,11,36,0.306,25,32,0.781,16,29,45,30,7,6,18,32,126,0.552,0.505,0.36,0.32,34.0,70.7,51.1,66.7,6.3,9.7,13.6,113.4,126.1,aafd90f0-e998-493f-80b8-8e4b59364725,Away,0,48,89,0.539,7,27,0.259,37,48,0.771,12,31,43,27,8,8,16,24,140,0.636,0.579,0.303,0.539,29.3,66.0,48.9,56.3,7.2,12.5,12.7,126.1,113.4
48,107,0.449,15,40,0.375,12,16,0.75,13,28,41,35,7,8,15,25,123,0.539,0.519,0.374,0.15,25.0,77.8,46.6,72.9,6.2,12.3,11.6,109.6,122.0,a09e4fc2-2bb4-40ad-8dc3-51328e0cecf1,Away,0,52,92,0.565,13,27,0.481,20,26,0.769,8,39,47,36,7,8,19,18,137,0.662,0.636,0.293,0.283,22.2,75.0,53.4,69.2,6.2,11.9,15.5,122.0,109.6
45,90,0.5,6,21,0.286,13,16,0.813,13,27,40,25,10,6,15,15,109,0.562,0.533,0.233,0.178,31.7,77.1,52.6,55.6,10.3,10.7,13.4,112.2,130.8,7127b891-2399-49a8-853f-2064b2eaf4cc,Away,0,48,86,0.558,18,30,0.6,13,16,0.813,8,28,36,33,10,4,15,16,127,0.683,0.663,0.349,0.186,22.9,68.3,47.4,68.8,10.3,5.8,13.9,130.8,112.2
49,95,0.516,12,33,0.364,17,21,0.81,11,23,34,38,6,7,11,21,127,0.609,0.579,0.347,0.221,25.6,62.2,42.5,77.6,5.9,11.7,9.5,125.1,148.8,aac200ba-eb47-409b-b661-cf7ce7ac155d,Home,0,56,98,0.571,19,38,0.5,20,23,0.87,14,32,46,26,4,9,11,19,151,0.698,0.668,0.388,0.235,37.8,74.4,57.5,46.4,3.9,14.5,9.2,148.8,125.1
49,80,0.613,18,39,0.462,28,30,0.933,8,30,38,37,6,8,13,20,144,0.773,0.725,0.488,0.375,27.6,65.2,50.7,75.5,6.3,12.5,12.2,150.1,117.8,d4a95769-3bdc-438f-a594-9b8da03c80f9,Home,1,45,95,0.474,8,31,0.258,15,19,0.789,16,21,37,23,6,0,12,18,113,0.547,0.516,0.326,0.2,34.8,72.4,49.3,51.1,6.3,0.0,10.4,117.8,150.1
38,90,0.422,18,52,0.346,9,11,0.818,12,27,39,28,12,9,17,21,103,0.543,0.522,0.578,0.122,26.7,77.1,48.8,73.7,12.1,18.4,15.2,103.6,116.6,ef8db566-2ab3-40fe-9af5-c2979c5b14d5,Away,0,43,84,0.512,16,35,0.457,14,21,0.667,8,33,41,27,8,7,20,14,116,0.622,0.607,0.417,0.25,22.9,73.3,51.3,62.8,8.0,18.4,17.7,116.6,103.6
43,82,0.524,15,34,0.441,9,13,0.692,7,26,33,27,7,6,15,30,110,0.627,0.616,0.415,0.159,19.4,72.2,45.8,62.8,7.4,10.9,14.6,116.8,124.2,c43a150c-b9fa-4450-b2b6-4746f4512206,Home,0,39,73,0.534,6,18,0.333,33,41,0.805,10,29,39,22,9,5,15,18,117,0.643,0.575,0.247,0.562,27.8,80.6,54.2,56.4,9.6,10.4,14.1,124.2,116.8
43,82,0.524,19,43,0.442,18,21,0.857,10,35,45,28,5,7,20,22,123,0.674,0.64,0.524,0.256,25.6,70.0,50.6,65.1,5.0,9.6,18.0,122.7,116.7,7af4b62d-62ad-4024-a33e-8a7ad5b2554d,Away,1,47,97,0.485,5,24,0.208,18,22,0.818,15,29,44,19,15,2,11,16,117,0.548,0.51,0.247,0.227,30.0,74.4,49.4,40.4,15.0,5.1,9.3,116.7,122.7
43,85,0.506,19,42,0.452,15,22,0.682,6,41,47,30,6,9,14,21,120,0.634,0.618,0.494,0.259,15.0,75.9,50.0,69.8,6.0,12.9,12.9,119.9,103.9,90d2c605-82c7-47be-a4aa-4bb9d406c869,Away,1,40,97,0.412,7,27,0.259,17,22,0.773,13,34,47,19,7,4,8,20,104,0.487,0.448,0.278,0.227,24.1,85.0,50.0,47.5,7.0,9.3,7.0,103.9,119.9
50,85,0.588,23,43,0.535,17,21,0.81,7,27,34,40,6,7,16,18,140,0.743,0.724,0.506,0.247,20.6,64.3,44.7,80.0,5.9,12.1,14.5,138.4,124.5,cc29812f-7756-42e5-b684-03c29b7f44c6,Home,1,45,95,0.474,17,37,0.459,19,27,0.704,15,27,42,24,12,2,14,19,126,0.589,0.563,0.389,0.284,35.7,79.4,55.3,53.3,11.9,4.8,11.6,124.5,138.4
43,97,0.443,5,35,0.143,31,38,0.816,14,38,52,23,7,5,7,24,122,0.536,0.469,0.361,0.392,26.9,82.6,53.1,53.5,6.7,9.4,5.8,117.1,108.5,3cc6504d-aaad-4a4d-8436-02649822c481,Away,1,41,93,0.441,10,40,0.25,21,26,0.808,8,38,46,27,4,8,11,26,113,0.541,0.495,0.43,0.28,17.4,73.1,46.9,65.9,3.8,12.9,9.5,108.5,117.1
50,90,0.556,14,35,0.4,28,34,0.824,7,37,44,34,7,5,11,27,142,0.676,0.633,0.389,0.378,17.9,78.7,51.2,68.0,6.5,9.1,9.5,132.6,121.4,92a2a933-7a39-4300-9e39-7e569cf85871,Home,1,46,92,0.5,14,37,0.378,24,32,0.75,10,32,42,30,6,4,13,25,130,0.613,0.576,0.402,0.348,21.3,82.1,48.8,65.2,5.6,7.3,10.9,121.4,132.6
60,94,0.638,19,39,0.487,11,13,0.846,8,31,39,50,12,3,16,24,150,0.752,0.739,0.415,0.138,24.2,68.9,50.0,83.3,11.6,5.9,13.8,144.4,111.7,e8cb9fe8-5a2c-44bb-9548-197bc6e94320,Home,1,40,93,0.43,10,42,0.238,26,30,0.867,14,25,39,21,6,3,14,11,116,0.546,0.484,0.452,0.323,31.1,75.8,50.0,52.5,5.8,5.5,11.6,111.7,144.4
38,92,0.413,8,42,0.19,17,22,0.773,10,28,38,23,12,2,9,18,101,0.497,0.457,0.457,0.239,18.9,68.3,40.4,60.5,12.0,4.1,8.1,101.2,118.3,2f51ad66-5cc4-41b2-bce1-ed10ecde595b,Home,0,46,90,0.511,16,41,0.39,10,19,0.526,13,43,56,26,6,6,18,20,118,0.6,0.6,0.456,0.211,31.7,81.1,59.6,56.5,6.0,12.0,15.5,118.3,101.2
48,91,0.527,19,40,0.475,18,22,0.818,9,30,39,29,6,7,13,23,133,0.661,0.632,0.44,0.242,23.7,69.8,48.1,60.4,5.9,12.7,11.4,130.0,128.1,cdfd7dca-b71c-4425-b87f-6a3a12b59c21,Home,1,47,90,0.522,17,35,0.486,20,29,0.69,13,29,42,26,3,8,15,20,131,0.637,0.617,0.389,0.322,30.2,76.3,51.9,55.3,2.9,15.7,12.7,128.1,130.0
41,92,0.446,8,25,0.32,22,24,0.917,14,40,54,31,7,6,14,22,112,0.546,0.489,0.272,0.261,29.8,75.5,54.0,75.6,7.0,10.5,12.0,111.9,103.9,684d3068-314b-42aa-ada3-08c135b07d5d,Home,1,38,88,0.432,7,31,0.226,21,30,0.7,13,33,46,24,8,8,14,23,104,0.514,0.472,0.352,0.341,24.5,70.2,46.0,63.2,8.0,11.9,12.2,103.9,111.9
53,79,0.671,11,18,0.611,9,12,0.75,10,35,45,41,12,9,27,21,126,0.748,0.741,0.228,0.152,38.5,74.5,61.6,77.4,12.0,15.3,24.3,126.1,108.0,326a7a1d-0c35-4071-95d0-2708bb8e296c,Away,1,40,89,0.449,11,30,0.367,17,23,0.739,12,16,28,25,14,2,15,13,108,0.545,0.511,0.337,0.258,25.5,61.5,38.4,62.5,14.0,3.3,13.1,108.0,126.1
43,92,0.467,8,29,0.276,15,22,0.682,14,23,37,28,11,1,13,21,109,0.536,0.511,0.315,0.239,28.0,85.2,48.1,65.1,11.1,2.0,11.3,110.5,118.6,a064e5ca-786d-4f36-8057-545e5252621a,Away,0,46,71,0.648,10,20,0.5,15,23,0.652,4,36,40,31,8,3,22,18,117,0.721,0.718,0.282,0.324,14.8,72.0,51.9,67.4,8.1,4.8,21.3,118.6,110.5
38,95,0.4,9,31,0.29,20,25,0.8,18,25,43,27,9,4,14,31,105,0.495,0.447,0.326,0.263,33.3,71.4,48.3,71.1,9.1,7.1,11.7,106.2,133.6,74d1d7fd-e998-4981-9b07-b285cf2c42ca,Away,0,45,81,0.556,11,25,0.44,31,35,0.886,10,36,46,29,5,8,15,17,132,0.685,0.623,0.309,0.432,28.6,66.7,51.7,64.4,5.1,12.5,13.5,133.6,106.2
49,89,0.551,13,33,0.394,15,19,0.789,4,30,34,33,5,6,12,20,126,0.647,0.624,0.371,0.213,11.8,78.9,47.2,67.3,4.9,12.5,11.0,124.1,119.1,a08cc17d-cc07-4301-bcde-1e46acb691f3,Away,1,44,85,0.518,15,37,0.405,18,32,0.563,8,30,38,27,7,6,11,20,121,0.611,0.606,0.435,0.376,21.1,88.2,52.8,61.4,6.9,10.7,10.0,119.1,124.1
39,91,0.429,20,47,0.426,17,25,0.68,6,31,37,34,3,6,14,26,115,0.564,0.538,0.516,0.275,13.6,77.5,44.0,87.2,2.9,8.3,12.1,111.5,114.4,3ad288fb-3b25-4504-afa5-2ad6b7ce6da0,Away,0,42,84,0.5,4,12,0.333,30,35,0.857,9,38,47,18,3,11,11,21,118,0.594,0.524,0.143,0.417,22.5,86.4,56.0,42.9,2.9,25.0,10.0,114.4,111.5
41,94,0.436,14,31,0.452,14,23,0.609,14,26,40,28,9,4,11,20,110,0.528,0.511,0.33,0.245,26.9,81.3,47.6,68.3,9.1,7.0,9.6,111.0,118.1,1e294756-2a91-4070-a39f-3d30ebc96ebe,Away,0,47,82,0.573,8,25,0.32,15,18,0.833,6,38,44,25,7,5,17,24,117,0.651,0.622,0.305,0.22,18.8,73.1,52.4,53.2,7.1,7.9,15.9,118.1,111.0
43,87,0.494,5,21,0.238,18,21,0.857,7,31,38,24,4,1,10,16,109,0.566,0.523,0.241,0.241,18.4,73.8,47.5,55.8,4.2,1.8,9.4,114.0,119.2,a55cbae2-853d-4ec6-87b0-280bc7dbeeb6,Home,0,44,88,0.5,11,33,0.333,15,17,0.882,11,31,42,22,5,9,12,17,114,0.597,0.563,0.375,0.193,26.2,81.6,52.5,50.0,5.2,13.6,11.2,119.2,114.0
53,93,0.57,12,28,0.429,16,21,0.762,12,43,55,35,6,8,21,33,134,0.655,0.634,0.301,0.226,32.4,87.8,64.0,66.0,5.5,13.8,17.0,122.5,111.5,ef4e9b10-fac2-424d-b4e0-9ba1f04a553d,Home,1,42,87,0.483,7,29,0.241,31,43,0.721,6,25,31,24,13,6,12,20,122,0.576,0.523,0.333,0.494,12.2,67.6,36.0,57.1,11.9,9.2,10.2,111.5,122.5
58,109,0.532,8,26,0.308,9,15,0.6,21,27,48,34,8,3,13,17,133,0.575,0.569,0.239,0.138,40.4,79.4,55.8,58.6,7.5,5.1,10.1,124.4,122.5,af048bfb-ecb8-4695-ac3b-d35c2166c338,Home,1,51,89,0.573,13,30,0.433,16,18,0.889,7,31,38,24,8,5,20,17,131,0.676,0.646,0.337,0.202,20.6,59.6,44.2,47.1,7.5,6.0,17.1,122.5,124.4
44,90,0.489,13,35,0.371,15,16,0.938,11,33,44,31,8,6,10,26,116,0.598,0.561,0.389,0.178,25.6,71.7,49.4,70.5,8.5,11.5,9.3,123.5,117.1,8e43e0b9-edb6-4b50-abfb-41f3338284a5,Home,1,38,82,0.463,11,30,0.367,23,31,0.742,13,32,45,20,5,7,13,20,110,0.575,0.53,0.366,0.378,28.3,74.4,50.6,52.6,5.3,12.7,12.0,117.1,123.5
50,108,0.463,12,39,0.308,12,15,0.8,19,31,50,33,4,2,8,21,124,0.541,0.519,0.361,0.139,36.5,81.6,55.6,66.0,4.0,3.9,6.5,124.5,129.5,6ca08db7-1d96-4005-a650-15e10d6e2085,Away,0,47,87,0.54,17,36,0.472,18,22,0.818,7,33,40,25,6,9,12,16,129,0.667,0.638,0.414,0.253,18.4,63.5,44.4,53.2,6.0,13.0,11.0,129.5,124.5
42,93,0.452,13,33,0.394,8,13,0.615,9,35,44,21,9,9,13,25,105,0.532,0.522,0.355,0.14,20.0,59.3,42.3,50.0,9.2,13.8,11.6,107.0,111.1,22dd4ec2-6a82-488c-8b52-01d73f1bf62a,Away,0,41,103,0.398,8,38,0.211,19,25,0.76,24,36,60,15,8,7,10,14,109,0.478,0.437,0.369,0.243,40.7,80.0,57.7,36.6,8.2,11.7,8.1,111.1,107.0
46,85,0.541,10,29,0.345,20,24,0.833,8,31,39,23,13,3,22,20,122,0.638,0.6,0.341,0.282,21.6,77.5,50.6,50.0,12.0,5.4,18.7,112.8,122.9,28f8b23f-5194-488d-bb15-4b89b58f569c,Home,0,51,90,0.567,13,34,0.382,18,28,0.643,9,29,38,26,15,3,17,17,133,0.65,0.639,0.378,0.311,22.5,78.4,49.4,51.0,13.9,5.4,14.2,122.9,112.8
45,92,0.489,11,33,0.333,14,18,0.778,11,38,49,34,5,4,11,15,115,0.575,0.549,0.359,0.196,25.6,77.6,53.3,75.6,5.2,6.8,9.9,118.8,102.3,de4f0574-d73d-4e60-bfc6-4670ede1e80c,Away,1,35,88,0.398,8,29,0.276,21,25,0.84,11,32,43,18,6,5,11,16,99,0.5,0.443,0.33,0.284,22.4,74.4,46.7,51.4,6.2,8.5,10.0,102.3,118.8
