fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
39,93,0.419,5,29,0.172,27,33,0.818,12,30,42,24,12,1,12,19,110,0.512,0.446,0.312,0.355,23.5,71.4,45.2,61.5,11.6,2.0,10.0,106.4,112.2,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,0,43,86,0.5,11,37,0.297,19,26,0.731,12,39,51,34,5,3,19,21,116,0.595,0.564,0.43,0.302,28.6,76.5,54.8,79.1,4.8,4.7,16.3,112.2,106.4
42,87,0.483,12,32,0.375,24,30,0.8,9,35,44,28,7,6,14,20,120,0.599,0.552,0.368,0.345,21.4,74.5,49.4,66.7,6.8,13.0,12.3,115.9,121.7,a009147a-a754-4e1b-8ac2-828ed13f0420,Home,NYK,0,43,90,0.478,20,44,0.455,20,28,0.714,12,33,45,30,9,6,16,21,126,0.616,0.589,0.489,0.311,25.5,78.6,50.6,69.8,8.7,10.9,13.5,121.7,115.9
47,93,0.505,15,37,0.405,18,22,0.818,13,33,46,32,15,2,17,17,127,0.618,0.586,0.398,0.237,32.5,73.3,54.1,68.1,14.5,4.8,14.2,123.1,106.6,2c77f85c-6ab1-48f2-9c52-d17c035f444a,Away,MIL,1,39,86,0.453,16,44,0.364,16,20,0.8,12,27,39,22,10,3,23,22,110,0.58,0.547,0.512,0.233,26.7,67.5,45.9,56.4,9.7,5.4,19.5,106.6,123.1
48,86,0.558,14,30,0.467,17,18,0.944,4,32,36,28,6,7,11,12,127,0.676,0.64,0.349,0.209,12.5,76.2,48.6,58.3,6.1,12.3,10.5,128.7,114.5,98c8a29f-fcb3-4b17-9d7f-3e71f57ae0c0,Home,MIN,1,44,90,0.489,16,33,0.485,9,15,0.6,10,28,38,24,5,5,14,17,113,0.585,0.578,0.367,0.167,23.8,87.5,51.4,54.5,5.1,8.9,12.7,114.5,128.7
46,92,0.5,9,32,0.281,29,32,0.906,14,43,57,26,8,3,21,16,130,0.613,0.549,0.348,0.348,32.6,87.8,62.0,56.5,7.2,4.9,16.5,117.7,109.6,968c8146-431e-416f-9f03-14950189c8d7,Home,WAS,1,51,101,0.505,10,40,0.25,9,14,0.643,6,29,35,32,14,3,11,25,121,0.565,0.554,0.396,0.139,12.2,67.4,38.0,62.7,12.7,5.0,9.3,109.6,117.7
45,93,0.484,14,41,0.341,19,24,0.792,19,33,52,28,4,6,13,16,123,0.594,0.559,0.441,0.258,42.2,78.6,59.8,62.2,4.3,11.3,11.2,131.4,112.2,56defeb0-a670-44b5-b60e-0a90950ef59e,Away,NOP,1,40,84,0.476,8,31,0.258,17,21,0.81,9,26,35,24,9,7,11,15,105,0.563,0.524,0.369,0.25,21.4,57.8,40.2,60.0,9.6,13.5,10.6,112.2,131.4
38,102,0.373,14,42,0.333,27,32,0.844,25,34,59,27,8,3,15,16,117,0.504,0.441,0.412,0.314,39.7,75.6,54.6,71.1,7.8,5.1,11.4,113.6,122.3,b199da22-295b-42ab-9ff5-f3a4901eb61e,Away,OKC,0,45,94,0.479,14,35,0.4,22,23,0.957,11,38,49,27,7,7,13,22,126,0.605,0.553,0.372,0.245,24.4,60.3,45.4,60.0,6.8,11.7,11.1,122.3,113.6
41,85,0.482,15,39,0.385,23,30,0.767,8,28,36,22,13,7,18,25,120,0.611,0.571,0.459,0.353,21.6,60.9,43.4,53.7,12.5,11.1,15.5,115.5,114.6,7c73d073-5480-4ddd-8e98-0b97e263b6c2,Away,ORL,1,42,90,0.467,10,27,0.37,25,35,0.714,18,29,47,19,12,6,19,24,119,0.565,0.522,0.3,0.389,39.1,78.4,56.6,45.2,11.6,13.0,15.3,114.6,115.5
38,87,0.437,18,46,0.391,15,18,0.833,15,33,48,23,6,6,22,19,109,0.574,0.54,0.529,0.207,31.9,82.5,55.2,60.5,6.0,13.0,18.8,108.8,116.8,0c534b3c-24b7-406d-baf6-01334dc6cbec,Home,MIA,0,41,84,0.488,12,38,0.316,23,25,0.92,7,32,39,23,10,4,15,14,117,0.616,0.56,0.452,0.298,17.5,68.1,44.8,56.1,10.0,9.8,13.6,116.8,108.8
45,87,0.517,12,33,0.364,24,26,0.923,10,31,41,28,9,7,14,19,126,0.64,0.586,0.379,0.299,26.3,68.9,49.4,62.2,8.9,11.5,12.5,125.1,119.1,a48a4b6c-e8df-43b8-ba5c-aa6897ef7871,Away,DET,1,47,90,0.522,10,29,0.345,16,23,0.696,14,28,42,36,9,6,17,20,120,0.599,0.578,0.322,0.256,31.1,73.7,50.6,76.6,8.9,11.1,14.5,119.1,125.1
