fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
40,81,0.494,12,29,0.414,15,22,0.682,11,33,44,27,11,6,18,16,107,0.59,0.568,0.358,0.272,27.5,63.5,47.8,67.5,11.6,11.5,16.6,112.5,99.9,e0e6b264-4486-400e-8f6c-df9b8b645d0b,Away,POR,1,36,89,0.404,10,37,0.27,13,18,0.722,19,29,48,17,11,2,19,17,95,0.49,0.461,0.416,0.202,36.5,72.5,52.2,47.2,11.6,3.8,16.4,99.9,112.5,LAL
39,83,0.47,6,29,0.207,21,29,0.724,10,32,42,26,13,1,18,13,105,0.548,0.506,0.349,0.349,26.3,84.2,55.3,66.7,13.1,2.1,15.8,105.6,104.6,4c0d1cff-7590-490d-a990-93ebd1414b31,Home,HOU,1,41,84,0.488,14,37,0.378,8,10,0.8,6,28,34,35,7,3,18,25,104,0.588,0.571,0.44,0.119,15.8,73.7,44.7,85.4,7.0,5.6,16.9,104.6,105.6,LAL
49,86,0.57,11,29,0.379,22,27,0.815,9,43,52,35,6,5,15,15,131,0.669,0.634,0.337,0.314,23.7,76.8,55.3,71.4,5.8,9.3,13.3,127.2,96.2,2445db3c-3ca0-481e-b4e6-25fd500ac093,Home,UTA,1,38,98,0.388,11,44,0.25,12,16,0.75,13,29,42,25,6,3,14,22,99,0.471,0.444,0.449,0.163,23.2,76.3,44.7,65.8,5.8,5.3,11.8,96.2,127.2,LAL
39,84,0.464,11,29,0.379,12,19,0.632,9,42,51,26,1,2,13,17,101,0.547,0.53,0.345,0.226,19.6,79.2,51.5,66.7,1.1,4.3,12.3,107.0,110.2,302ca748-e2df-4f08-a9be-711f5b57fe3a,Home,DAL,0,38,96,0.396,16,50,0.32,12,16,0.75,11,37,48,21,5,4,4,18,104,0.505,0.479,0.521,0.167,20.8,80.4,48.5,55.3,5.3,7.3,3.7,110.2,107.0,LAL
47,90,0.522,9,27,0.333,18,21,0.857,9,35,44,34,9,8,18,15,121,0.61,0.572,0.3,0.233,23.1,83.3,54.3,72.3,8.5,12.7,15.4,114.5,108.8,87a1b92c-8734-4bc3-b810-23f79530dad6,Away,CLE,1,43,91,0.473,9,28,0.321,20,23,0.87,7,30,37,30,13,4,14,16,115,0.569,0.522,0.308,0.253,16.7,76.9,45.7,69.8,12.3,6.3,12.2,108.8,114.5,LAL
39,83,0.47,7,28,0.25,9,13,0.692,6,26,32,23,3,4,17,18,94,0.53,0.512,0.337,0.157,15.4,63.4,40.0,59.0,3.2,8.5,16.1,98.8,145.0,4dff9ef1-1d47-4ccc-96e8-0cf571cafb7d,Away,PHI,0,47,93,0.505,22,46,0.478,22,26,0.846,15,33,48,33,11,2,7,17,138,0.661,0.624,0.495,0.28,36.6,84.6,60.0,70.2,11.6,3.6,6.3,145.0,98.8,LAL
45,88,0.511,12,34,0.353,31,38,0.816,8,41,49,28,7,10,12,12,133,0.635,0.58,0.386,0.432,21.6,80.4,55.7,62.2,6.7,16.4,10.3,126.7,102.0,2a099743-e7ad-4775-8881-bbc4bb3d0428,Away,DET,1,40,97,0.412,15,36,0.417,12,14,0.857,10,29,39,28,8,3,14,31,107,0.519,0.49,0.371,0.144,19.6,78.4,44.3,70.0,7.6,5.6,11.9,102.0,126.7,LAL
36,81,0.444,11,33,0.333,27,32,0.844,7,34,41,24,6,2,14,20,110,0.578,0.512,0.407,0.395,14.9,81.0,46.1,66.7,5.9,3.8,12.8,108.1,130.7,fc46126c-71e1-4801-af67-e11e54445170,Away,OKC,0,50,94,0.532,14,42,0.333,19,22,0.864,8,40,48,29,9,6,9,24,133,0.641,0.606,0.447,0.234,19.0,85.1,53.9,58.0,8.8,12.5,8.0,130.7,108.1,LAL
40,89,0.449,8,27,0.296,19,27,0.704,9,39,48,24,11,7,12,17,107,0.53,0.494,0.303,0.303,17.3,78.0,47.1,60.0,10.8,12.1,10.6,105.2,95.4,ac8c2fb3-d310-4360-82e1-082f44d29686,Home,HOU,1,36,89,0.404,11,31,0.355,14,18,0.778,11,43,54,24,5,7,17,23,97,0.5,0.466,0.348,0.202,22.0,82.7,52.9,66.7,4.9,11.3,14.9,95.4,105.2,LAL
38,102,0.373,9,30,0.3,21,25,0.84,21,24,45,24,11,2,10,19,106,0.469,0.417,0.294,0.245,36.8,75.0,50.6,63.2,11.5,4.0,8.1,110.4,107.3,2fc54210-6fbf-4b35-8adf-4bf6938d58ba,Home,PHO,1,37,75,0.493,12,25,0.48,17,21,0.81,8,36,44,25,8,5,22,21,103,0.611,0.573,0.333,0.28,25.0,63.2,49.4,67.6,8.3,6.9,20.7,107.3,110.4,LAL
47,86,0.547,17,35,0.486,22,29,0.759,11,48,59,31,6,4,15,16,133,0.673,0.645,0.407,0.337,26.8,80.0,58.4,66.0,5.9,6.3,13.2,130.8,87.5,3213e1a3-699d-440c-94c7-74c49efb0b5f,Home,NOP,1,34,95,0.358,7,31,0.226,14,20,0.7,12,30,42,22,7,5,12,21,89,0.429,0.395,0.326,0.211,20.0,73.2,41.6,64.7,6.9,9.8,10.4,87.5,130.8,LAL
47,88,0.534,2,13,0.154,27,35,0.771,12,43,55,25,5,10,18,25,123,0.595,0.545,0.148,0.398,34.3,82.7,63.2,53.2,4.7,18.5,14.8,116.6,103.3,6357271d-91b8-4398-a7fc-d3d7d7432379,Home,IND,1,35,95,0.368,10,41,0.244,29,33,0.879,9,23,32,27,10,7,9,33,109,0.498,0.421,0.432,0.347,17.3,65.7,36.8,77.1,9.5,9.3,7.6,103.3,116.6,LAL
49,91,0.538,15,29,0.517,12,18,0.667,10,30,40,34,4,4,15,20,125,0.632,0.621,0.319,0.198,29.4,71.4,52.6,69.4,4.1,8.7,13.2,129.1,131.2,d12ec423-eac2-4030-8e69-be3a34d2f20f,Away,DAL,0,44,89,0.494,21,43,0.488,18,21,0.857,12,24,36,28,7,5,10,17,127,0.646,0.612,0.483,0.236,28.6,70.6,47.4,63.6,7.2,8.1,9.2,131.2,129.1,LAL
49,91,0.538,14,35,0.4,10,17,0.588,5,41,46,31,14,4,16,16,122,0.619,0.615,0.385,0.187,12.2,80.4,50.0,63.3,12.9,6.8,14.0,112.0,109.3,590c388b-e7a5-41dd-8493-f1784781fc6f,Away,SAS,1,45,96,0.469,16,37,0.432,13,18,0.722,10,36,46,28,8,6,17,16,119,0.573,0.552,0.385,0.188,19.6,87.8,50.0,62.2,7.3,10.7,14.1,109.3,112.0,LAL
43,89,0.483,11,36,0.306,18,28,0.643,9,34,43,32,5,5,6,15,115,0.568,0.545,0.404,0.315,20.0,79.1,48.9,74.4,5.1,9.4,5.6,116.6,130.8,3348b5d7-9f16-49f7-9fab-877f0101c765,Away,SAS,0,47,95,0.495,18,42,0.429,17,19,0.895,9,36,45,35,5,5,9,19,129,0.624,0.589,0.442,0.2,20.9,80.0,51.1,74.5,5.1,9.4,8.0,130.8,116.6,LAL
42,99,0.424,13,41,0.317,12,13,0.923,9,32,41,29,9,3,10,17,109,0.52,0.49,0.414,0.131,18.0,74.4,44.1,69.0,8.8,5.2,8.7,107.0,111.9,5d062b96-9703-4a18-b688-17f378485bdd,Home,NYK,0,42,88,0.477,10,30,0.333,20,23,0.87,11,41,52,21,5,6,16,16,114,0.581,0.534,0.341,0.261,25.6,82.0,55.9,50.0,4.9,10.3,14.0,111.9,107.0,LAL
42,94,0.447,12,37,0.324,12,15,0.8,8,32,40,27,7,7,14,11,108,0.537,0.511,0.394,0.16,16.3,82.1,45.5,64.3,6.8,13.0,12.2,105.0,120.6,12230500-921c-42d8-95ce-21dc4872c836,Away,CHI,0,48,88,0.545,18,34,0.529,10,11,0.909,7,41,48,25,7,6,16,15,124,0.668,0.648,0.386,0.125,17.9,83.7,54.5,52.1,6.8,10.5,14.7,120.6,105.0,LAL
41,83,0.494,10,24,0.417,19,24,0.792,7,31,38,21,6,6,18,18,111,0.593,0.554,0.289,0.289,18.4,77.5,48.7,51.2,5.9,11.8,16.1,109.6,116.6,16c3deda-4146-44b7-976c-816f358c6310,Away,MIN,0,42,87,0.483,14,36,0.389,20,25,0.8,9,31,40,32,13,7,14,19,118,0.602,0.563,0.414,0.287,22.5,81.6,51.3,76.2,12.8,11.9,12.5,116.6,109.6,LAL
47,90,0.522,16,32,0.5,19,23,0.826,8,36,44,37,7,7,9,13,129,0.644,0.611,0.356,0.256,20.5,76.6,51.2,78.7,7.1,13.0,8.2,130.2,121.2,582aeee9-7663-4e13-811a-a5ec476f5f5d,Away,OKC,1,46,95,0.484,13,41,0.317,15,19,0.789,11,31,42,24,6,7,9,17,120,0.58,0.553,0.432,0.2,23.4,79.5,48.8,52.2,6.1,12.1,8.0,121.2,130.2,LAL
