fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
45,104,0.433,22,54,0.407,11,19,0.579,5,34,39,37,7,11,12,25,123,0.547,0.538,0.519,0.183,9.3,57.6,34.5,82.2,6.0,15.1,9.6,106.0,113.8,Away,CHI,44,110,0.4,13,37,0.351,31,38,0.816,25,49,74,29,6,8,19,18,132,0.521,0.459,0.336,0.345,42.4,90.7,65.5,65.9,5.2,16.0,13.0,113.8,106.0,CLE
33,83,0.398,18,41,0.439,26,30,0.867,12,41,53,25,7,6,16,20,110,0.572,0.506,0.494,0.361,26.7,82.0,55.8,75.8,7.2,11.3,14.3,112.7,102.5,Away,DET,33,89,0.371,10,36,0.278,24,28,0.857,9,33,42,24,10,7,9,23,100,0.493,0.427,0.404,0.315,18.0,73.3,44.2,72.7,10.2,16.7,8.2,102.5,112.7,CLE
39,87,0.448,17,44,0.386,3,8,0.375,10,29,39,31,7,5,11,11,98,0.541,0.546,0.506,0.092,21.3,74.4,45.3,79.5,7.8,10.6,10.8,108.8,118.8,Home,NYK,42,86,0.488,16,39,0.41,7,10,0.7,10,37,47,32,8,9,12,13,107,0.592,0.581,0.453,0.116,25.6,78.7,54.7,76.2,8.9,20.9,11.7,118.8,108.8,CLE
39,90,0.433,20,42,0.476,7,11,0.636,8,34,42,28,11,3,9,10,105,0.554,0.544,0.467,0.122,17.0,70.8,44.2,71.8,11.7,5.5,8.7,111.7,110.6,Home,BOS,39,93,0.419,15,38,0.395,11,12,0.917,14,39,53,24,6,9,13,13,104,0.529,0.5,0.409,0.129,29.2,83.0,55.8,61.5,6.4,18.8,11.7,110.6,111.7,CLE
39,89,0.438,10,44,0.227,13,17,0.765,10,32,42,27,5,4,15,16,101,0.523,0.494,0.494,0.191,22.7,80.0,50.0,69.2,5.2,7.4,13.5,104.7,116.1,Away,ATL,43,84,0.512,11,30,0.367,15,20,0.75,8,34,42,27,7,3,11,17,112,0.603,0.577,0.357,0.238,20.0,77.3,50.0,62.8,7.3,6.7,10.6,116.1,104.7,CLE
38,88,0.432,11,34,0.324,26,36,0.722,10,36,46,27,7,8,13,20,113,0.544,0.494,0.386,0.409,20.8,83.7,50.5,71.1,6.6,12.5,11.1,106.9,98.4,Home,MIN,39,94,0.415,8,30,0.267,18,22,0.818,7,38,45,25,5,5,14,25,104,0.502,0.457,0.319,0.234,16.3,79.2,49.5,64.1,4.7,9.3,11.9,98.4,106.9,CLE
37,76,0.487,14,32,0.438,13,20,0.65,5,26,31,25,8,4,12,17,101,0.596,0.579,0.421,0.263,13.5,76.5,43.7,67.6,8.7,9.1,12.4,110.4,131.1,Home,BRK,42,79,0.532,18,35,0.514,18,20,0.9,8,32,40,33,7,3,15,17,120,0.683,0.646,0.443,0.253,23.5,86.5,56.3,78.6,7.6,6.8,14.6,131.1,110.4,CLE
40,84,0.476,15,46,0.326,16,19,0.842,10,27,37,30,9,0,13,18,111,0.601,0.565,0.548,0.226,25.0,69.2,46.8,75.0,9.7,0.0,12.3,119.4,125.9,Home,PHO,46,84,0.548,12,32,0.375,13,19,0.684,12,30,42,23,8,6,14,18,117,0.633,0.619,0.381,0.226,30.8,75.0,53.2,50.0,8.6,15.8,13.2,125.9,119.4,CLE
47,92,0.511,20,45,0.444,2,3,0.667,8,38,46,38,4,4,12,18,116,0.622,0.62,0.489,0.033,18.2,84.4,51.7,80.9,4.2,6.9,11.4,121.2,99.3,Away,NOP,35,80,0.438,4,22,0.182,21,26,0.808,7,36,43,22,7,6,12,13,95,0.519,0.463,0.275,0.325,15.6,81.8,48.3,62.9,7.3,12.8,11.6,99.3,121.2,CLE
37,82,0.451,12,38,0.316,17,20,0.85,7,38,45,22,6,7,16,12,103,0.567,0.524,0.463,0.244,15.9,77.6,48.4,59.5,6.0,12.5,15.0,103.6,117.7,Away,HOU,47,98,0.48,15,42,0.357,8,12,0.667,11,37,48,28,9,7,10,19,117,0.566,0.556,0.429,0.122,22.4,84.1,51.6,59.6,9.1,15.9,8.8,117.7,103.6,CLE
