fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
35,79,0.443,10,29,0.345,17,22,0.773,5,29,34,19,10,3,16,21,97,0.547,0.506,0.367,0.278,12.2,74.4,42.5,54.3,10.3,6.7,15.3,100.0,106.2,3209e508-8565-4a6d-9d1a-4b2bc06ed40e,Home,0,38,79,0.481,11,34,0.324,16,23,0.696,10,36,46,24,7,7,19,22,103,0.578,0.551,0.43,0.291,25.6,87.8,57.5,63.2,7.2,14.0,17.6,106.2,100.0
36,81,0.444,16,45,0.356,14,19,0.737,10,34,44,24,9,6,13,22,102,0.571,0.543,0.556,0.235,25.6,87.2,56.4,66.7,9.8,14.6,12.7,110.6,105.2,f62baeaa-7a70-4f09-bce3-62a99ed97787,Home,1,33,77,0.429,12,36,0.333,19,23,0.826,5,29,34,23,9,0,15,18,97,0.557,0.506,0.468,0.299,12.8,74.4,43.6,69.7,9.8,0.0,14.7,105.2,110.6
37,81,0.457,11,37,0.297,15,16,0.938,7,29,36,21,2,7,11,16,100,0.568,0.525,0.457,0.198,17.1,76.3,45.6,56.8,2.2,14.3,11.1,110.1,129.9,5272eda0-8344-4419-a536-90e1387ca70e,Home,0,42,84,0.5,17,35,0.486,17,20,0.85,9,34,43,31,7,1,10,19,118,0.636,0.601,0.417,0.238,23.7,82.9,54.4,73.8,7.7,2.3,9.7,129.9,110.1
34,88,0.386,17,44,0.386,17,17,1.0,11,27,38,22,7,2,12,26,102,0.534,0.483,0.5,0.193,24.4,71.1,45.8,64.7,7.6,4.3,11.2,110.2,125.3,9ba4d85e-ab08-4b89-8eb7-7c2fe5ec9ede,Away,0,37,75,0.493,11,29,0.379,31,38,0.816,11,34,45,24,4,12,14,17,116,0.632,0.567,0.387,0.507,28.9,75.6,54.2,64.9,4.3,27.3,13.2,125.3,110.2
42,82,0.512,12,27,0.444,12,19,0.632,9,28,37,20,5,2,13,20,108,0.598,0.585,0.329,0.232,25.0,68.3,48.1,47.6,5.4,4.5,12.6,115.8,129.8,50bef532-306f-4d70-bac8-75790abf98ae,Away,0,44,83,0.53,13,39,0.333,20,27,0.741,13,27,40,32,8,6,14,14,121,0.638,0.608,0.47,0.325,31.7,75.0,51.9,72.7,8.6,10.9,12.9,129.8,115.8
40,83,0.482,12,32,0.375,17,22,0.773,10,30,40,21,3,2,11,18,109,0.588,0.554,0.386,0.265,24.4,78.9,50.6,52.5,3.3,6.7,10.6,119.7,129.6,3e6f187e-df0c-4eb6-8d21-518d283f0d94,Away,0,41,83,0.494,25,53,0.472,11,15,0.733,8,31,39,29,7,2,11,19,118,0.658,0.645,0.639,0.181,21.1,75.6,49.4,70.7,7.7,3.9,10.9,129.6,119.7
39,90,0.433,9,28,0.321,10,18,0.556,9,28,37,25,11,7,8,13,97,0.495,0.483,0.311,0.2,18.0,71.8,41.6,64.1,11.4,17.1,7.6,100.4,128.4,a60ebbd3-58f4-4010-8a75-d9b23e230496,Away,0,47,90,0.522,21,49,0.429,9,12,0.75,11,41,52,36,6,9,16,18,124,0.651,0.639,0.544,0.133,28.2,82.0,58.4,76.6,6.2,14.5,14.4,128.4,100.4
45,98,0.459,13,37,0.351,17,22,0.773,14,37,51,32,14,4,21,18,120,0.557,0.526,0.378,0.224,29.2,80.4,54.3,71.1,12.5,8.0,16.3,107.1,100.8,fc23e254-2e3c-403c-a727-b124cd2ae2c3,Home,1,44,98,0.449,16,48,0.333,9,13,0.692,9,34,43,28,12,6,21,21,113,0.545,0.531,0.49,0.133,19.6,70.8,45.7,63.6,10.7,9.8,16.8,100.8,107.1
48,88,0.545,17,40,0.425,11,15,0.733,12,29,41,32,6,8,13,21,124,0.655,0.642,0.455,0.17,31.6,69.0,51.3,66.7,6.4,14.0,12.1,132.0,125.6,6725d533-f38c-4887-83be-69c59bdf4722,Home,1,41,82,0.5,8,25,0.32,28,35,0.8,13,26,39,20,10,1,12,17,118,0.606,0.549,0.305,0.427,31.0,68.4,48.8,48.8,10.6,2.1,11.0,125.6,132.0
38,90,0.422,12,25,0.48,23,29,0.793,21,36,57,23,6,6,16,16,111,0.54,0.489,0.278,0.322,41.2,75.0,57.6,60.5,6.2,11.3,13.5,115.1,103.7,66a4f278-1afa-4251-8f6e-d5f905eeec23,Home,1,39,90,0.433,10,37,0.27,12,12,1.0,12,30,42,25,9,9,17,24,100,0.525,0.489,0.411,0.133,25.0,58.8,42.4,64.1,9.3,13.8,15.1,103.7,115.1
47,102,0.461,13,28,0.464,14,24,0.583,24,32,56,27,9,2,8,19,121,0.537,0.525,0.275,0.235,41.4,76.2,56.0,57.4,9.6,4.9,6.6,128.7,119.1,43f90fc8-c0c2-438f-b326-47bd2b724f28,Away,1,39,83,0.47,17,42,0.405,17,20,0.85,10,34,44,35,4,9,13,20,112,0.61,0.572,0.506,0.241,23.8,58.6,44.0,89.7,4.3,12.2,12.4,119.1,128.7
47,114,0.412,15,34,0.441,20,25,0.8,18,33,51,25,3,4,6,27,129,0.516,0.478,0.298,0.219,30.0,84.6,51.5,53.2,2.8,8.2,4.6,120.9,124.7,cb83902b-da67-4f58-a2f0-d6d4effcf827,Away,0,44,86,0.512,15,37,0.405,30,37,0.811,6,42,48,34,5,4,11,21,133,0.65,0.599,0.43,0.43,15.4,70.0,48.5,77.3,4.7,5.0,9.7,124.7,120.9
36,86,0.419,13,40,0.325,21,23,0.913,11,30,41,26,6,9,14,22,106,0.551,0.494,0.465,0.267,26.2,66.7,47.1,72.2,6.4,17.0,12.7,113.8,122.4,0a291870-838b-403b-99bc-09e53df57220,Home,0,39,83,0.47,14,30,0.467,22,32,0.688,15,31,46,28,4,4,11,20,114,0.587,0.554,0.361,0.386,33.3,73.8,52.9,71.8,4.3,8.7,10.2,122.4,113.8
45,93,0.484,14,36,0.389,20,30,0.667,11,32,43,32,8,2,5,23,124,0.584,0.559,0.387,0.323,24.4,80.0,50.6,71.1,8.3,4.3,4.5,128.3,120.1,8b70e141-837a-4073-bfb8-580511d29ff1,Away,1,37,80,0.463,15,34,0.441,27,35,0.771,8,34,42,26,2,1,11,20,116,0.608,0.556,0.425,0.438,20.0,75.6,49.4,70.3,2.1,1.8,10.3,120.1,128.3
37,77,0.481,16,38,0.421,26,29,0.897,11,29,40,25,8,4,15,19,116,0.646,0.584,0.494,0.377,32.4,78.4,56.3,67.6,8.7,8.3,14.3,126.4,128.6,4afc6f6a-dc8f-48b4-829c-076cc25c6828,Away,0,43,83,0.518,13,35,0.371,19,25,0.76,8,23,31,26,7,2,10,19,118,0.628,0.596,0.422,0.301,21.6,67.6,43.7,60.5,7.6,5.1,9.6,128.6,126.4
42,89,0.472,12,29,0.414,12,15,0.8,11,34,45,24,7,9,10,15,108,0.565,0.539,0.326,0.169,23.9,79.1,50.6,57.1,7.4,16.1,9.5,114.1,109.8,333ca96e-a5f8-4264-9569-2caf3e7cc20d,Away,1,38,88,0.432,11,32,0.344,17,19,0.895,9,35,44,23,8,8,12,17,104,0.54,0.494,0.364,0.216,20.9,76.1,49.4,60.5,8.4,13.3,11.1,109.8,114.1
48,88,0.545,18,34,0.529,10,11,0.909,7,41,48,25,7,6,16,15,124,0.668,0.648,0.386,0.125,17.9,83.7,54.5,52.1,6.8,10.5,14.7,120.6,105.0,3d387342-2e2c-4b22-b910-aecdaccef703,Home,1,42,94,0.447,12,37,0.324,12,15,0.8,8,32,40,27,7,7,14,11,108,0.537,0.511,0.394,0.16,16.3,82.1,45.5,64.3,6.8,13.0,12.2,105.0,120.6
49,90,0.544,7,28,0.25,9,11,0.818,5,31,36,24,11,5,12,18,114,0.601,0.583,0.311,0.122,13.5,77.5,46.8,49.0,11.2,9.8,11.2,116.2,96.8,71fa30d8-cc6a-4dce-a215-5d628aa7f621,Home,1,37,81,0.457,10,30,0.333,11,16,0.688,9,32,41,24,6,7,19,11,95,0.54,0.519,0.37,0.198,22.5,86.5,53.2,64.9,6.1,11.3,17.8,96.8,116.2
