mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,43,91,.473,16,37,.432,15,21,.714,11,38,49,27,6,4,13,15,117,,,.584,.560,.407,.231,23.4,77.6,51.0,62.8,5.9,6.2,11.5,100.0,115.9,113.0,,Home,WAS,240,44,97,.454,11,32,.344,15,18,.833,11,36,47,26,7,3,10,18,114,,,.543,.510,.330,.186,22.4,76.6,49.0,59.1,6.9,5.6,8.7,100.0,113.0,115.9,,Away,CHO
240,44,83,.530,13,30,.433,16,25,.640,5,31,36,27,6,7,18,26,117,,,.622,.608,.361,.301,11.9,81.6,45.0,61.4,5.6,11.7,16.1,100.0,109.7,121.9,,Away,ORL,240,47,87,.540,10,27,.370,26,33,.788,7,37,44,33,10,3,15,26,130,,,.640,.598,.310,.379,18.4,88.1,55.0,70.2,9.4,5.7,12.9,100.0,121.9,109.7,,Home,CHO
240,37,89,.416,13,31,.419,4,7,.571,13,28,41,21,8,2,17,14,91,,,.494,.489,.348,.079,25.0,65.1,43.2,56.8,8.5,4.0,15.6,100.0,96.1,121.5,,Away,NYK,240,41,88,.466,15,38,.395,18,20,.900,15,39,54,21,10,7,16,12,115,,,.594,.551,.432,.227,34.9,75.0,56.8,51.2,10.6,12.1,14.2,100.0,121.5,96.1,,Home,CHO
240,46,91,.505,21,36,.583,16,16,1.000,13,28,41,30,6,7,9,16,129,,,.658,.621,.396,.176,30.2,56.0,44.1,65.2,6.4,10.1,8.4,100.0,138.0,137.0,,Away,BRK,240,52,105,.495,14,36,.389,10,15,.667,22,30,52,21,6,4,9,11,128,,,.573,.562,.343,.143,44.0,69.8,55.9,40.4,6.4,7.3,7.5,100.0,137.0,138.0,,Home,CHO
240,44,91,.484,12,25,.480,17,19,.895,10,26,36,29,6,4,8,22,117,,,.589,.549,.275,.209,24.4,72.2,46.8,65.9,6.3,7.5,7.5,100.0,123.7,130.1,,Home,MIN,240,43,84,.512,11,31,.355,26,30,.867,10,31,41,26,5,3,11,16,123,,,.633,.577,.369,.357,27.8,75.6,53.2,60.5,5.3,4.5,10.2,100.0,130.1,123.7,,Away,CHO
240,39,90,.433,10,37,.270,12,12,1.000,12,30,42,25,9,9,17,24,100,,,.525,.489,.411,.133,25.0,58.8,42.4,64.1,9.3,13.8,15.1,100.0,103.7,115.1,,Away,CHI,240,38,90,.422,12,25,.480,23,29,.793,21,36,57,23,6,6,16,16,111,,,.540,.489,.278,.322,41.2,75.0,57.6,60.5,6.2,11.3,13.5,100.0,115.1,103.7,,Home,CHO
240,44,79,.557,13,25,.520,18,20,.900,7,24,31,30,7,4,16,15,119,,,.678,.639,.316,.253,20.0,63.2,42.5,68.2,7.3,6.6,15.4,100.0,123.5,120.3,,Home,TOR,240,47,93,.505,6,32,.188,16,21,.762,14,28,42,32,7,2,14,21,116,,,.567,.538,.344,.226,36.8,80.0,57.5,68.1,7.3,3.7,12.0,100.0,120.3,123.5,,Away,CHO
240,40,84,.476,17,41,.415,17,22,.773,6,25,31,31,3,2,11,22,114,,,.608,.577,.488,.262,14.6,75.8,41.9,77.5,3.2,4.8,10.5,100.0,121.2,123.3,,Home,MIA,240,37,77,.481,15,35,.429,27,34,.794,8,35,43,31,7,3,11,22,116,,,.631,.578,.455,.442,24.2,85.4,58.1,83.8,7.4,7.0,10.7,100.0,123.3,121.2,,Away,CHO
240,41,77,.532,12,31,.387,10,11,.909,4,27,31,27,11,5,21,18,104,,,.635,.610,.403,.143,11.8,61.4,39.7,65.9,11.2,8.9,20.4,100.0,106.2,117.4,,Away,MIA,240,41,86,.477,15,30,.500,18,19,.947,17,30,47,29,10,3,23,12,115,,,.609,.564,.349,.221,38.6,88.2,60.3,70.7,10.2,6.5,19.6,100.0,117.4,106.2,,Home,CHO
240,41,92,.446,9,31,.290,16,21,.762,8,31,39,18,7,4,8,24,107,,,.528,.495,.337,.228,17.4,73.8,44.3,43.9,7.1,7.5,7.3,100.0,109.2,114.3,,Home,NOP,240,38,80,.475,9,27,.333,27,32,.844,11,38,49,24,4,5,16,17,112,,,.595,.531,.338,.400,26.2,82.6,55.7,63.2,4.1,8.2,14.5,100.0,114.3,109.2,,Away,CHO
