mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,43,76,.566,7,17,.412,27,28,.964,11,27,38,26,8,8,15,18,120,,,.679,.612,.224,.368,37.9,69.2,55.9,60.5,8.9,14.3,14.5,100.0,132.8,118.4,,Home,POR,240,38,87,.437,14,31,.452,17,20,.850,12,18,30,20,8,3,13,20,107,,,.558,.517,.356,.230,30.8,62.1,44.1,52.6,8.9,5.1,11.9,100.0,118.4,132.8,,Away,PHO
240,34,76,.447,11,28,.393,44,52,.846,11,32,43,22,9,8,15,22,123,,,.622,.520,.368,.684,25.6,74.4,50.0,64.7,8.8,13.8,13.2,100.0,120.0,112.2,,Home,GSW,240,43,90,.478,10,32,.313,19,29,.655,11,32,43,29,10,3,16,34,115,,,.560,.533,.356,.322,25.6,74.4,50.0,67.4,9.8,6.3,13.5,100.0,112.2,120.0,,Away,PHO
240,39,76,.513,11,31,.355,21,28,.750,7,34,41,22,10,6,13,12,110,,,.623,.586,.408,.368,19.4,85.0,53.9,56.4,10.8,12.8,12.8,100.0,119.2,96.4,,Away,MEM,240,37,80,.463,9,33,.273,6,10,.600,6,29,35,22,6,2,15,22,89,,,.527,.519,.413,.125,15.0,80.6,46.1,59.5,6.5,4.4,15.1,100.0,96.4,119.2,,Home,PHO
240,42,91,.462,16,38,.421,16,21,.762,18,29,47,27,4,11,13,25,116,,,.579,.549,.418,.231,41.9,69.0,55.3,64.3,4.4,19.3,11.5,100.0,128.4,125.1,,Away,NYK,240,39,86,.453,12,29,.414,23,32,.719,13,25,38,18,7,5,7,19,113,,,.565,.523,.337,.372,31.0,58.1,44.7,46.2,7.7,9.4,6.5,100.0,125.1,128.4,,Home,PHO
240,38,94,.404,7,26,.269,22,23,.957,12,35,47,25,3,5,10,15,105,,,.504,.441,.277,.245,26.1,70.0,49.0,65.8,3.1,7.6,8.8,100.0,109.0,116.3,,Away,TOR,240,42,93,.452,10,27,.370,18,21,.857,15,34,49,25,7,5,10,22,112,,,.548,.505,.290,.226,30.0,73.9,51.0,59.5,7.3,7.4,8.9,100.0,116.3,109.0,,Home,PHO
240,39,84,.464,9,27,.333,24,26,.923,8,35,43,22,4,9,12,17,111,,,.582,.518,.321,.310,22.2,89.7,57.3,56.4,4.1,16.1,11.2,100.0,114.8,123.1,,Home,DEN,240,50,88,.568,12,32,.375,7,12,.583,4,28,32,38,8,4,9,21,119,,,.638,.636,.364,.136,10.3,77.8,42.7,76.0,8.3,7.0,8.8,100.0,123.1,114.8,,Away,PHO
240,36,83,.434,9,26,.346,35,43,.814,12,32,44,24,10,5,17,21,116,,,.569,.488,.313,.518,27.3,80.0,52.4,66.7,9.7,9.1,14.3,100.0,112.6,105.8,,Home,MEM,240,39,86,.453,9,31,.290,22,24,.917,8,32,40,14,9,8,17,31,109,,,.564,.506,.360,.279,20.0,72.7,47.6,35.9,8.7,14.0,15.0,100.0,105.8,112.6,,Away,PHO
240,37,75,.493,12,25,.480,17,21,.810,8,36,44,25,8,5,22,21,103,,,.611,.573,.333,.280,25.0,63.2,49.4,67.6,8.3,6.9,20.7,100.0,107.3,110.4,,Away,LAL,240,38,102,.373,9,30,.300,21,25,.840,21,24,45,24,11,2,10,19,106,,,.469,.417,.294,.245,36.8,75.0,50.6,63.2,11.5,4.0,8.1,100.0,110.4,107.3,,Home,PHO
240,40,83,.482,11,32,.344,15,23,.652,8,32,40,26,8,5,11,19,106,,,.569,.548,.386,.277,18.6,68.1,44.4,65.0,8.4,9.4,10.6,100.0,111.2,119.6,,Home,SAC,240,42,92,.457,14,39,.359,16,20,.800,15,35,50,25,7,0,13,22,114,,,.565,.533,.424,.217,31.9,81.4,55.6,59.5,7.3,0.0,11.4,100.0,119.6,111.2,,Away,PHO
240,38,84,.452,14,39,.359,29,34,.853,7,34,41,27,8,7,15,22,119,,,.601,.536,.464,.405,15.6,72.3,44.6,71.1,7.7,15.2,13.2,100.0,114.6,111.7,,Home,GSW,240,41,92,.446,16,46,.348,18,27,.667,13,38,51,26,9,1,15,28,116,,,.558,.533,.500,.293,27.7,84.4,55.4,63.4,8.7,2.2,12.6,100.0,111.7,114.6,,Away,PHO
240,40,84,.476,9,28,.321,23,27,.852,14,35,49,28,5,4,12,20,112,,,.584,.530,.333,.321,35.0,77.8,57.6,70.0,5.4,8.3,11.1,100.0,121.4,125.7,,Home,BRK,240,41,89,.461,15,41,.366,19,24,.792,10,26,36,24,9,4,7,17,116,,,.583,.545,.461,.270,22.2,65.0,42.4,58.5,9.8,7.1,6.6,100.0,125.7,121.4,,Away,PHO
