fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
40,92,0.435,14,43,0.326,17,20,0.85,6,43,49,22,6,6,7,22,111,0.551,0.511,0.467,0.217,14.0,82.7,51.6,55.0,6.2,12.0,6.5,114.4,93.8,77b9ea28-a4f3-41e0-9fbc-85cc62191ff3,Home,1,27,82,0.329,7,32,0.219,30,35,0.857,9,37,46,17,3,7,9,19,91,0.467,0.372,0.39,0.427,17.3,86.0,48.4,63.0,3.1,14.3,8.5,93.8,114.4
40,82,0.488,12,29,0.414,13,15,0.867,6,43,49,25,9,9,14,21,105,0.593,0.561,0.354,0.183,16.7,72.9,51.6,62.5,9.3,14.1,13.6,108.3,88.7,74c69c55-5bac-4453-99cb-6fa91d9d2c5b,Home,1,32,94,0.34,7,30,0.233,15,21,0.714,16,30,46,17,8,4,15,14,86,0.417,0.378,0.319,0.223,27.1,83.3,48.4,53.1,8.3,7.5,12.7,88.7,108.3
42,85,0.494,8,29,0.276,23,29,0.793,10,30,40,33,2,6,12,27,115,0.588,0.541,0.341,0.341,25.6,76.9,51.3,78.6,2.1,10.9,10.9,119.3,125.5,becaf697-8313-4e2f-8e6a-e5096dbcd7ad,Away,0,42,89,0.472,12,34,0.353,25,29,0.862,9,29,38,25,5,4,7,25,121,0.595,0.539,0.382,0.326,23.1,74.4,48.7,59.5,5.2,7.1,6.4,125.5,119.3
47,86,0.547,16,41,0.39,14,19,0.737,8,27,35,27,3,5,9,20,124,0.657,0.64,0.477,0.221,22.2,67.5,46.1,57.4,3.2,9.6,8.7,133.1,143.8,1d06b3e1-ddeb-4ee3-83be-4a8c3b6b3c73,Away,0,48,95,0.505,19,43,0.442,19,26,0.731,13,28,41,37,4,2,4,18,134,0.629,0.605,0.453,0.274,32.5,77.8,53.9,77.1,4.3,4.4,3.6,143.8,133.1
36,89,0.404,11,31,0.355,14,18,0.778,11,43,54,24,5,7,17,23,97,0.5,0.466,0.348,0.202,22.0,82.7,52.9,66.7,4.9,11.3,14.9,95.4,105.2,5c19f5dc-ea8c-4093-98c8-01d1af0e2d94,Away,0,40,89,0.449,8,27,0.296,19,27,0.704,9,39,48,24,11,7,12,17,107,0.53,0.494,0.303,0.303,17.3,78.0,47.1,60.0,10.8,12.1,10.6,105.2,95.4
40,83,0.482,15,33,0.455,15,22,0.682,10,43,53,28,6,5,21,16,110,0.593,0.572,0.398,0.265,27.8,91.5,63.9,70.0,6.0,8.6,18.5,109.4,100.5,2435b9aa-77d9-4f42-9d52-f2abcb2a1384,Home,1,37,87,0.425,8,29,0.276,19,24,0.792,4,26,30,22,14,10,9,21,101,0.518,0.471,0.333,0.276,8.5,72.2,36.1,59.5,13.9,20.0,8.4,100.5,109.4
35,82,0.427,13,39,0.333,31,42,0.738,11,36,47,21,3,3,10,20,114,0.567,0.506,0.476,0.512,23.9,75.0,50.0,60.0,3.1,4.8,9.1,117.7,109.5,510d45fc-54a0-4325-a409-25c3cb469504,Away,1,38,90,0.422,10,28,0.357,20,27,0.741,12,35,47,22,4,5,10,24,106,0.52,0.478,0.311,0.3,25.0,76.1,50.0,57.9,4.1,11.6,8.9,109.5,117.7
32,93,0.344,12,39,0.308,17,20,0.85,15,45,60,20,7,2,16,18,93,0.457,0.409,0.419,0.215,26.3,83.3,54.1,62.5,6.9,4.3,13.6,91.8,80.9,b6ae3b07-9331-416a-933b-d357f88ff879,Home,1,31,87,0.356,5,41,0.122,15,22,0.682,9,42,51,20,9,5,17,14,82,0.424,0.385,0.471,0.253,16.7,73.7,45.9,64.5,8.9,9.3,15.0,80.9,91.8
39,86,0.453,12,32,0.375,27,37,0.73,15,43,58,23,6,3,19,28,117,0.572,0.523,0.372,0.43,30.6,89.6,59.8,59.0,5.8,6.8,15.7,113.7,101.1,8ec4bcaa-50f7-4b6d-8e17-3d1dc7c806d2,Home,1,35,82,0.427,10,38,0.263,24,34,0.706,5,34,39,25,7,4,11,30,104,0.536,0.488,0.463,0.415,10.4,69.4,40.2,71.4,6.8,7.4,10.2,101.1,113.7
32,88,0.364,11,29,0.379,28,32,0.875,15,36,51,18,10,10,11,19,103,0.505,0.426,0.33,0.364,30.0,73.5,51.5,56.3,10.3,19.2,9.7,106.1,98.9,3728a34f-439d-475b-a7f6-e4acde051aff,Away,1,37,92,0.402,11,40,0.275,11,15,0.733,13,35,48,19,4,8,18,24,96,0.487,0.462,0.435,0.163,26.5,70.0,48.5,51.4,4.1,13.6,15.4,98.9,106.1
45,85,0.529,11,27,0.407,18,21,0.857,6,25,31,26,8,4,10,21,119,0.631,0.594,0.318,0.247,16.7,61.0,40.3,57.8,8.1,7.4,9.6,120.6,129.8,6c4df81b-ce49-4c8a-9d24-1c86790ca7aa,Away,0,45,90,0.5,13,36,0.361,25,32,0.781,16,30,46,25,4,1,17,23,128,0.615,0.572,0.4,0.356,39.0,83.3,59.7,55.6,4.1,1.7,14.0,129.8,120.6
47,102,0.461,12,33,0.364,24,27,0.889,15,32,47,34,9,5,14,32,130,0.571,0.52,0.324,0.265,38.5,69.6,55.3,72.3,8.6,10.2,10.9,123.5,128.3,7d93ce3a-1d61-464c-875d-5b30815f211d,Away,0,47,97,0.485,19,48,0.396,22,34,0.647,14,24,38,29,7,8,12,25,135,0.603,0.582,0.495,0.351,30.4,61.5,44.7,61.7,6.7,11.6,9.7,128.3,123.5
44,89,0.494,16,34,0.471,23,23,1.0,8,29,37,25,4,6,9,23,127,0.641,0.584,0.382,0.258,20.0,70.7,45.7,56.8,4.0,11.8,8.3,128.3,135.4,dc8ebe76-8f7f-4414-80f0-c1d106520445,Home,0,47,91,0.516,17,40,0.425,23,28,0.821,12,32,44,31,4,3,12,18,134,0.648,0.61,0.44,0.308,29.3,80.0,54.3,66.0,4.0,5.5,10.4,135.4,128.3
46,95,0.484,11,38,0.289,19,23,0.826,12,51,63,21,7,3,17,22,122,0.58,0.542,0.4,0.242,26.7,78.5,57.3,45.7,6.5,4.9,13.9,113.3,89.1,caa340c5-74cd-4456-b8e6-1a01cb78c33f,Home,1,35,101,0.347,7,40,0.175,19,26,0.731,14,33,47,18,10,1,12,17,96,0.427,0.381,0.396,0.257,21.5,73.3,42.7,51.4,9.3,1.8,9.6,89.1,113.3
35,82,0.427,9,29,0.31,27,35,0.771,13,31,44,21,9,2,12,20,106,0.544,0.482,0.354,0.427,28.3,70.5,48.9,60.0,9.5,3.9,11.0,111.9,109.8,6b582859-2aca-4e44-84e2-1a9a02271496,Away,1,38,82,0.463,8,31,0.258,20,29,0.69,13,33,46,21,9,7,16,22,104,0.549,0.512,0.378,0.354,29.5,71.7,51.1,55.3,9.5,13.2,14.4,109.8,111.9
