fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
44,94,0.468,16,35,0.457,17,18,0.944,10,34,44,32,8,4,5,18,121,0.594,0.553,0.372,0.191,21.7,79.1,49.4,72.7,8.5,7.5,4.7,129.2,105.7,342533ac-6c0e-4735-b552-2ba693da94da,Away,BRK,1,38,81,0.469,11,28,0.393,12,16,0.75,9,36,45,24,2,8,15,14,99,0.562,0.537,0.346,0.198,20.9,78.3,50.6,63.2,2.1,13.6,14.6,105.7,129.2,PHI
40,96,0.417,11,35,0.314,28,34,0.824,14,30,44,19,12,8,14,25,119,0.536,0.474,0.365,0.354,25.0,68.2,44.0,47.5,11.3,11.6,11.2,112.1,114.9,15b31701-1102-4247-a5bf-e3bbb6d53866,Home,CLE,0,46,94,0.489,9,25,0.36,21,25,0.84,14,42,56,33,9,4,16,21,122,0.581,0.537,0.266,0.266,31.8,75.0,56.0,71.7,8.5,6.6,13.2,114.9,112.1,PHI
34,87,0.391,7,32,0.219,24,30,0.8,16,32,48,21,9,12,15,23,99,0.494,0.431,0.368,0.345,29.6,76.2,50.0,61.8,9.1,19.0,13.0,100.5,113.7,96d47594-fb8f-4dfd-b94c-6ae879a6fde2,Away,MIN,0,43,89,0.483,10,26,0.385,16,24,0.667,10,38,48,28,10,8,13,21,112,0.562,0.539,0.292,0.27,23.8,70.4,50.0,65.1,10.1,14.5,11.5,113.7,100.5,PHI
38,83,0.458,14,41,0.341,37,45,0.822,17,32,49,30,2,9,13,26,127,0.618,0.542,0.494,0.542,40.5,71.1,56.3,78.9,2.1,16.4,11.2,133.7,129.5,6899a7e2-69e8-4f5d-8f15-796b38782642,Away,OKC,1,43,98,0.439,16,43,0.372,21,26,0.808,13,25,38,29,3,3,4,27,123,0.562,0.52,0.439,0.265,28.9,59.5,43.7,67.4,3.2,7.1,3.5,129.5,133.7,PHI
47,93,0.505,22,46,0.478,22,26,0.846,15,33,48,33,11,2,7,17,138,0.661,0.624,0.495,0.28,36.6,84.6,60.0,70.2,11.6,3.6,6.3,145.0,98.8,4dff9ef1-1d47-4ccc-96e8-0cf571cafb7d,Home,LAL,1,39,83,0.47,7,28,0.25,9,13,0.692,6,26,32,23,3,4,17,18,94,0.53,0.512,0.337,0.157,15.4,63.4,40.0,59.0,3.2,8.5,16.1,98.8,145.0,PHI
42,81,0.519,14,34,0.412,16,18,0.889,8,22,30,28,8,7,21,26,114,0.641,0.605,0.42,0.222,22.9,62.9,42.9,66.7,8.1,14.6,19.1,115.2,125.3,38149b9e-394a-43ce-9f62-7563e3fb491e,Away,NOP,0,42,78,0.538,10,30,0.333,30,34,0.882,13,27,40,33,11,4,21,22,124,0.667,0.603,0.385,0.436,37.1,77.1,57.1,78.6,11.1,8.5,18.4,125.3,115.2,PHI
43,94,0.457,16,35,0.457,17,23,0.739,15,27,42,16,16,5,16,24,119,0.571,0.543,0.372,0.245,29.4,73.0,47.7,37.2,15.7,11.4,13.3,116.9,122.8,997c54ec-25a4-43d3-bb40-42372095f791,Away,BOS,0,39,77,0.506,16,33,0.485,31,36,0.861,10,36,46,25,10,8,20,18,125,0.673,0.61,0.429,0.468,27.0,70.6,52.3,64.1,9.8,13.6,17.7,122.8,116.9,PHI
47,92,0.511,8,27,0.296,29,34,0.853,11,32,43,29,7,2,11,14,131,0.612,0.554,0.293,0.37,26.8,94.1,57.3,61.7,6.8,3.5,9.3,126.3,121.5,25bde535-8f27-4589-83d3-b00175c9dc40,Away,WAS,1,52,92,0.565,14,35,0.4,8,8,1.0,2,30,32,39,8,6,11,22,126,0.66,0.641,0.38,0.087,5.9,73.2,42.7,75.0,7.7,9.2,10.3,121.5,126.3,PHI
42,87,0.483,11,30,0.367,30,37,0.811,14,34,48,24,6,8,11,14,125,0.605,0.546,0.345,0.425,30.4,59.6,46.6,57.1,6.1,12.3,9.6,126.7,115.5,b5217381-563c-49a1-844d-3ee7180a916c,Home,ATL,1,41,104,0.394,13,39,0.333,19,21,0.905,23,32,55,20,3,4,14,23,114,0.503,0.457,0.375,0.202,40.4,69.6,53.4,48.8,3.0,7.0,11.0,115.5,126.7,PHI
52,95,0.547,20,46,0.435,22,25,0.88,9,38,47,37,14,6,14,27,146,0.689,0.653,0.484,0.263,22.5,74.5,51.6,71.2,13.0,11.1,11.7,136.0,94.1,8806a11e-516c-4aaa-ac13-19f111a62ebc,Home,WAS,1,36,85,0.424,9,31,0.29,20,31,0.645,13,31,44,21,5,2,22,19,101,0.512,0.476,0.365,0.365,25.5,77.5,48.4,58.3,4.7,4.1,18.2,94.1,136.0,PHI
45,87,0.517,11,30,0.367,28,34,0.824,10,43,53,28,6,4,11,20,129,0.633,0.58,0.345,0.391,25.6,87.8,60.2,62.2,5.9,7.3,9.7,126.7,109.0,8d92ccbb-a7a4-43a6-82d4-d741d56c15ec,Away,DET,1,39,88,0.443,10,33,0.303,23,30,0.767,6,29,35,24,6,3,10,22,111,0.548,0.5,0.375,0.341,12.2,74.4,39.8,61.5,5.9,5.3,9.0,109.0,126.7,PHI
41,98,0.418,14,37,0.378,28,31,0.903,16,38,54,24,17,8,12,23,124,0.555,0.49,0.378,0.316,31.4,84.4,56.3,58.5,16.4,13.3,9.7,119.9,89.0,684e0c72-733a-45f5-b084-35a82229631c,Home,DET,1,35,81,0.432,4,21,0.19,18,23,0.783,7,35,42,19,3,7,21,25,92,0.505,0.457,0.259,0.284,15.6,68.6,43.8,54.3,2.9,11.5,18.7,89.0,119.9,PHI
53,88,0.602,14,31,0.452,15,17,0.882,5,40,45,30,10,6,10,17,135,0.707,0.682,0.352,0.193,15.2,83.3,55.6,56.6,10.1,10.7,9.5,136.9,83.2,88924417-bbaf-4ffd-807f-a4481c7f8cdc,Away,CHO,1,33,91,0.363,7,35,0.2,9,11,0.818,8,28,36,15,3,4,13,14,82,0.428,0.401,0.385,0.121,16.7,84.8,44.4,45.5,3.0,7.0,11.9,83.2,136.9,PHI
38,88,0.432,11,32,0.344,17,19,0.895,9,35,44,23,8,8,12,17,104,0.54,0.494,0.364,0.216,20.9,76.1,49.4,60.5,8.4,13.3,11.1,109.8,114.1,913e3123-af53-43fb-907a-919a3dcd3c03,Home,CHI,0,42,89,0.472,12,29,0.414,12,15,0.8,11,34,45,24,7,9,10,15,108,0.565,0.539,0.326,0.169,23.9,79.1,50.6,57.1,7.4,16.1,9.5,114.1,109.8,PHI
45,84,0.536,8,22,0.364,29,32,0.906,7,29,36,20,9,3,12,25,127,0.647,0.583,0.262,0.381,18.9,76.3,48.0,44.4,8.9,5.3,10.9,126.1,112.2,289cc133-2acf-4406-b3ce-f2d45c0ef145,Home,MIN,1,42,82,0.512,9,25,0.36,20,24,0.833,9,30,39,22,4,2,19,22,113,0.61,0.567,0.305,0.293,23.7,81.1,52.0,52.4,4.0,3.2,17.0,112.2,126.1,PHI
44,83,0.53,14,31,0.452,19,21,0.905,3,35,38,34,6,6,14,21,121,0.656,0.614,0.373,0.253,7.9,76.1,45.2,77.3,6.0,11.1,13.2,121.0,111.0,aff179f8-db23-4d01-9347-916df428a30b,Home,TOR,1,39,87,0.448,9,33,0.273,24,28,0.857,11,35,46,30,9,6,12,16,111,0.559,0.5,0.379,0.322,23.9,92.1,54.8,76.9,9.0,11.5,10.8,111.0,121.0,PHI
40,94,0.426,17,45,0.378,16,25,0.64,5,31,36,23,11,4,8,22,113,0.538,0.516,0.479,0.266,10.4,70.5,39.1,57.5,10.8,7.7,7.1,110.7,116.6,6fdcecbd-94f5-45b7-8cfb-02ba3a279f00,Away,MIA,0,40,84,0.476,12,32,0.375,27,35,0.771,13,43,56,27,5,7,14,17,119,0.599,0.548,0.381,0.417,29.5,89.6,60.9,67.5,4.9,14.3,12.3,116.6,110.7,PHI
45,96,0.469,10,28,0.357,12,17,0.706,12,36,48,14,10,8,10,19,112,0.541,0.521,0.292,0.177,26.1,80.0,52.7,31.1,10.4,17.4,8.8,116.1,95.4,e4c64573-bca4-4595-8615-9ef0efc95c12,Away,ORL,1,31,79,0.392,9,33,0.273,21,24,0.875,9,34,43,17,5,11,16,18,92,0.514,0.449,0.418,0.304,20.0,73.9,47.3,54.8,5.2,16.2,15.2,95.4,116.1,PHI
45,86,0.523,12,33,0.364,29,33,0.879,11,19,30,22,10,5,10,21,131,0.652,0.593,0.384,0.384,28.2,57.6,41.7,48.9,10.3,8.2,9.0,134.9,130.8,2549db3d-b1b4-42eb-a961-1b099789ccac,Away,HOU,1,49,91,0.538,14,30,0.467,15,21,0.714,14,28,42,30,8,6,17,24,127,0.633,0.615,0.33,0.231,42.4,71.8,58.3,61.2,8.2,11.3,14.5,130.8,134.9,PHI
36,92,0.391,9,38,0.237,11,15,0.733,12,24,36,24,12,5,8,22,92,0.467,0.44,0.413,0.163,22.6,66.7,40.4,66.7,12.9,9.3,7.5,98.6,112.6,8e8858bf-9c1c-4e35-8f71-88edd13babf8,Away,CHI,0,40,79,0.506,7,25,0.28,18,30,0.6,12,41,53,21,5,5,17,15,105,0.569,0.551,0.316,0.38,33.3,77.4,59.6,52.5,5.4,9.3,15.6,112.6,98.6,PHI
38,80,0.475,12,30,0.4,22,30,0.733,6,37,43,28,9,6,19,22,110,0.59,0.55,0.375,0.375,15.8,66.1,45.7,73.7,8.8,10.2,16.9,107.0,94.3,dcfac954-9630-4f5f-84dd-904b2230a285,Home,CHI,1,37,96,0.385,7,37,0.189,16,23,0.696,19,32,51,17,9,7,18,21,97,0.457,0.422,0.385,0.24,33.9,84.2,54.3,45.9,8.8,14.0,14.5,94.3,107.0,PHI
33,81,0.407,6,23,0.261,20,27,0.741,8,30,38,22,8,9,14,18,92,0.495,0.444,0.284,0.333,17.0,75.0,43.7,66.7,8.1,18.8,13.1,93.5,130.1,8fc1ba7d-5fd0-49e0-a88a-e5ed7017c638,Home,NYK,0,43,89,0.483,18,41,0.439,24,25,0.96,10,39,49,27,7,7,13,22,128,0.64,0.584,0.461,0.281,25.0,83.0,56.3,62.8,7.1,12.1,11.5,130.1,93.5,PHI
42,104,0.404,7,38,0.184,18,23,0.783,15,19,34,30,12,6,6,20,109,0.478,0.438,0.365,0.221,27.8,67.9,41.5,71.4,11.8,12.0,5.0,107.6,118.4,3625e615-6325-4b93-a947-700e1eae23ff,Home,UTA,0,46,80,0.575,8,30,0.267,20,24,0.833,9,39,48,30,4,4,24,18,120,0.663,0.625,0.375,0.3,32.1,72.2,58.5,65.2,3.9,6.1,20.9,118.4,107.6,PHI
46,102,0.451,12,34,0.353,28,33,0.848,13,38,51,26,8,9,11,28,132,0.566,0.51,0.333,0.324,25.0,70.4,48.1,56.5,7.1,13.2,8.6,116.9,123.1,90175857-7de2-40f1-a01e-ece8d73fb2d3,Away,ATL,0,48,102,0.471,12,34,0.353,31,42,0.738,16,39,55,32,6,8,13,21,139,0.577,0.529,0.333,0.412,29.6,75.0,51.9,66.7,5.3,11.8,9.7,123.1,116.9,PHI
40,93,0.43,15,35,0.429,17,18,0.944,14,32,46,23,11,9,14,19,112,0.555,0.511,0.376,0.194,31.1,58.2,46.0,57.5,11.5,15.8,12.2,117.4,97.5,ea3e0e8e-4890-4f0b-8a11-cc966a1d3f5c,Home,SAC,1,32,95,0.337,8,38,0.211,21,26,0.808,23,31,54,20,6,4,17,18,93,0.437,0.379,0.4,0.274,41.8,68.9,54.0,62.5,6.3,6.9,13.8,97.5,117.4,PHI
40,83,0.482,15,31,0.484,29,34,0.853,8,33,41,25,8,4,11,24,124,0.633,0.572,0.373,0.41,21.1,67.3,47.1,62.5,8.1,6.6,10.1,126.3,117.1,48798a71-54b1-4af4-a72c-633b69bd3c2f,Home,HOU,1,44,88,0.5,8,27,0.296,19,32,0.594,16,30,46,21,7,9,13,23,115,0.563,0.545,0.307,0.364,32.7,78.9,52.9,47.7,7.1,17.3,11.3,117.1,126.3,PHI
43,76,0.566,15,31,0.484,25,34,0.735,5,27,32,27,6,7,8,21,126,0.693,0.664,0.408,0.447,14.3,62.8,41.0,62.8,6.5,11.7,8.1,136.2,130.8,c8945ec1-da59-4f9d-82d4-412c2d1b5b1e,Home,DEN,1,45,89,0.506,12,29,0.414,19,25,0.76,16,30,46,23,4,3,11,19,121,0.605,0.573,0.326,0.281,37.2,85.7,59.0,51.1,4.3,6.7,9.9,130.8,136.2,PHI
42,87,0.483,13,30,0.433,27,29,0.931,16,26,42,23,11,5,8,23,124,0.621,0.557,0.345,0.333,39.0,70.3,53.8,54.8,12.3,9.1,7.4,138.1,121.4,29ccccf0-ff9f-4335-9b05-8eac395c9b20,Away,ORL,1,37,78,0.474,10,23,0.435,25,27,0.926,11,25,36,24,3,5,16,23,109,0.606,0.538,0.295,0.346,29.7,61.0,46.2,64.9,3.3,8.8,15.1,121.4,138.1,PHI
36,85,0.424,5,25,0.2,20,24,0.833,6,40,46,21,7,6,10,12,97,0.508,0.453,0.294,0.282,13.0,85.1,49.5,58.3,7.1,12.5,9.5,98.3,90.2,27a1b1d5-1d9f-41fe-9a87-d24e9c39da3a,Away,CHO,1,35,85,0.412,9,37,0.243,10,14,0.714,7,40,47,23,2,7,17,20,89,0.488,0.465,0.435,0.165,14.9,87.0,50.5,65.7,2.0,11.7,15.7,90.2,98.3,PHI
48,97,0.495,5,20,0.25,32,40,0.8,19,29,48,28,5,3,4,20,133,0.58,0.521,0.206,0.412,38.8,69.0,52.7,58.3,5.2,5.8,3.4,138.6,128.2,0873d0aa-02fa-488d-bf97-e97b87435540,Home,SAS,1,43,93,0.462,13,41,0.317,24,27,0.889,13,30,43,29,3,3,8,22,123,0.586,0.532,0.441,0.29,31.0,61.2,47.3,67.4,3.1,3.9,7.1,128.2,138.6,PHI
42,87,0.483,7,29,0.241,31,43,0.721,6,25,31,24,13,6,12,20,122,0.576,0.523,0.333,0.494,12.2,67.6,36.0,57.1,11.9,9.2,10.2,111.5,122.5,e2f67645-4d75-41ce-ba88-f08f2195852e,Away,IND,0,53,93,0.57,12,28,0.429,16,21,0.762,12,43,55,35,6,8,21,33,134,0.655,0.634,0.301,0.226,32.4,87.8,64.0,66.0,5.5,13.8,17.0,122.5,111.5,PHI
43,81,0.531,6,22,0.273,13,16,0.813,6,33,39,25,5,6,11,29,105,0.596,0.568,0.272,0.198,16.2,71.7,47.0,58.1,5.5,13.3,11.1,114.5,121.0,2c33664f-c3dc-4ae1-9aec-a285a4121359,Away,DEN,0,37,82,0.451,13,37,0.351,24,38,0.632,13,31,44,25,5,3,8,15,111,0.562,0.53,0.451,0.463,28.3,83.8,53.0,67.6,5.5,5.1,7.5,121.0,114.5,PHI
