fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
52,100,0.52,8,23,0.348,18,20,0.9,9,38,47,26,8,7,12,16,130,0.597,0.56,0.23,0.2,20.5,73.1,49.0,50.0,7.4,13.7,9.9,120.6,114.1,9499db89-8a39-4176-8497-12e1ef25ee5b,Away,1,44,97,0.454,18,46,0.391,17,21,0.81,14,35,49,33,6,4,16,18,123,0.579,0.546,0.474,0.216,26.9,79.5,51.0,75.0,5.6,5.2,13.1,114.1,120.6
49,81,0.605,22,36,0.611,14,14,1.0,10,33,43,28,8,3,18,18,134,0.769,0.741,0.444,0.173,35.7,71.7,58.1,57.1,8.4,5.9,17.1,141.5,96.1,606f15a7-a707-424e-ba62-35ce328a0986,Away,1,34,85,0.4,9,34,0.265,14,21,0.667,13,18,31,21,10,2,19,15,91,0.483,0.453,0.4,0.247,28.3,64.3,41.9,61.8,10.6,4.4,16.8,96.1,141.5
37,75,0.493,11,29,0.379,31,38,0.816,11,34,45,24,4,12,14,17,116,0.632,0.567,0.387,0.507,28.9,75.6,54.2,64.9,4.3,27.3,13.2,125.3,110.2,9ba4d85e-ab08-4b89-8eb7-7c2fe5ec9ede,Home,1,34,88,0.386,17,44,0.386,17,17,1.0,11,27,38,22,7,2,12,26,102,0.534,0.483,0.5,0.193,24.4,71.1,45.8,64.7,7.6,4.3,11.2,110.2,125.3
43,98,0.439,16,43,0.372,21,26,0.808,13,25,38,29,3,3,4,27,123,0.562,0.52,0.439,0.265,28.9,59.5,43.7,67.4,3.2,7.1,3.5,129.5,133.7,0be229f2-48cc-44a1-a234-0e78a4f530cc,Home,0,38,83,0.458,14,41,0.341,37,45,0.822,17,32,49,30,2,9,13,26,127,0.618,0.542,0.494,0.542,40.5,71.1,56.3,78.9,2.1,16.4,11.2,133.7,129.5
37,90,0.411,11,30,0.367,18,23,0.783,9,27,36,22,8,4,10,23,103,0.514,0.472,0.333,0.256,18.0,73.0,41.4,59.5,8.1,8.9,9.1,104.7,107.7,ef56e673-5432-4b3a-83a8-be9a26c68ac1,Away,0,33,78,0.423,14,33,0.424,26,32,0.813,10,41,51,18,3,9,20,17,106,0.576,0.513,0.423,0.41,27.0,82.0,58.6,54.5,3.0,15.0,17.8,107.7,104.7
50,94,0.532,14,42,0.333,19,22,0.864,8,40,48,29,9,6,9,24,133,0.641,0.606,0.447,0.234,19.0,85.1,53.9,58.0,8.8,12.5,8.0,130.7,108.1,2a46bd6e-89fa-47ca-95d0-848b1967ce84,Home,1,36,81,0.444,11,33,0.333,27,32,0.844,7,34,41,24,6,2,14,20,110,0.578,0.512,0.407,0.395,14.9,81.0,46.1,66.7,5.9,3.8,12.8,108.1,130.7
44,100,0.44,20,44,0.455,18,22,0.818,16,34,50,24,8,5,13,24,126,0.574,0.54,0.44,0.22,33.3,69.4,51.5,54.5,7.9,14.3,10.6,124.1,118.2,26a4b74e-7dad-4224-bfd5-d67c84e7b0e4,Away,1,39,87,0.448,19,52,0.365,23,35,0.657,15,32,47,26,5,12,16,21,120,0.586,0.557,0.598,0.402,30.6,66.7,48.5,66.7,4.9,21.4,13.5,118.2,124.1
37,87,0.425,8,29,0.276,19,24,0.792,4,26,30,22,14,10,9,21,101,0.518,0.471,0.333,0.276,8.5,72.2,36.1,59.5,13.9,20.0,8.4,100.5,109.4,2435b9aa-77d9-4f42-9d52-f2abcb2a1384,Away,0,40,83,0.482,15,33,0.455,15,22,0.682,10,43,53,28,6,5,21,16,110,0.593,0.572,0.398,0.265,27.8,91.5,63.9,70.0,6.0,8.6,18.5,109.4,100.5
51,98,0.52,5,29,0.172,31,36,0.861,11,28,39,15,17,7,11,22,138,0.606,0.546,0.296,0.367,23.4,53.8,39.4,29.4,15.0,12.5,8.8,121.8,120.0,6f3a9c26-4207-4a79-9303-3a4fff0f777d,Home,1,49,104,0.471,19,48,0.396,19,23,0.826,24,36,60,29,3,2,29,28,136,0.596,0.563,0.462,0.221,46.2,76.6,60.6,59.2,2.6,2.9,20.3,120.0,121.8
50,96,0.521,18,38,0.474,16,17,0.941,7,32,39,35,9,7,12,17,134,0.647,0.615,0.396,0.177,17.9,78.0,48.8,70.0,8.5,13.0,10.4,126.4,113.2,4fd379c7-8e6b-420f-84a9-4cb86b22351a,Home,1,44,92,0.478,12,38,0.316,20,21,0.952,9,32,41,32,9,9,17,21,120,0.593,0.543,0.413,0.228,22.0,82.1,51.3,72.7,8.5,15.5,14.4,113.2,126.4
44,102,0.431,11,36,0.306,24,27,0.889,16,28,44,26,8,7,14,25,123,0.54,0.485,0.353,0.265,30.8,71.8,48.4,59.1,7.5,14.0,10.9,115.2,119.8,28fe0a5f-2a6b-4d04-a527-6b9ee1b7e5be,Away,0,47,95,0.495,18,45,0.4,16,21,0.762,11,36,47,32,6,4,17,22,128,0.614,0.589,0.474,0.221,28.2,69.2,51.6,68.1,5.6,6.1,14.0,119.8,115.2
43,84,0.512,7,21,0.333,25,30,0.833,9,31,40,22,4,9,11,19,118,0.607,0.554,0.25,0.357,23.1,66.0,46.5,51.2,4.2,14.8,10.2,124.3,123.2,20dd8173-503d-40cc-829f-7ca48f0404c3,Away,1,42,93,0.452,12,32,0.375,21,24,0.875,16,30,46,30,5,0,9,22,117,0.565,0.516,0.344,0.258,34.0,76.9,53.5,71.4,5.3,0.0,8.0,123.2,124.3
