fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
43,87,0.494,7,20,0.35,35,42,0.833,8,34,42,21,10,10,15,23,128,0.607,0.534,0.23,0.483,21.6,75.6,51.2,48.8,9.2,15.6,12.5,117.3,106.3,712fd191-4b4d-4c5c-8699-2b56edcd7a44,Away,IND,1,42,95,0.442,8,31,0.258,24,31,0.774,11,29,40,24,10,7,16,32,116,0.534,0.484,0.326,0.326,24.4,78.4,48.8,57.1,9.2,10.4,12.8,106.3,117.3,ORL
50,100,0.5,12,31,0.387,14,20,0.7,15,25,40,31,12,8,13,19,126,0.579,0.56,0.31,0.2,31.3,83.3,51.3,62.0,11.7,17.0,10.7,122.6,104.1,6550f441-b90e-4122-97d4-4938c9406817,Home,TOR,1,38,75,0.507,14,28,0.5,17,22,0.773,5,33,38,29,6,6,24,20,107,0.632,0.6,0.373,0.293,16.7,68.8,48.7,76.3,5.8,8.7,22.1,104.1,122.6,ORL
44,81,0.543,10,29,0.345,26,30,0.867,11,30,41,27,9,7,12,21,124,0.658,0.605,0.358,0.37,30.6,63.8,49.4,61.4,9.6,12.1,11.3,132.4,127.0,221c0f99-a553-4480-a815-6aaee88831a3,Home,DEN,1,44,93,0.473,15,35,0.429,16,21,0.762,17,25,42,29,6,2,12,25,119,0.582,0.554,0.376,0.226,36.2,69.4,50.6,65.9,6.4,3.8,10.5,127.0,132.4,ORL
43,85,0.506,11,28,0.393,16,22,0.727,13,35,48,23,5,3,18,28,113,0.597,0.571,0.329,0.259,32.5,89.7,60.8,53.5,5.0,6.4,16.0,114.1,96.9,98d9c170-d280-45da-976d-b4c96bd3cbab,Home,BOS,1,31,76,0.408,7,29,0.241,27,37,0.73,4,27,31,17,10,4,15,18,96,0.52,0.454,0.382,0.487,10.3,67.5,39.2,54.8,10.1,7.0,14.0,96.9,114.1,ORL
47,87,0.54,10,27,0.37,26,33,0.788,7,37,44,33,10,3,15,26,130,0.64,0.598,0.31,0.379,18.4,88.1,55.0,70.2,9.4,5.7,12.9,121.9,109.7,af4ce8e8-e584-4dc0-abc5-7b4f89f6cb7d,Home,CHO,1,44,83,0.53,13,30,0.433,16,25,0.64,5,31,36,27,6,7,18,26,117,0.622,0.608,0.361,0.301,11.9,81.6,45.0,61.4,5.6,11.7,16.1,109.7,121.9,ORL
51,84,0.607,17,27,0.63,20,24,0.833,9,35,44,34,5,6,19,22,139,0.735,0.708,0.321,0.286,29.0,83.3,60.3,66.7,4.9,10.3,16.7,135.5,117.0,1d0bdaaf-25ed-4c51-8f23-237c9b82a430,Home,WAS,1,41,87,0.471,11,29,0.379,27,35,0.771,7,22,29,28,14,3,10,20,120,0.586,0.534,0.333,0.402,16.7,71.0,39.7,68.3,13.6,5.3,8.9,117.0,135.5,ORL
46,89,0.517,12,31,0.387,26,33,0.788,10,34,44,35,6,8,15,23,130,0.628,0.584,0.348,0.371,23.8,81.0,52.4,76.1,5.6,13.1,12.7,122.3,117.5,d251cc43-1867-4106-a59c-d86da46c13e4,Home,WAS,1,45,89,0.506,13,28,0.464,22,31,0.71,8,32,40,25,8,5,14,29,125,0.609,0.579,0.315,0.348,19.0,76.2,47.6,55.6,7.5,8.6,12.0,117.5,122.3,ORL
35,88,0.398,9,29,0.31,22,27,0.815,8,29,37,24,3,5,11,27,101,0.506,0.449,0.33,0.307,15.7,67.4,39.4,68.6,3.0,8.8,9.9,101.2,129.2,da285936-ea42-45e9-afea-353fa125b7f7,Away,BRK,0,46,91,0.505,14,34,0.412,23,31,0.742,14,43,57,31,4,8,11,21,129,0.616,0.582,0.374,0.341,32.6,84.3,60.6,67.4,4.0,13.6,9.5,129.2,101.2,ORL
41,84,0.488,2,23,0.087,27,37,0.73,7,29,36,22,10,6,11,21,111,0.553,0.5,0.274,0.44,16.7,74.4,44.4,53.7,9.9,11.5,9.9,109.8,119.7,91928816-539d-45a1-bee0-67946adb2f38,Away,CLE,0,46,86,0.535,14,34,0.412,15,20,0.75,10,35,45,29,5,2,17,27,121,0.638,0.616,0.395,0.233,25.6,83.3,55.6,63.0,4.9,3.3,15.2,119.7,109.8,ORL
49,89,0.551,10,26,0.385,15,19,0.789,6,39,45,26,5,4,10,20,123,0.632,0.607,0.292,0.213,16.7,83.0,54.2,53.1,5.1,7.8,9.3,124.6,92.1,bccfdeb9-b28c-4aa8-9521-be863acdaebd,Home,DET,1,34,81,0.42,6,30,0.2,17,24,0.708,8,30,38,17,3,2,16,17,91,0.497,0.457,0.37,0.296,17.0,83.3,45.8,50.0,3.0,3.2,14.9,92.1,124.6,ORL
