fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
34,85,0.4,9,34,0.265,14,21,0.667,13,18,31,21,10,2,19,15,91,0.483,0.453,0.4,0.247,28.3,64.3,41.9,61.8,10.6,4.4,16.8,96.1,141.5,07c649b0-db43-4cd5-9e3e-7154700c7201,Home,OKC,0,49,81,0.605,22,36,0.611,14,14,1.0,10,33,43,28,8,3,18,18,134,0.769,0.741,0.444,0.173,35.7,71.7,58.1,57.1,8.4,5.9,17.1,141.5,96.1,POR
38,87,0.437,14,31,0.452,17,20,0.85,12,18,30,20,8,3,13,20,107,0.558,0.517,0.356,0.23,30.8,62.1,44.1,52.6,8.9,5.1,11.9,118.4,132.8,d68f55f3-7623-449c-866b-9f0c1fa14c98,Away,PHO,0,43,76,0.566,7,17,0.412,27,28,0.964,11,27,38,26,8,8,15,18,120,0.679,0.612,0.224,0.368,37.9,69.2,55.9,60.5,8.9,14.3,14.5,132.8,118.4,POR
47,92,0.511,17,39,0.436,10,15,0.667,14,23,37,31,9,6,14,21,121,0.614,0.603,0.424,0.163,31.8,62.2,45.7,66.0,9.3,12.5,12.4,125.3,108.8,dc44c916-32b2-430a-b5a7-0f95deb50ebe,Home,UTA,1,37,79,0.468,10,31,0.323,21,26,0.808,14,30,44,25,7,3,24,13,105,0.58,0.532,0.392,0.329,37.8,68.2,54.3,67.6,7.3,5.7,21.0,108.8,125.3,POR
37,91,0.407,13,32,0.406,15,20,0.75,11,29,40,21,15,4,20,26,102,0.511,0.478,0.352,0.22,24.4,61.7,43.5,56.8,14.9,8.5,16.7,101.2,107.2,65e4d6d1-c616-4612-8f70-0228cc60f6f2,Away,MIL,0,35,89,0.393,14,42,0.333,24,32,0.75,18,34,52,19,13,11,17,20,108,0.524,0.472,0.472,0.36,38.3,75.6,56.5,54.3,12.9,18.6,14.2,107.2,101.2,POR
40,85,0.471,9,18,0.5,25,31,0.806,9,29,38,20,6,4,16,21,114,0.578,0.524,0.212,0.365,22.0,74.4,47.5,50.0,5.8,7.3,14.0,109.7,105.9,c8a55176-1ed9-4d8f-ad97-a27a94d8a36b,Away,IND,1,42,88,0.477,8,33,0.242,18,24,0.75,10,32,42,26,10,6,20,24,110,0.558,0.523,0.375,0.273,25.6,78.0,52.5,61.9,9.6,9.0,16.9,105.9,109.7,POR
39,77,0.506,14,35,0.4,11,11,1.0,9,31,40,29,10,4,23,17,103,0.629,0.597,0.455,0.143,30.0,68.9,53.3,74.4,10.6,7.0,21.9,109.6,101.1,ad12912f-c60d-4146-a156-7ea44733d193,Away,CLE,1,38,89,0.427,7,32,0.219,12,12,1.0,14,21,35,25,12,2,19,15,95,0.504,0.466,0.36,0.135,31.1,70.0,46.7,65.8,12.8,4.8,16.8,101.1,109.6,POR
38,95,0.4,13,40,0.325,24,27,0.889,11,29,40,17,11,5,11,20,113,0.529,0.468,0.421,0.284,21.6,64.4,41.7,44.7,10.6,8.3,9.3,109.2,114.0,b6c34a3a-d469-4768-acb2-a8cbf49139f9,Away,UTA,0,46,94,0.489,7,34,0.206,19,24,0.792,16,40,56,27,5,11,18,21,118,0.564,0.527,0.362,0.255,35.6,78.4,58.3,58.7,4.8,20.0,14.7,114.0,109.2,POR
39,95,0.411,16,46,0.348,12,16,0.75,11,29,40,22,8,3,10,30,106,0.519,0.495,0.484,0.168,23.9,65.9,44.4,56.4,8.2,5.8,8.9,108.7,112.8,4099e4f3-c4c4-452f-a14c-97b51d11344a,Away,GSW,0,36,86,0.419,10,34,0.294,28,33,0.848,15,35,50,20,4,3,17,19,110,0.547,0.477,0.395,0.384,34.1,76.1,55.6,55.6,4.1,6.1,14.5,112.8,108.7,POR
39,105,0.371,18,53,0.34,16,18,0.889,18,30,48,20,9,1,15,24,112,0.496,0.457,0.505,0.171,35.3,76.9,53.3,51.3,8.7,1.9,11.7,108.6,121.2,df3c6a72-bd9e-4353-89e6-f206ab97f7d4,Home,DAL,0,47,91,0.516,12,39,0.308,19,22,0.864,9,33,42,26,8,5,15,23,125,0.621,0.582,0.429,0.242,23.1,64.7,46.7,55.3,7.8,9.6,13.0,121.2,108.6,POR
43,90,0.478,19,40,0.475,22,26,0.846,11,25,36,25,5,4,12,21,127,0.626,0.583,0.444,0.289,29.7,73.5,50.7,58.1,5.2,7.3,10.6,131.7,136.8,5a823585-bd18-449c-9c43-a49ff0d628dc,Away,LAC,0,49,89,0.551,13,34,0.382,21,22,0.955,9,26,35,33,7,9,9,20,132,0.669,0.624,0.382,0.247,26.5,70.3,49.3,67.3,7.3,18.0,8.4,136.8,131.7,POR
