fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
40,98,0.408,14,41,0.341,15,19,0.789,20,29,49,27,5,4,16,19,109,0.512,0.48,0.418,0.194,36.4,80.6,53.8,67.5,5.0,7.3,13.1,109.4,128.5,c816c2d2-d7f0-4390-a228-5d5162b18916,Home,0,44,87,0.506,19,32,0.594,21,23,0.913,7,35,42,31,10,3,13,20,128,0.659,0.615,0.368,0.264,19.4,63.6,46.2,70.5,10.0,5.3,11.8,128.5,109.4
44,97,0.454,18,46,0.391,17,21,0.81,14,35,49,33,6,4,16,18,123,0.579,0.546,0.474,0.216,26.9,79.5,51.0,75.0,5.6,5.2,13.1,114.1,120.6,9499db89-8a39-4176-8497-12e1ef25ee5b,Home,0,52,100,0.52,8,23,0.348,18,20,0.9,9,38,47,26,8,7,12,16,130,0.597,0.56,0.23,0.2,20.5,73.1,49.0,50.0,7.4,13.7,9.9,120.6,114.1
36,77,0.468,21,43,0.488,28,33,0.848,8,35,43,26,3,1,8,21,121,0.661,0.604,0.558,0.429,19.5,70.0,47.3,72.2,3.3,1.9,8.0,131.6,126.2,4f1d717b-c9b7-4a18-94fd-9d07931738a1,Home,1,44,95,0.463,13,41,0.317,15,19,0.789,15,33,48,28,6,3,8,24,116,0.561,0.532,0.432,0.2,30.0,80.5,52.7,63.6,6.5,8.8,7.2,126.2,131.6
43,90,0.478,10,32,0.313,19,29,0.655,11,32,43,29,10,3,16,34,115,0.56,0.533,0.356,0.322,25.6,74.4,50.0,67.4,9.8,6.3,13.5,112.2,120.0,8b03e4c5-e16a-45d8-8aaf-65a3e70e00f6,Away,0,34,76,0.447,11,28,0.393,44,52,0.846,11,32,43,22,9,8,15,22,123,0.622,0.52,0.368,0.684,25.6,74.4,50.0,64.7,8.8,13.8,13.2,120.0,112.2
40,81,0.494,19,42,0.452,19,24,0.792,7,34,41,35,7,2,24,21,118,0.644,0.611,0.519,0.296,18.4,69.4,47.1,87.5,6.6,3.8,20.8,110.6,105.0,2480175c-2656-4edb-b1b6-f929e4fe4662,Home,1,45,100,0.45,12,47,0.255,10,12,0.833,15,31,46,28,10,3,20,18,112,0.532,0.51,0.47,0.12,30.6,81.6,52.9,62.2,9.4,7.7,16.0,105.0,110.6
40,83,0.482,17,41,0.415,26,30,0.867,9,43,52,25,6,6,20,31,123,0.639,0.584,0.494,0.361,20.9,78.2,53.1,62.5,5.7,12.8,17.2,116.3,117.3,8d8d2828-045a-4a44-b622-3ba89b130600,Away,0,41,91,0.451,15,44,0.341,27,42,0.643,12,34,46,25,8,7,10,23,124,0.566,0.533,0.484,0.462,21.8,79.1,46.9,61.0,7.6,16.7,8.4,117.3,116.3
41,82,0.5,15,39,0.385,23,31,0.742,10,37,47,30,3,4,9,18,120,0.627,0.591,0.476,0.378,26.3,71.2,52.2,73.2,3.2,6.3,8.6,129.0,122.5,17d257f1-1d17-45cd-a163-20c38a03b900,Home,1,42,95,0.442,12,32,0.375,18,24,0.75,15,28,43,26,5,1,6,21,114,0.54,0.505,0.337,0.253,28.8,73.7,47.8,61.9,5.4,2.3,5.4,122.5,129.0
38,86,0.442,17,43,0.395,19,24,0.792,6,36,42,31,5,4,15,15,112,0.58,0.541,0.5,0.279,14.6,87.8,51.2,81.6,4.9,7.8,13.4,110.0,111.0,35c42836-db0e-4a85-9f92-29c9744c7fc2,Away,0,44,90,0.489,13,39,0.333,12,14,0.857,5,35,40,31,5,6,11,21,113,0.588,0.561,0.433,0.156,12.2,85.4,48.8,70.5,4.9,14.0,10.3,111.0,110.0
36,86,0.419,10,34,0.294,28,33,0.848,15,35,50,20,4,3,17,19,110,0.547,0.477,0.395,0.384,34.1,76.1,55.6,55.6,4.1,6.1,14.5,112.8,108.7,a6399500-885a-4dcb-a2ab-a1e92ea1082d,Home,1,39,95,0.411,16,46,0.348,12,16,0.75,11,29,40,22,8,3,10,30,106,0.519,0.495,0.484,0.168,23.9,65.9,44.4,56.4,8.2,5.8,8.9,108.7,112.8
49,104,0.471,19,48,0.396,19,23,0.826,24,36,60,29,3,2,29,28,136,0.596,0.563,0.462,0.221,46.2,76.6,60.6,59.2,2.6,2.9,20.3,120.0,121.8,6f3a9c26-4207-4a79-9303-3a4fff0f777d,Away,0,51,98,0.52,5,29,0.172,31,36,0.861,11,28,39,15,17,7,11,22,138,0.606,0.546,0.296,0.367,23.4,53.8,39.4,29.4,15.0,12.5,8.8,121.8,120.0
41,92,0.446,16,46,0.348,18,27,0.667,13,38,51,26,9,1,15,28,116,0.558,0.533,0.5,0.293,27.7,84.4,55.4,63.4,8.7,2.2,12.6,111.7,114.6,12e32110-5568-43d7-bc6a-f3684bbc16b5,Away,0,38,84,0.452,14,39,0.359,29,34,0.853,7,34,41,27,8,7,15,22,119,0.601,0.536,0.464,0.405,15.6,72.3,44.6,71.1,7.7,15.2,13.2,114.6,111.7
40,92,0.435,16,45,0.356,17,19,0.895,16,27,43,22,8,2,13,24,113,0.563,0.522,0.489,0.207,34.8,73.0,51.8,55.0,8.5,4.1,11.5,119.8,128.3,9841908a-05b4-4832-9b4d-e6c5b20c8004,Away,0,41,81,0.506,13,32,0.406,26,30,0.867,10,30,40,27,6,9,14,20,121,0.642,0.586,0.395,0.37,27.0,65.2,48.2,65.9,6.4,19.1,12.9,128.3,119.8
44,91,0.484,17,32,0.531,19,20,0.95,13,29,42,29,7,5,14,15,124,0.621,0.577,0.352,0.22,31.7,67.4,50.0,65.9,7.2,10.0,12.3,127.0,122.9,f332c494-4bbd-4a18-9e14-6fcbfd449cdf,Home,1,45,93,0.484,17,43,0.395,13,15,0.867,14,28,42,31,6,8,16,21,120,0.602,0.575,0.462,0.161,32.6,68.3,50.0,68.9,6.1,13.6,13.8,122.9,127.0
46,87,0.529,13,38,0.342,13,19,0.684,11,32,43,31,10,4,14,20,118,0.619,0.603,0.437,0.218,28.2,78.0,53.8,67.4,10.3,8.0,12.8,121.7,117.6,38136204-4691-48ca-9df0-5c16d35bfeb5,Away,1,40,85,0.471,13,35,0.371,21,23,0.913,9,28,37,23,10,4,14,20,114,0.599,0.547,0.412,0.271,22.0,71.8,46.3,57.5,10.3,8.2,12.8,117.6,121.7
50,109,0.459,20,50,0.4,12,14,0.857,18,41,59,29,4,5,10,15,132,0.573,0.55,0.459,0.128,32.7,69.5,51.8,58.0,3.8,8.9,8.0,125.2,119.5,b6896d64-57fa-419f-a838-6c82eb2fe83d,Home,1,47,114,0.412,17,58,0.293,15,17,0.882,18,37,55,28,6,5,8,13,126,0.519,0.487,0.509,0.149,30.5,67.3,48.2,59.6,5.7,8.5,6.2,119.5,125.2
47,97,0.485,18,45,0.4,17,20,0.85,14,43,57,33,5,2,12,17,129,0.61,0.577,0.464,0.206,31.8,82.7,59.4,70.2,4.9,3.2,10.2,125.4,114.7,0e4a1e07-ffc9-4539-94b3-2b5cd5b22c43,Home,1,44,97,0.454,11,35,0.314,19,24,0.792,9,30,39,25,7,4,9,16,118,0.549,0.51,0.361,0.247,17.3,68.2,40.6,56.8,6.8,7.7,7.7,114.7,125.4
48,83,0.578,10,33,0.303,20,24,0.833,13,36,49,38,8,2,18,14,126,0.673,0.639,0.398,0.289,37.1,81.8,62.0,79.2,8.3,4.1,16.1,130.1,109.4,2aeea9e8-5cb5-4d3c-b441-d2bdfdc4ff8b,Home,1,38,84,0.452,13,35,0.371,17,25,0.68,8,22,30,26,13,3,12,20,106,0.558,0.53,0.417,0.298,18.2,62.9,38.0,68.4,13.4,6.0,11.2,109.4,130.1
40,87,0.46,14,40,0.35,20,23,0.87,9,30,39,23,7,3,13,23,114,0.587,0.54,0.46,0.264,21.4,75.0,47.6,57.5,7.1,6.3,11.8,116.3,122.5,99b59001-e800-4736-81e9-0dd3d3f4f10c,Away,0,40,82,0.488,14,34,0.412,26,32,0.813,10,33,43,25,6,4,14,17,120,0.624,0.573,0.415,0.39,25.0,78.6,52.4,62.5,6.1,8.5,12.7,122.5,116.3
37,88,0.42,8,33,0.242,20,25,0.8,12,31,43,27,4,7,13,19,102,0.515,0.466,0.375,0.284,26.1,75.6,49.4,73.0,4.1,11.7,11.6,105.0,117.3,9114e868-0e1f-4be1-a7ba-b95a2e6d8ba5,Home,0,44,91,0.484,10,31,0.323,16,22,0.727,10,34,44,26,6,1,10,19,114,0.566,0.538,0.341,0.242,24.4,73.9,50.6,59.1,6.2,1.8,9.0,117.3,105.0
47,103,0.456,19,48,0.396,9,13,0.692,16,31,47,32,8,3,11,21,122,0.561,0.549,0.466,0.126,30.2,83.8,52.2,68.1,8.0,6.3,9.2,121.9,131.9,0c5ed790-acb0-42d0-b577-b9fc961dcd10,Home,0,49,88,0.557,16,40,0.4,18,22,0.818,6,37,43,25,5,2,9,14,132,0.676,0.648,0.455,0.25,16.2,69.8,47.8,51.0,5.0,3.6,8.4,131.9,121.9
42,78,0.538,13,35,0.371,24,37,0.649,9,27,36,23,9,6,12,19,121,0.642,0.622,0.449,0.474,26.5,62.8,46.8,54.8,9.3,10.7,11.3,125.1,118.9,88daafbc-23df-45ea-a8c3-a05fdb05605b,Home,1,41,92,0.446,14,36,0.389,19,23,0.826,16,25,41,19,8,4,18,24,115,0.563,0.522,0.391,0.25,37.2,73.5,53.2,46.3,8.3,9.3,15.0,118.9,125.1
49,90,0.544,15,36,0.417,14,16,0.875,9,24,33,35,4,3,10,20,127,0.654,0.628,0.4,0.178,26.5,68.6,47.8,71.4,4.3,5.1,9.3,135.1,138.3,970f3cd6-3fed-4f34-b9c4-02c3984cf457,Home,0,48,85,0.565,9,26,0.346,25,29,0.862,11,25,36,28,7,4,9,15,130,0.665,0.618,0.306,0.341,31.4,73.5,52.2,58.3,7.4,7.4,8.4,138.3,135.1
38,82,0.463,16,38,0.421,21,25,0.84,7,38,45,24,3,5,19,18,113,0.608,0.561,0.463,0.305,18.9,79.2,52.9,63.2,3.0,9.3,17.0,111.3,107.4,7570f7fe-0934-4ad3-8088-66e4fe2bfe36,Home,1,44,98,0.449,13,44,0.295,8,10,0.8,10,30,40,25,8,9,11,23,109,0.532,0.515,0.449,0.102,20.8,81.1,47.1,56.8,7.9,20.5,9.7,107.4,111.3
45,100,0.45,14,46,0.304,14,15,0.933,15,28,43,30,5,4,11,11,118,0.553,0.52,0.46,0.15,29.4,75.7,48.9,66.7,5.1,6.6,9.4,120.3,135.6,fffa3a00-4270-481d-bb21-e3a23ad3f6a7,Home,0,55,94,0.585,15,33,0.455,8,14,0.571,9,36,45,38,7,6,7,14,133,0.664,0.665,0.351,0.149,24.3,70.6,51.1,69.1,7.1,11.1,6.5,135.6,120.3
39,89,0.438,12,39,0.308,15,18,0.833,14,29,43,24,4,4,17,19,105,0.542,0.506,0.438,0.202,29.2,69.0,47.8,61.5,4.1,7.4,14.9,106.6,143.2,cca283bb-67d4-4687-a12f-d3f6e60ce6c5,Home,0,54,94,0.574,19,40,0.475,14,19,0.737,13,34,47,37,11,7,11,19,141,0.689,0.676,0.426,0.202,31.0,70.8,52.2,68.5,11.2,14.0,9.7,143.2,106.6
49,94,0.521,20,47,0.426,22,30,0.733,13,31,44,39,7,4,5,16,140,0.653,0.628,0.5,0.319,30.2,83.8,55.0,79.6,7.2,8.7,4.5,143.9,134.6,edbc5e7f-d22a-4864-966d-e39206a2e62c,Away,1,50,86,0.581,18,40,0.45,13,16,0.813,6,30,36,31,1,3,12,21,131,0.704,0.686,0.465,0.186,16.2,69.8,45.0,62.0,1.0,6.4,11.4,134.6,143.9
47,98,0.48,15,36,0.417,9,14,0.643,12,29,41,23,5,4,8,16,118,0.566,0.556,0.367,0.143,25.0,67.4,45.1,48.9,5.1,6.3,7.1,120.5,131.8,cd86de00-5dcd-47b7-b80d-1d4202142a3b,Away,0,51,94,0.543,13,31,0.419,14,17,0.824,14,36,50,33,6,5,12,15,129,0.636,0.612,0.33,0.181,32.6,75.0,54.9,64.7,6.1,8.1,10.6,131.8,120.5
44,90,0.489,10,31,0.323,9,10,0.9,7,38,45,28,4,6,19,25,107,0.567,0.544,0.344,0.111,18.4,77.6,51.7,63.6,3.9,18.8,16.8,103.9,112.6,275650ce-e711-4dbc-b498-704f4c2823aa,Away,0,32,86,0.372,20,54,0.37,32,40,0.8,11,31,42,24,13,10,13,12,116,0.56,0.488,0.628,0.465,22.4,81.6,48.3,75.0,12.6,16.9,11.1,112.6,103.9
