player,team,game_id,location,opponent,team_score,opponent_score,win,played,mp,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Trae Young,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,36.016666666666666,2.631763088870216,3.8944924219131427,-1.5279943459694423,-0.6279994035474706,-1.5451982574123744,-0.18558370852998024,-0.20355966719340315,-0.44628065053866556,0.5016656667767437,7.29075295152267,-0.8029990398778711,1.7643257616964583,-0.5089810166239245
Dejounte Murray,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,32.733333333333334,0.381967851816372,0.25498890676250713,-0.8930483379346243,-1.5738945383985758,-1.0681725235781339,-0.31813639680806916,-0.4909517514762526,-1.0250637806615164,-0.2820952401685251,2.6487308100485754,-1.346239850697069,0.703731675272492,-0.6171785645535861
De'Andre Hunter,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,31.0,0.48193654127598534,-0.23035951104580563,-0.42337717783363793,0.190398945701063,0.14107157896424793,-0.65585404103221,0.7496856052561839,0.5865769951331126,0.2058221906009565,-0.9419835257133327,-1.2620917893124626,-0.14540523891165197,-0.5168129974771747
Saddiq Bey,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,28.83333333333333,1.2805576913974563,2.3854568826916984,4.58077331854528,1.8031995434688934,0.7245754781511232,-0.8206100412914379,1.4666565751208662,0.7936669661723434,-0.21385963426988322,0.960456561919605,0.2610693989412436,0.4531981489434603,-0.4838820856130968
Clint Capela,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,28.633333333333333,0.2852465721764462,-0.051564577766017104,0.2958117788555893,1.2116717534670114,4.974226155790308,-2.0127113136787997,1.943214570635583,0.6587452272047333,-1.6348614572792455,1.6059135228002042,-1.1873578822006117,0.47835950476634614,-1.338716467998482
Jalen Johnson,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,29.416666666666668,1.9298366730947802,0.24632643423584905,1.8848237883974077,-0.5031577625210253,1.6840875785888454,0.4545092385245566,-1.8758388765112037,1.8123422512516083,-0.7866951381017107,0.968940092551251,1.302268317307227,0.29916918380785423,-0.1833118347074069
Bogdan Bogdanović,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,24.433333333333334,0.38339597353786686,1.5684094300720315,2.975578571203305,-0.9940640772356089,-0.015121590735342125,-0.6318455980684671,-1.1321763910470681,0.07605445452437819,0.6661346944629096,-1.27446877428308,0.6244300869316664,-0.11037302333563248,0.17880956345026247
Onyeka Okongwu,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,19.33333333333333,-0.8970889699436388,0.6642435935064769,-1.1013889118016724,0.41087332252451525,0.4491474211003835,-0.8140102099170292,-0.18454212665401526,0.6518084476947362,-1.632775917964103,0.5394714980509896,0.7593049658335839,-0.24621876226046202,1.112171460663814
AJ Griffin,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,1,9.6,-1.5032852977615043,-0.595046562412618,-0.964843606766908,1.6175381018487038,-0.22626461981568677,-0.6883973058629024,-0.991451313696417,0.10735110959147325,0.05511559202457783,-1.27446877428308,-0.45021160962049844,-0.1910240730230919,0.6986155839288613
Kobe Bufkin,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,0,0.0,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-2.564173457772794,0.15358029358499112,0.4080889266143903,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.08568411354823777,-1.35942164791497,-0.05291580585004376
Bruno Fernando,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,0,0.0,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-2.564173457772794,0.15358029358499112,0.4080889266143903,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.08568411354823777,-1.35942164791497,-0.05291580585004376
Trent Forrest,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,0,0.0,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-2.564173457772794,0.15358029358499112,0.4080889266143903,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.08568411354823777,-1.35942164791497,-0.05291580585004376
Mouhamed Gueye,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,0,0.0,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-2.564173457772794,0.15358029358499112,0.4080889266143903,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.08568411354823777,-1.35942164791497,-0.05291580585004376
Garrison Mathews,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,0,0.0,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-2.564173457772794,0.15358029358499112,0.4080889266143903,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.08568411354823777,-1.35942164791497,-0.05291580585004376
Patty Mills,ATL,34815375-cd40-4317-ad44-8717ba11e81c,Away,CHO,110,116,0,0,0.0,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-2.564173457772794,0.15358029358499112,0.4080889266143903,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.08568411354823777,-1.35942164791497,-0.05291580585004376
Trae Young,ATL,a009147a-a754-4e1b-8ac2-828ed13f0420,Home,NYK,120,126,0,1,35.3,1.8816587471377186,6.061110876403722,-0.1368438675066227,-0.7885885681532887,-0.5133801165834051,-0.4652725854804516,0.18384833837694625,-0.03194149010064967,0.3727310406991884,4.414140780593941,-0.32208260981533066,1.4730297943433994,-0.2058458423207985
Dejounte Murray,ATL,a009147a-a754-4e1b-8ac2-828ed13f0420,Home,NYK,120,126,0,1,34.75,1.6397952141820138,1.0876240624110318,0.021739443914389336,-1.393108641226568,1.8312176217511238,0.37390958649520784,0.08047212991885591,0.14093653748598867,-0.8894298082215778,0.8015888117745251,-0.2694727090607255,0.7510179214996129,-0.4666839773276483
