player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Desmond Bane,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,5.466393756148672,1.8181988911964841,0.33574395012616287,-1.3263930500714647,0.5499152574841571,0.5070118404087902,-1.2537342295325784,1.7769010702834085,1.9395463956453296,1.5992986342908742,2.1059777753497824,-0.30966539004972454
Jaren Jackson Jr.,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-0.09412129102199313,1.3341204788739904,-1.3591938492444533,1.6605848246399317,2.2504131383243355,5.338759809401921,0.03775127230409701,-0.6674903423935105,2.2501477534970005,0.9306733298678825,-0.0681160182395845,0.37002669322759246
Xavier Tillman Sr.,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,1.872898154651448,1.3610117193884665,2.0984131191309663,-1.7845586751610725,4.478184921285528,-0.766154458012875,0.3948484383021219,0.7187338153750443,0.9197781013372249,1.033156415264769,1.4392008461104224,-0.24696840038846682
Marcus Smart,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,1.808736273186162,3.0289736005354064,0.3196628043127109,1.5815235233650597,-2.200910614188111,-0.08526294204327091,0.11627258094448042,1.4679634281696723,1.977325017246805,1.1319623967763486,0.385801138378932,0.5892707658254914
Ziaire Williams,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,0.10669722590707519,-1.1036135231982622,-0.2347039572805482,1.096164268560441,-0.0997017024873253,-0.6606715673000546,-1.1981301256644985,1.5663574994017062,-1.294335089101455,0.5000550989882728,-0.5726324104992279,-0.14508921873963526
David Roddy,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,0.10669722590707519,-0.4013548715072693,-0.7697010186899306,0.32528468007191425,0.5943344645514176,-0.9251683378288436,-0.5289131003992213,1.6852862361701502,-1.294335089101455,0.384849010834529,0.06596996566631207,-0.008027198251335039
Derrick Rose,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,0.6251523917907701,-0.7170415663352646,-1.0566779447737393,-1.788821726752024,-0.6122907039924779,-0.6567673990572163,0.5782752621959916,0.28036310174785317,-1.294335089101455,0.8532466880403484,-0.4864051816670898,-0.3014366724507543
Luke Kennard,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-0.9243711386331206,-0.6110672111552097,-0.8920259172662022,-0.19965931729588887,-0.5395046184053829,-0.6900797555788203,0.5980817242140875,-1.3090556076774238,2.0037966538272265,0.42542507166806154,-1.7004025299522845,0.06600123526704188
Jake LaRavia,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-1.4010881051908899,-0.03653378063573673,1.2312140445661017,-0.17745684126901018,-0.7341572668474513,-0.5437807138285314,-0.8577867672867128,-0.21595580064088488,-1.294335089101455,-0.27841268760801485,-1.1636616271971834,-0.07493355506802092
Jacob Gilyard,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.1427162386052157,-2.1861779682267315,0.09390305601223872,-0.10712587838681549,-2.8446350476971265,-0.005482786812602857,0.3914237377814586,-2.968820835375137,-1.294335089101455,-3.40313661484919,0.2223130528545835,-0.8484238575049496
GG Jackson II,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.1427162386052157,-2.1861779682267315,0.09390305601223872,-0.10712587838681549,-2.8446350476971265,-0.005482786812602857,0.3914237377814586,-2.968820835375137,-1.294335089101455,-3.40313661484919,0.2223130528545835,-0.8484238575049496
John Konchar,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.1427162386052157,-2.1861779682267315,0.09390305601223872,-0.10712587838681549,-2.8446350476971265,-0.005482786812602857,0.3914237377814586,-2.968820835375137,-1.294335089101455,-3.40313661484919,0.2223130528545835,-0.8484238575049496
Kenneth Lofton Jr.,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.1427162386052157,-2.1861779682267315,0.09390305601223872,-0.10712587838681549,-2.8446350476971265,-0.005482786812602857,0.3914237377814586,-2.968820835375137,-1.294335089101455,-3.40313661484919,0.2223130528545835,-0.8484238575049496
Ja Morant,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.1427162386052157,-2.1861779682267315,0.09390305601223872,-0.10712587838681549,-2.8446350476971265,-0.005482786812602857,0.3914237377814586,-2.968820835375137,-1.294335089101455,-1.5918283392636232,0.02229693936097143,0.3230890355771433
Vince Williams Jr.,Home,MEM,NOP,104,111,0,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.1427162386052157,-2.1861779682267315,0.09390305601223872,-0.10712587838681549,-2.8446350476971265,-0.005482786812602857,0.3914237377814586,-2.968820835375137,-1.294335089101455,-3.40313661484919,0.2223130528545835,-0.8484238575049496
Xavier Tillman Sr.,Home,MEM,DEN,104,108,0,06acef51-0e73-490f-9d50-375aedd6eaec,0.6014138453634091,3.777042281258537,1.4619577990603707,2.380054503621116,2.6772339517421933,1.227781546102715,-0.14893737659031722,1.2393565537454323,1.184072415940571,1.070427246878787,0.15496469997519335,-0.272783732568533
Desmond Bane,Home,MEM,DEN,104,108,0,06acef51-0e73-490f-9d50-375aedd6eaec,2.1197831265765417,1.5419534180564767,0.9695050546591966,-0.04158760822264322,-0.5936251610627586,-0.588169117176778,0.1777395598215058,-0.3008834959697405,3.0362326898781813,1.4892003794040731,-0.59008123179639,0.002106890301866098
