player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Terry Rozier,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,2.8566453160031045,1.4907296943946005,-1.7836777007314273,-0.6368166330955706,0.40586685647938997,-0.7226438268447095,0.16996736762523235,0.8766610380761811,0.30649301161446324,5.61913572739434,1.086687967844084,1.5606067236656878,1.34617343217606
Gordon Hayward,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,-0.24776087178935374,3.687611661756926,-1.8658964137701033,0.7966370234487754,2.582810093448067,0.5684570766811994,0.948380017370218,0.1709179252385742,-1.0310640282395584,1.2099506057794638,0.5178842433686338,1.3409954591541655,1.4533775740141428
P.J. Washington,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,3.3066294107158005,0.0017963335938810604,-0.846076521916935,0.15233277217856644,0.48144088835563487,-0.7398369277300082,0.17725591742784125,1.5753640427694562,-0.6046279331029085,-1.3044224520776515,0.9548814288220676,1.2403201774743224,0.4599573366982082
LaMelo Ball,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,3.0271374947593577,3.6738051631336206,-1.4569097413227314,-1.6097056493862199,0.9713823644618033,-0.9642355795611319,-0.006310548386185417,0.5750410395427924,1.537028528314745,1.7231314927185997,0.9814200107245238,1.1264812643699704,0.8051700265460072
Mark Williams,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,-0.2267087772724377,1.9702817694713428,2.422221638827695,1.4121143422686584,6.279636772597708,-0.560715519965245,0.6487437481287947,1.9297363046004843,-2.147868551627724,2.0257083106187306,-0.10556906475638317,2.187901908128943,1.1546972427589786
Brandon Miller,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,1.8074811069211816,-0.12071393262951731,-0.8369990840523721,0.1874697302811668,-0.4949668861026598,-0.7789721230263816,-0.45943149218821694,2.120940904734576,1.1625044878697712,-1.3044224520776515,0.7264709685162308,-0.0823586685144504,-0.7853292299701997
JT Thor,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,-0.29207616746831394,-1.5728260460222963,0.009404297464313281,-0.5793464700946659,-0.6357245810402982,-0.0859057153402068,0.8943518041716672,0.052360986313372,0.7229171931390328,-1.3044224520776515,0.09764270898622357,0.08307106731792561,0.7648913992038484
Nick Richards,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,-1.231772637437856,0.3521909022610722,-1.34359060193319,1.7655586514673685,1.0623122164575536,0.7673812891573493,-0.20855009039163308,2.3084719739578747,-2.350299054145758,3.6857057240014264,0.3236508939512008,-0.47090725147339607,-0.6952175699639057
Th̩o Maledon,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,-0.910010373503587,0.952946600042319,-1.4752323164046568,-0.622887041829628,-0.13353910012976242,-0.9495126341700415,-0.6156764268561686,-0.045481022121823,-0.09680881739325835,-1.3044224520776515,0.16485364689278137,-0.3661524449413762,0.2928709489476206
Nick Smith Jr.,Home,CHO,ATL,116,110,1,34815375-cd40-4317-ad44-8717ba11e81c,-2.0143719587704267,-1.9354410410638068,0.20111163932982512,-0.1753571468300937,-2.0397168396143885,-0.04977493844233171,0.16849626463360282,-2.7993358122321665,-0.17673674287937033,-1.3044224520776515,-1.3717192734995909,-0.49875175510466374,0.6450315695502827
