player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA5_2,PCA6_1,PCA6_2,PCA6_3
Kyrie Irving,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,3.1379237300421607,2.017801037839882,-0.3559244174383427,-0.47656442809560656,-1.0938577101293416,-0.3565458261156008,-0.33570566534978413,0.1107974948031086,-0.1705738958111572,0.49989380977860437,-0.28909086233306475,1.6346552252989441,-0.40546348463476123,0.044750161433065296
Grant Williams,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,2.38456801358268,0.40543145153172383,-1.2308142915583624,1.9185427937957493,1.2801136092922807,0.3262073687952071,-0.715371231878125,1.925897758223603,1.1593538544677877,0.5393897012749825,-0.1932696584257114,1.0794487495485867,0.0443831170846474,-0.09639086126050965
Luka DonÄiÄ,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,4.936898135958303,4.439887045420632,-0.39312579384141344,-1.569095489526355,3.9322634283907183,-2.2437544725842735,-2.1431355291120773,1.0364881035893745,0.13582528420176865,2.1198529363897776,-0.7996875141556489,2.174208152975867,0.7685107729596307,-0.6785269192553579
Maxi Kleber,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,0.27324383523020196,-0.5065444809630671,-0.2819243457439576,-0.2834811382847299,2.5678516635129145,0.30419711949419437,-0.007139313041289469,0.5971815332047026,1.4186358034689242,-1.189345701899674,-0.07171754449906981,0.19280670978647826,-0.759032391769035,-0.9332546224066031
Derrick Jones Jr.,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.3315905957323062,-1.0989407420230228,-0.6107207158744306,0.7757510316893822,-1.1644603883912334,-0.38357246571103115,-0.20766867502303324,-2.024560705039978,1.2785447492352449,0.6004012318191203,0.8702711583538645,-0.2094957814242231,-1.4533674695407388,1.0669049436421802
Dereck Lively II,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,0.25128056515492925,0.5623414963483634,0.49010676847360996,1.0197720832719406,3.9117000885304103,0.33902773210065223,1.9103722496823512,2.0368204017706075,-2.155495814738262,1.0150219474553788,0.04770180410380308,1.0415824962441553,1.5084546540838673,0.87258058211249
Josh Green,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,0.12088098244986864,0.06594744485836859,0.9555713310003017,0.4370338136058099,-0.7065618119512684,0.010809171579106333,1.485613621752527,3.062280200215136,1.081230996982315,1.9061872748546709,0.6320864366201866,0.5836749845126707,0.4317149841278066,-0.07328963466919076
Tim Hardaway Jr.,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,2.4395085934533123,0.5951267718911635,0.36691406423780043,-0.8426631574803335,1.2431335213564727,-0.8407995306014729,0.5006894775701413,0.8123420807040108,1.0882507614724066,2.041829691015732,-0.537759352501739,1.2585541991086482,0.6979433649338724,0.17507846355136847
Dante Exum,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.308545133396513,-1.5364460173692835,0.0616998630418809,-0.12093052884928601,-0.9053122556184771,-0.5341760408385888,-0.29232674205892567,0.7271458809445578,-0.23086103890402584,0.8690594894794451,0.6065440639846466,-0.3294023805472608,-0.27170986655713136,0.7138837217256823
Seth Curry,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-1.9412222623756554,-0.0002629295630244458,0.14443728872853243,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-1.0736393092870118,-0.13344971762926464,0.7516772370625486
Jaden Hardy,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Richaun Holmes,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Markieff Morris,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Dwight Powell,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Olivier-Maxence Prosper,Away,DAL,SAS,126,119,1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Luka DonÄiÄ,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,7.934408666603806,0.8250349156697782,-0.9859883394906641,-2.39991049723408,2.684834863943084,-1.7213596799893538,-1.4015732058967176,2.8014425139087975,0.739894888252661,4.0864400220932495,-1.454334343214337,2.4339969683804585,2.1979575932207323,-1.3190109306165723
Kyrie Irving,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,1.4987601906687325,0.3747428484986807,-0.708181493137799,-1.50113657449828,1.4331244873517146,-1.195371109310106,-0.6838117660210266,0.12820837984966738,-0.11377921510337721,2.00072172231542,-0.6374916259563314,1.228915937349161,-0.6729342308909335,-0.6169891501321857
Grant Williams,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-0.21730020309169754,0.3374954636182377,-1.133082669074772,2.1875322653323424,0.9958206756851851,-1.2994585707250306,-1.390225919375506,0.012173164927055533,1.0863556871696363,-1.189345701899674,-0.07171754449906981,0.39513087062077273,-0.988747043923279,0.18138044302788803
Dereck Lively II,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-0.6756902124813191,-1.1513088596754404,-0.5292870580803203,0.6105749745127257,0.1624174816812434,1.5034222991797213,0.4040842978491766,2.3711506793464516,-2.321823593488424,0.46579278529064777,0.543696851159415,0.25383571707274455,0.16998048167747729,-0.14208779147621348
Derrick Jones Jr.,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-0.8299123949628473,-0.523868095332144,-0.7546266667225363,0.3827107266117651,-1.1939263178334063,-0.36765435217203574,-0.1830134395655912,-0.3239062833924381,-0.14600846225549152,-1.189345701899674,-0.07171754449906981,0.09450570391095049,-0.7968299609794326,0.6981122283074844
Tim Hardaway Jr.,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,2.4740835301380564,-0.6150685940496357,-0.4576146146214379,0.18737721623605091,0.16385320756767552,-0.6521704895387297,0.07199933539981883,0.5589108817033542,0.6495051308143812,2.00072172231542,-0.6374916259563314,1.4591796676308821,0.22718554649973852,1.0096111611089034
Josh Green,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-0.4473669133456353,2.8208647418608708,2.0954227670013803,1.6768315163427263,-0.3238839510448782,-0.4270430994499344,0.34532458768403385,-0.7094732433666171,0.10603162096154839,2.05082186899664,0.5746829030544788,0.8900471297474032,-0.0782009107657199,0.7757044644888464
Maxi Kleber,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-1.6199417152788853,-0.9559644217461376,-0.1889003376745034,-0.665393470145093,0.8047697811230049,-0.9415627609534682,-0.16739999378224837,-2.346242385313712,-0.41839567921534776,-1.189345701899674,-0.07171754449906981,0.18628575559952865,0.25791608298212454,0.8810539756252531
Dwight Powell,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-0.20484780707320346,-0.7132375501036251,1.9505217795918723,0.016432689444452964,-0.07039235717880085,-0.11215243018660624,2.438893879880272,4.80667923568419,-0.04009569592324282,1.3174803102651798,0.3646044056740393,0.27006035880272494,0.8003559602912368,-1.5154450790528706
Seth Curry,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-1.5387445447557047,0.11531532139128098,-1.6023103947714816,1.7946875115746805,-1.8951455712850134,-0.028964690935787563,0.14163704057658308,2.1746698758332186,-2.2666268082410337,-1.189345701899674,-0.07171754449906981,-0.43861938579950294,-0.3278963307078601,0.41871323268309
Dante Exum,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-1.3527599458445918,0.48457857448756125,4.628465418411036,0.6302849988959563,-0.49049216773734844,5.3823773401206045,-0.9000106482656225,0.33084686079584885,-0.11976597298774858,-1.189345701899674,-0.07171754449906981,0.17669157541420275,1.0238514154315872,-1.071292875497661
Jaden Hardy,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Richaun Holmes,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Markieff Morris,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Olivier-Maxence Prosper,Home,DAL,BRK,125,120,1,653739b2-d05a-4efe-889c-5f98e6da05cf,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Luka DonÄiÄ,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,5.495479586504748,5.514029982348492,-2.347269514233251,-0.8616531865149943,3.32397096695371,-0.7849101747146968,-2.818459227561112,1.5757441287760414,0.797246767345301,3.7618706480708703,-1.190713933186053,2.322922659831297,0.6575382474346005,-0.3781261133540161
Josh Green,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,0.9700152015072585,0.27377447498021523,0.3787513633461313,-0.3850408989805609,-0.9200359872715345,-0.15665105006042254,0.5983258797905204,1.3316708626032399,0.4781315769060743,-1.189345701899674,-0.07171754449906981,0.9680615128348746,0.20055414842326066,0.03863261249786813
Grant Williams,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,1.8631881798994372,-0.47401158897138734,-0.6406841579911122,-0.09195913918579506,-0.428447574819622,-0.365476738976016,0.38707828954179907,2.308991015296172,1.8076581882578775,1.6643756942646004,0.04542600453434927,1.0917305147234362,1.2198080847428552,0.860656914912229
Derrick Jones Jr.,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,2.41818975971346,-1.2964433571692828,-0.30359949219378607,0.15280133033742077,-0.06432751924499445,-0.8109131042520066,-0.8291883600489518,2.94073395621688,0.8278112542818312,2.29343810508557,-0.08781246128596763,1.20697633427951,1.036381343475761,0.26734206840337554
Dereck Lively II,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,-1.4748280993938419,-0.7108939909938208,-0.08643981975809417,0.7258629512824332,2.9170600935221174,0.3838473979229825,-0.5631088134480143,0.19867578558657695,-1.4223264490240544,-1.189345701899674,-0.07171754449906981,-0.44796488364280657,-0.6291114428638472,0.3051559316816136
Tim Hardaway Jr.,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,2.611964691650123,-1.1050176699046794,-0.31736765352403407,0.31730654117702,0.3192582906435043,-0.9648601131682492,-1.0498794649130747,1.6814505934026658,0.44338835911921315,1.029724529362996,-0.3335215085081069,1.2140103739540338,0.19779517572589805,0.23702154480487875
Maxi Kleber,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,-0.3787716224685156,1.2405310418256283,-0.0903597439479395,1.330348619752972,0.8037263781517004,-0.8992888087718033,-0.00941119859041171,1.5225410411557614,0.9779335365261116,1.3174803102651798,0.3646044056740393,0.4568794298682425,0.35423545894100444,0.38569733792811
Seth Curry,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,-0.6123148632497167,1.0327121714464025,0.71557367081226,0.515276088486593,-0.10668270613045479,1.3435822195104314,-0.8273503916013095,-0.37010154944250767,1.2815661630581927,-1.189345701899674,-0.07171754449906981,0.3443796131434151,0.3580303769979791,1.25802557487271
Dwight Powell,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,-1.8116910513644735,0.29695165124718187,-2.497463006469215,4.73930555759208,4.836000263677586,7.349907712846723,0.030133258094350343,-2.0479041478977753,-0.5021043091597901,-1.189345701899674,-0.07171754449906981,-0.322689177494386,0.9467130130264151,0.41944775188217454
Jaden Hardy,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,0.08725923631908908,-0.37937678740685793,-0.7920992647617516,0.06521621184378859,-1.9565811594058693,0.009304324227896595,0.1453707047791822,0.7575105048141898,1.4497014202007543,-1.189345701899674,-0.07171754449906981,0.43150994974498535,-1.379752925761567,0.15107250821048132
Dante Exum,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,-1.410911654031979,-0.13632245567051077,-0.6825820837195762,-2.0386552699319296,2.540518536322414,-2.2969211483714083,-1.5507987379494403,-0.6487320346384554,-1.0877416423172306,-1.189345701899674,-0.07171754449906981,0.07826541581920717,0.09801016924992023,0.6873749311519747
Richaun Holmes,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
Markieff Morris,Away,DAL,MEM,125,110,1,55586816-b5c9-4663-ba0e-4b60f0d54767,-1.8116910513644735,-1.7428340239631492,0.09873478374187467,-0.3326288988822158,-2.545338878897405,0.3760490528798697,0.18115165338742384,-2.797218790709896,-0.2918593781365396,-1.189345701899674,-0.07171754449906981,-2.7331050483039485,0.6954159844458441,-0.24750831568169968
