player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Damian Lillard,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,5.269134907869506,-0.04236377064576769,-0.7572071339604641,-1.0163637274293582,1.6405248512805417,-1.3265149745818772,-1.7181177899494648,1.483703999932914,7.197331267750265,2.243107211893937,1.2085724720960833,-0.10166125143102324
Giannis Antetokounmpo,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,2.3784675905370025,4.018426328842118,0.2326784868271866,1.722120585871341,5.17680299855226,1.2629093557961728,0.7328418017821023,-0.13416694733675966,1.8923587099946575,1.9785921822747492,-1.5486616267367361,-0.7552231478901044
Malik Beasley,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,-0.7135864763219444,1.7643067140949138,1.1584854537049598,1.136495292648181,0.024042934189735396,-0.7155549251531989,-0.8938045493882615,1.7881327925045696,-1.0602601093351602,0.5288600207959477,-0.2715303050612786,-0.6144886409148641
Brook Lopez,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,1.2230458752009676,0.23967208578594085,-0.7821445734622732,1.6837652422138514,-0.6592253111620279,-0.24643274955652436,0.5966767435114606,3.028027178041437,-1.0602601093351602,0.8994338673743908,0.5741347388942819,0.5911040779798746
Khris Middleton,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,-0.32082475585088666,2.4369454719955748,1.6749219566076687,0.026563642384816486,0.09006357698824599,-0.8884073641679804,-0.9657132921647593,0.7305694933980345,0.6011891644427362,0.7986391325979929,0.9810020489843604,0.5910221456891237
Jae Crowder,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,-0.3991833803070495,1.4087768742192854,1.5484332977136013,0.4646550769161179,0.14451688111265393,-0.800038107624197,-0.9656616205656815,3.23191338095839,1.510855181632521,0.673048157430855,1.0056134507072985,0.23718310270140347
Pat Connaughton,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,-0.06434049538665544,-1.009003935531112,-0.4033059842221621,-0.7596053646990837,0.030648631721827215,1.5266030394725574,-0.7792708610037412,0.6054983477709706,1.258958280711146,0.36516226096026067,-0.3244056484785909,-0.5632268145896732
Bobby Portis,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,-0.22173181289147156,-0.1679872885854925,-0.6698496393552167,-0.6648844261999576,2.842139245946283,0.7357939877337236,0.5105731786308484,0.4460780253836726,0.29246993622347284,0.5881380403673389,-0.7584404064821265,-0.8578698237456416
MarJon Beauchamp,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,-1.1108623687793453,-1.054253479003146,-0.25450673226650705,0.08275959332652107,-0.308308749504193,-0.43946023807625006,0.7944500671648569,1.1920662316893844,-1.0602601093351602,-0.1442239942484038,-0.5184560471705059,-0.03968312375579893
Cameron Payne,Home,MIL,PHI,118,117,1,113df98a-698a-419b-8587-797fd4dd208e,-1.3309317785329662,-0.18690346326573115,1.9287278422397094,0.10654278895736499,-1.85663213218103,0.0749144675443816,0.08802216617118432,-0.6327017988784845,-1.0602601093351602,-0.2638232843506561,-1.2242358141159053,0.09254191364845875
