player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Scoot Henderson,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,0.41367599268913446,1.5257865168810336,-1.647107694942598,0.8143461441337168,-0.5287525451533792,-0.5352536396520764,-0.03715932842123092,0.18763819244863209,-0.5691169034682737,0.35391518811029354,1.3676348887101863,-1.1328711132974634,-0.3351796292125708
Jerami Grant,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,0.7357840051183259,-0.08683428571905198,-0.9839801637129514,0.9900366286478776,0.20024661916359227,1.0499403733423953,0.9822452220792419,0.12039765492531546,-0.3342103714118835,1.604499963658356,1.5033881566115472,-1.3335911812169443,-0.7303975925223424
Anfernee Simons,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,2.2035792362208357,0.9243924528700853,1.5894382298588872,-1.37986135270769,-0.894357257077322,-0.46040216130340234,0.32414526922895454,1.2823390573694133,0.1786042368109456,2.072790152819831,1.3748988564823184,-0.23690850587164908,-2.0848006308799456
Deandre Ayton,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,-1.2964425176673076,3.062694422255378,2.5180796402972843,2.775757430653258,5.420583569238474,-0.18054936447592293,-0.9584142191154176,0.0974274351116983,-1.4390690149331373,-1.3646324361804332,0.269999827271258,-0.16435574131019487,0.0459489834996724
Matisse Thybulle,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,0.7701626094533801,0.12719208389850808,0.4784225096683464,0.696626912032106,-1.2804279700783785,-0.36825177966960687,0.7776063181595099,1.401026369525391,1.4778993513172924,-1.3646324361804332,0.5795672723258006,-0.39493509475940974,-0.42740391645165915
Shaedon Sharpe,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,1.673100878290172,0.44605641134151236,0.49282887174727275,-0.5715438370576603,1.501414595776343,-1.2331972180628767,1.862941383793651,0.7882422587717786,0.052021911946362985,0.32492045845472034,0.5459817926245711,1.148562289498049,0.8269360668370369
Robert Williams,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,-0.35337745824008787,1.6635179949355303,3.121094335817035,1.8083555181271074,2.5338117595766674,0.6173481606175049,-0.23901410298998144,1.245640453664182,-1.8981183965260064,-0.9380484342637653,0.8363463372677044,-0.7336279456920144,-1.3984322355758931
Malcolm Brogdon,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,2.895032114681004,0.6556897446536456,-1.3636425811905553,-2.145070949575492,-0.8942544127782155,-0.39312655338566965,-0.7187267965840036,1.8023290815601172,0.04000518976934769,0.313322566592491,1.0847720485841819,1.1369596980748633,-0.5854149334507499
Toumani Camara,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,-0.14300230637387093,-1.1124057104180376,-0.3861353361783723,-0.32028101588802155,-0.05724265054133164,1.8307217124343804,-0.7118440949319607,2.2328118980592926,0.895633462588248,0.46720736908390165,-0.34175628180751066,1.2783598260118012,0.9679336380168639
Jabari Walker,Away,POR,LAC,111,123,0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,-1.258101170405661,-0.6356155534033646,-0.8559959992732546,1.5575787621536283,-0.44822643039090826,-0.6444481287213784,1.79825743571859,1.0459276906115682,-1.8161041060205194,2.0007933666864943,0.6809361552952068,0.37377114609243206,2.0181256867790847
