Player,PCA1_1,PCA2_1,PCA3_1,PCA3_2,PCA4_1,PCA5_1,PCA5_2
A.J. Green,-0.5447184752036112,-1.44573631084404,-1.554470988536514,-0.049571596522336975,-1.5844411844289013,1.1229404664155183,1.3094277044864937
A.J. Lawson,-1.5308596383601003,-1.953100327947845,-1.9689011258145284,-0.10165619095582029,-1.5718208522816395,1.6440881568750028,-1.8377298074865724
AJ Griffin,-0.1402840097566788,-0.7659854448445533,-1.2352596316506734,-0.3059386756167675,-1.264984493797331,0.10283541976492733,1.119514449827814
Aaron Gordon,2.364926221129916,3.092435711182385,1.563799610145665,-0.21528446592948458,2.5744985189532583,0.997411508259574,-0.12128709432140346
Aaron Henry,-2.041274958346401,-3.0956310424234954,-2.3322895155957313,-0.5469262260967863,-1.9353702986772172,-4.1126339125946325,-1.6890132289239885
Aaron Holiday,0.2686403499178459,-0.4599519572311914,0.3963304647989833,-0.12060959911383742,-1.1494828880299515,0.5232052033587664,1.1054584188300633
Aaron Nesmith,1.2087134197370941,0.16450672420213688,0.388820410269171,1.374443914208169,0.012037623775617842,0.8616600788053121,0.5419658326245488
Aaron Wiggins,1.0459196502876709,-0.06382547784166788,0.07962739355434137,0.3182766645972984,-0.10429987441775279,1.4398956620436987,0.4697092347992313
Abdel Nader,-1.0805398095277376,-1.1527783140813648,-0.42484591912310293,0.32883980010193936,-0.5936955131511567,0.08590485883599337,0.5424569716322584
Adam Flagler,-1.868300155156112,-2.2401656236875525,-2.089422535394787,-1.4519288588253396,-2.421524421703485,-4.67348699507456,-0.1886955136362407
Adam Mokoka,-1.763775895720745,-2.7885185580144434,-1.9381667959153954,-0.5916674179863329,-2.0300527186275774,-1.254930944952752,-2.548070446128153
Adama Sanogo,-1.6741954026247752,-1.3826959727620751,-1.8033667014476573,-0.29640676910597774,0.7072883802699648,0.06923872351675955,-1.660074338825752
Ade Murkey,-2.282901570659993,-3.3619513364002325,-2.7252327095412885,-0.7917693453853103,-2.421524421703485,-6.422658214713377,-0.6015011990033637
Admiral Schofield,-0.9378415763226574,-1.9620496871377722,-1.4068963945495312,0.17784624667111795,-1.3033066998767733,0.30827852402277045,0.059546482542038766
Ahmad Caver,-2.282901570659993,-2.671188063425055,-2.7252327095412885,-0.7917693453853103,-2.421524421703485,4.394965680557457,-5.50699753174887
Al Horford,2.27372276460616,1.309852826994416,0.7902368901048439,-0.11574550942611045,3.2185326611066776,1.3066480210773004,0.6046545413764396
