Team,Year,Champion,PCA1_1,PCA1_2,PCA1_3,PCA2_1,PCA2_2,PCA2_3,PCA2_4,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA5_2,PCA6_1,PCA6_2,PCA7_1,PCA7_2
ATL,2020,0,0.030068059490203535,-0.02341770433046522,1.1461832031815176,3.5156467960498228,1.5149698773203815,-1.2857820838446963,0.4340242724266244,-1.1208281527954438,0.11709231089386715,0.734942930910981,-2.2986072030759943,-0.9732140442047323,-3.2938849760608577,0.06972793854115986,1.3992835967837793,0.0975326841192576,1.4947351367193367,1.094227657240726
ATL,2021,0,-0.10799847117109915,-0.43247586028726986,-0.5239652174088664,-1.5476315675634102,-0.043046033360365596,-0.9861533400813367,0.06889098801257618,1.3402373812491182,-0.2614386475924424,-0.22545845423510394,0.13964314107065795,0.9021308585792008,1.1623690489645813,-0.32596855311360556,2.299149095718648,1.4350205408286776,-0.4227122628490791,0.06326966584843301
ATL,2022,0,-0.11715850079379167,0.24342464360455177,-0.20648892069007885,-2.57069677898334,-1.589084457163646,-0.534672366128055,-0.0556856937963189,-0.20425498738178627,-0.23259923768762492,-0.8480092414722288,0.4686863730706518,0.8073681424989015,0.527968315810886,0.10447367016616957,0.7557278792617502,1.0976070793667372,0.4904653429028273,-0.3204286749940504
ATL,2023,0,4.319536636477268,1.9446351640746793,0.19862422076441305,-1.0478171352130545,-1.2574717779604168,-0.5333668998947946,0.39306397749775723,0.37771121016033843,1.315722131383334,0.0578161620526728,0.6608414083423737,-0.9050201150459782,0.04630821326579724,0.08766065231731868,0.6291492572150721,1.412252179255073,1.8791344555432232,0.37019860353869116
ATL,2024,0,0.21999545131967654,2.6224022792757715,0.9189683739204407,-0.9910981389214296,-0.7131486015752294,0.6701437089758997,0.42268281040249817,0.8202954077190516,2.8141920523733166,-0.5770769373707417,0.008733769221700377,0.23188995604280607,-0.825044162304307,-0.8438885017733524,0.6359447233354741,0.7436206113158653,3.5242632516060333,-0.07867888729965544
BOS,2020,0,0.2110055875928766,0.30142618550939154,0.39568269877855505,1.900141011638742,-1.1937433995463682,-0.9023509243658594,-0.628658608225152,1.5609398648795647,-0.31564651038789515,0.9419752824469849,-0.6660037648908748,0.6032752597748423,2.9366406917204273,-0.8657364535108376,1.3780695704561023,0.6057694601495675,-2.941479007615904,0.3487982197020267
BOS,2021,0,-0.909121114847903,0.49638327454784287,0.23071718139989203,1.038526419780621,-0.27601461697044005,-0.834886399838728,-0.31396560817040325,0.6413298962058706,0.14976256321953837,0.18893678768762415,0.3102200827838915,0.8735409199078971,0.3842975082064196,-0.4024885305367005,-1.5650139211311516,-0.1527215017315933,-0.2726409346190999,-0.2999128623253176
BOS,2022,0,-1.5567508319694128,-0.16606388142595918,-0.16921110148687757,-1.0329159387314286,0.06504329048149717,0.2528958178230329,-0.5465856310659017,1.5401834993456334,-0.382590099543063,1.2349859616362875,0.19836967713375608,-0.5017821024271202,2.6711268817130294,-0.22051401723911065,-0.6661715942511693,1.3989675745686083,-3.6075655609912065,0.08846385883057385
BOS,2023,0,-3.4725688614201853,2.614041682568442,-0.24810066824803795,-2.1433498346724877,0.49604949411516225,-0.06426032011867518,0.9065383151166685,0.8792331814820695,-1.5254794218717929,0.3375071082986083,2.236259118304085,-0.004809354623135457,3.12781959650953,0.3015835179424246,-0.34977507133758146,1.3504041344505533,-0.8324931031538714,0.21303336255450878
BOS,2024,1,-2.6571163976203493,3.9630450957323955,-0.2743090252776099,-4.822344443980925,-0.8078630187895735,1.09360153722241,0.011448788839297447,1.7515949612092663,0.17009282361811154,2.427197622724673,3.475674140948359,0.24715047659511608,5.136192531500718,-0.7319736991576974,-2.374282339564746,1.5178384078598077,-1.3042080218329972,-0.018299999472465602
BRK,2020,0,-1.2507991046229254,0.269828954724098,1.1511015415538746,-0.33267607904808755,2.232271602623161,-1.2405823632437052,0.4026972064540611,2.4233855596329876,-1.304381731718275,-0.2914572785012669,-1.942228553466547,-0.415427406608182,0.10718675395087304,-1.4760555225685719,1.165510397289904,-1.5976903089419567,-1.6999944403404277,1.1378070165741094
BRK,2021,0,-0.7246816837921798,1.8041133807144583,-1.3624371188912507,-1.7429343626530793,0.5359942805188839,-0.04385152031922514,1.0437260193972557,-0.07191492433870893,-1.676812291672382,0.7644480120229891,3.4970898024101746,0.6423555354694943,2.4581674137735927,-0.29112330488878646,0.34886369083652063,1.2344088719016595,0.08567095970508334,0.5258683922567403
BRK,2022,0,1.5550935506504338,-0.23682797943129302,-0.31620775546769997,-0.12039453091701355,0.5077534183252131,-0.6705403808269035,0.6233924768779667,0.03568107814818186,0.5515931039332275,1.16130273822,0.3668254501129535,-0.1000182537923445,0.45987795734417924,0.26859573741326387,-0.08159012833504882,0.9580709872996829,-0.7460518789507451,0.5741141434750151
BRK,2023,0,-0.6335754226962962,-0.42053537599342683,-1.554716622892093,0.5673537057683247,0.16058676239628425,-0.8823930485428781,0.930695422715368,-3.3432406328912103,-0.34826704238301914,2.4132940950291912,2.3640066605307,0.1321408528102137,0.48422069282068264,0.7534628579253236,-0.07265928126707885,1.2155836705795122,-0.11881819128967964,0.24443836169009264
BRK,2024,0,-1.1486287841413587,-0.11922528444836866,0.6935526618708542,-1.8223762604706646,-0.15085680094083417,-0.36050966260442546,0.5756925724798393,0.29346014026321254,1.5782462154038874,0.3227367392752753,-0.888030643468983,0.5500975303212016,-1.4500292045211516,-0.8091666920050046,-2.2250687214081255,-0.5570614556479738,0.8412049491231248,-0.19361369031206324
CHI,2020,0,-0.7628912541317193,-1.5132796605179553,0.9845838678804384,5.6255381888990845,-1.1802715906662928,0.9558698929328204,-1.7794428410252887,-1.6815443317375547,1.1155413233889024,-0.9988366588965268,-2.293948646926524,0.18742393373756186,-1.1669510897304658,-3.500254724018643,-2.129417239542496,-0.8751521546494105,-0.705217465407966,-0.7219816232598436
