top15_PTS,top15_AST,top15_DRB,top15_ORB,top15_FT,top15_STL,top15_BLK,top15_3P,TEAM,YEAR
1,0,1,1,0,0,1,0,NYK,2022
1,0,0,0,2,0,0,1,CHI,2022
1,1,1,0,0,1,1,0,CLE,2022
0,1,2,1,1,0,1,2,ATL,2022
0,1,1,0,0,1,0,0,SAS,2022
0,1,1,0,1,0,1,1,DAL,2022
0,1,0,1,1,1,0,0,DEN,2022
0,1,0,0,0,1,0,1,CHO,2022
0,1,0,2,1,1,2,1,MEM,2022
0,2,0,0,1,0,0,0,OKC,2022
0,1,1,0,0,0,1,1,LAL,2022
0,1,2,1,1,1,2,1,BOS,2022
0,0,1,1,1,1,0,0,PHO,2022
0,0,1,0,0,0,0,0,WAS,2022
0,0,0,2,1,1,2,1,UTA,2022
0,0,0,1,0,0,1,0,DET,2022
0,0,0,0,0,1,0,0,ORL,2022
0,0,0,0,0,0,0,1,POR,2022
1,2,0,1,0,0,0,2,GSW,2023
1,0,1,2,1,1,2,0,ATL,2023
1,1,0,0,1,0,0,2,POR,2023
1,0,0,0,1,1,1,0,ORL,2023
1,1,1,0,1,1,0,1,BOS,2023
1,0,0,0,0,1,0,0,NOP,2023
1,0,0,0,1,1,0,0,CHI,2023
2,0,1,1,0,0,0,1,MIA,2023
1,0,0,0,0,0,2,0,IND,2023
1,0,0,0,1,1,0,0,OKC,2023
1,0,1,1,0,1,1,1,MIN,2023
1,1,0,0,0,1,0,1,TOR,2023
1,0,0,2,1,0,0,0,HOU,2023
1,0,0,0,0,0,0,0,WAS,2023
0,2,1,1,1,1,0,1,DEN,2023
0,1,1,1,1,1,0,0,PHO,2023
0,1,0,0,1,0,1,1,MEM,2023
0,1,1,0,1,1,0,1,DAL,2023
0,1,1,1,0,1,1,1,CLE,2023
0,1,1,0,1,0,1,0,MIL,2023
0,1,2,1,1,0,1,0,LAL,2023
0,1,0,0,0,0,0,0,SAS,2023
0,1,0,1,0,1,0,0,DET,2023
0,0,1,0,0,1,1,0,PHI,2023
0,0,1,1,1,0,1,1,NYK,2023
0,0,1,1,0,0,1,0,BRK,2023
0,0,1,1,1,0,1,1,UTA,2023
0,0,0,0,0,1,0,1,LAC,2023
0,0,0,0,0,0,1,0,CHO,2023
1,0,1,2,0,0,1,0,BRK,2024
1,0,0,1,0,0,0,0,CHO,2024
2,0,1,0,1,0,0,1,BOS,2024
1,1,1,2,0,2,0,1,HOU,2024
2,1,1,0,1,1,1,1,CLE,2024
2,1,0,0,0,0,1,2,GSW,2024
1,0,0,0,0,0,1,0,IND,2024
1,1,1,0,0,0,1,0,SAS,2024
2,0,1,1,0,0,0,0,POR,2024
1,1,1,1,0,0,0,0,DET,2024
1,0,0,0,0,2,0,1,LAC,2024
0,1,1,1,1,1,1,1,DAL,2024
0,2,1,1,0,2,0,0,DEN,2024
0,1,1,1,1,0,1,0,LAL,2024
0,1,0,0,0,0,0,0,WAS,2024
0,2,1,1,2,0,1,1,MIL,2024
0,1,0,0,1,0,0,0,PHO,2024
0,1,0,0,1,0,0,0,NYK,2024
0,1,1,2,1,1,1,2,ATL,2024
0,0,2,1,1,0,1,0,MIN,2024
0,0,1,0,0,0,0,1,MIA,2024
0,0,0,1,0,0,1,1,UTA,2024
0,0,0,0,1,1,1,0,OKC,2024
0,0,0,0,1,1,0,0,CHI,2024
0,0,0,0,1,0,1,0,MEM,2024
0,0,0,0,1,1,1,0,ORL,2024
0,0,0,0,1,2,0,1,NOP,2024
0,0,0,0,0,1,0,1,SAC,2024
0,0,0,0,0,0,1,0,TOR,2024
0,0,0,0,0,0,0,1,PHI,2024
