Player,Year,Team,Stat,Value-Stat
Isiah Thomas,1992,DET,AST,7.2
Scottie Pippen,1992,CHI,AST,7.0
Gary Grant,1992,LAC,AST,6.9
Johnny Dawkins,1992,PHI,AST,6.9
Mookie Blaylock,1992,NJN,AST,6.8
John Bagley,1992,BOS,AST,6.6
Michael Jordan,1992,CHI,AST,6.1
Terry Porter,1992,POR,AST,5.8
Winston Garland,1992,DEN,AST,5.3
Hakeem Olajuwon,1992,HOU,DRB,8.6
Patrick Ewing,1992,NYK,DRB,8.5
Karl Malone,1992,UTA,DRB,8.4
David Robinson,1992,SAS,DRB,8.4
Pervis Ellison,1992,WSB,DRB,7.9
Brad Daugherty,1992,CLE,DRB,7.8
Charles Barkley,1992,PHI,DRB,7.5
Detlef Schrempf,1992,IND,DRB,7.1
Larry Johnson,1992,CHH,DRB,7.0
Terry Davis,1992,DAL,DRB,6.5
Derrick Coleman,1992,NJN,DRB,6.4
Shawn Kemp,1992,SEA,DRB,6.3
Robert Parish,1992,BOS,DRB,6.2
Lionel Simmons,1992,SAC,DRB,6.2
Horace Grant,1992,CHI,DRB,5.7
Dennis Rodman,1992,DET,ORB,6.4
Chris Dudley,1992,NJN,ORB,4.2
Horace Grant,1992,CHI,ORB,4.2
Shawn Kemp,1992,SEA,ORB,4.1
Larry Johnson,1992,CHH,ORB,3.9
Moses Malone,1992,MIL,ORB,3.9
David Robinson,1992,SAS,ORB,3.8
Charles Barkley,1992,PHI,ORB,3.6
Hakeem Olajuwon,1992,HOU,ORB,3.5
Terry Davis,1992,DAL,ORB,3.4
Buck Williams,1992,POR,ORB,3.3
Pervis Ellison,1992,WSB,ORB,3.3
Terry Catledge,1992,ORL,ORB,3.3
Michael Cage,1992,SEA,ORB,3.2
Charles Oakley,1992,NYK,ORB,3.1
Karl Malone,1992,UTA,FT,8.3
Michael Jordan,1992,CHI,FT,6.1
Charles Barkley,1992,PHI,FT,6.1
David Robinson,1992,SAS,FT,5.8
Brad Daugherty,1992,CLE,FT,5.7
Kevin Johnson,1992,PHO,FT,5.7
Reggie Miller,1992,IND,FT,5.4
Šarūnas Marčiulionis,1992,GSW,FT,5.2
Hersey Hawkins,1992,PHI,FT,5.0
Joe Dumars,1992,DET,FT,5.0
Moses Malone,1992,MIL,FT,4.8
Hakeem Olajuwon,1992,HOU,FT,4.7
Micheal Williams,1992,IND,FT,4.7
Patrick Ewing,1992,NYK,FT,4.6
Detlef Schrempf,1992,IND,FT,4.6
John Stockton,1992,UTA,STL,3.0
Micheal Williams,1992,IND,STL,2.9
Mookie Blaylock,1992,NJN,STL,2.4
Michael Jordan,1992,CHI,STL,2.3
David Robinson,1992,SAS,STL,2.3
Chris Mullin,1992,GSW,STL,2.1
Sedale Threatt,1992,LAL,STL,2.0
Scottie Pippen,1992,CHI,STL,1.9
Michael Adams,1992,WSB,STL,1.9
Ron Harper,1992,LAC,STL,1.9
Hersey Hawkins,1992,PHI,STL,1.9
Gary Grant,1992,LAC,STL,1.8
Charles Barkley,1992,PHI,STL,1.8
Hakeem Olajuwon,1992,HOU,STL,1.8
Nate McMillan,1992,SEA,STL,1.8
David Robinson,1992,SAS,BLK,4.5
Hakeem Olajuwon,1992,HOU,BLK,4.3
Patrick Ewing,1992,NYK,BLK,3.0
Larry Nance,1992,CLE,BLK,3.0
Duane Causwell,1992,SAC,BLK,2.7
Pervis Ellison,1992,WSB,BLK,2.7
Mark Eaton,1992,UTA,BLK,2.5
Hot Rod Williams,1992,CLE,BLK,2.3
Chris Dudley,1992,NJN,BLK,2.2
Shawn Kemp,1992,SEA,BLK,1.9
Lionel Simmons,1992,SAC,BLK,1.7
Sam Bowie,1992,NJN,BLK,1.7
Horace Grant,1992,CHI,BLK,1.6
Randy Breuer,1992,MIN,BLK,1.5
Derrick Coleman,1992,NJN,BLK,1.5
Glen Rice,1992,MIA,3P,2.0
Chuck Person,1992,IND,3P,1.6
Reggie Miller,1992,IND,3P,1.6
Michael Adams,1992,WSB,3P,1.6
Terry Porter,1992,POR,3P,1.6
Mark Price,1992,CLE,3P,1.4
Mitch Richmond,1992,SAC,3P,1.3
Scott Skiles,1992,ORL,3P,1.2
Dana Barros,1992,SEA,3P,1.1
Dan Majerle,1992,PHO,3P,1.1
Craig Ehlo,1992,CLE,3P,1.1
Mike Iuzzolino,1992,DAL,3P,1.1
Hersey Hawkins,1992,PHI,3P,1.1
Danny Ainge,1992,POR,3P,1.0
John Stockton,1992,UTA,3P,1.0
Kevin Duckworth,1993,POR,PTS,9.9
Mark Aguirre,1993,DET,PTS,9.9
Larry Stewart,1993,WSB,PTS,9.8
Rolando Blackman,1993,NYK,PTS,9.7
Randy White,1993,DAL,PTS,9.7
Vern Fleming,1993,IND,PTS,9.5
Sam Bowie,1993,NJN,PTS,9.1
Johnny Dawkins,1993,PHI,PTS,8.9
Mike Iuzzolino,1993,DAL,PTS,8.7
Bill Laimbeer,1993,DET,PTS,8.7
Anthony Bonner,1993,SAC,PTS,8.6
Rod Higgins,1993,SAC,PTS,8.3
