Player,Year,Team,Stat,Value-Stat
Kevin Johnson,1996,PHO,AST,9.2
Grant Hill,1996,DET,AST,6.9
Mahmoud Abdul-Rauf,1996,DEN,AST,6.8
Tyus Edney,1996,SAC,AST,6.1
Scottie Pippen,1996,CHI,AST,5.9
Mookie Blaylock,1996,ATL,AST,5.9
Terry Porter,1996,MIN,AST,5.5
Pooh Richardson,1996,LAC,AST,5.4
Brent Price,1996,WSB,AST,5.1
Rick Fox,1996,BOS,AST,4.6
Anthony Mason,1996,NYK,AST,4.4
Trevor Ruffin,1996,PHI,AST,4.4
Larry Johnson,1996,CHH,AST,4.4
Detlef Schrempf,1996,SEA,AST,4.4
Michael Jordan,1996,CHI,AST,4.3
Dennis Rodman,1996,CHI,DRB,9.3
Patrick Ewing,1996,NYK,DRB,8.5
Hakeem Olajuwon,1996,HOU,DRB,8.4
David Robinson,1996,SAS,DRB,8.3
Grant Hill,1996,DET,DRB,8.2
Charles Barkley,1996,PHO,DRB,8.1
Shawn Kemp,1996,SEA,DRB,7.9
Karl Malone,1996,UTA,DRB,7.7
Dino Radja,1996,BOS,DRB,7.7
Popeye Jones,1996,DAL,DRB,7.0
Anthony Mason,1996,NYK,DRB,6.6
Horace Grant,1996,ORL,DRB,6.4
Gheorghe Mureșan,1996,WSB,DRB,6.3
Vlade Divac,1996,LAL,DRB,6.1
Chris Dudley,1996,POR,DRB,6.0
Dennis Rodman,1996,CHI,ORB,5.6
Jayson Williams,1996,NJN,ORB,4.3
David Robinson,1996,SAS,ORB,3.9
Popeye Jones,1996,DAL,ORB,3.8
Shawn Kemp,1996,SEA,ORB,3.5
Michael Cage,1996,CLE,ORB,3.5
Charles Barkley,1996,PHO,ORB,3.4
Gheorghe Mureșan,1996,WSB,ORB,3.3
Larry Johnson,1996,CHH,ORB,3.1
Charles Oakley,1996,NYK,ORB,3.1
Chris Dudley,1996,POR,ORB,3.0
Horace Grant,1996,ORL,ORB,2.8
P.J. Brown,1996,NJN,ORB,2.7
Anthony Mason,1996,NYK,ORB,2.7
Matt Geiger,1996,CHH,ORB,2.6
David Robinson,1996,SAS,FT,7.6
Michael Jordan,1996,CHI,FT,6.7
Shawn Kemp,1996,SEA,FT,6.2
Karl Malone,1996,UTA,FT,6.2
Charles Barkley,1996,PHO,FT,6.2
Grant Hill,1996,DET,FT,6.1
Kevin Johnson,1996,PHO,FT,6.1
Reggie Miller,1996,IND,FT,5.7
Hakeem Olajuwon,1996,HOU,FT,5.5
Larry Johnson,1996,CHH,FT,5.3
Mitch Richmond,1996,SAC,FT,5.2
Patrick Ewing,1996,NYK,FT,4.6
Detlef Schrempf,1996,SEA,FT,4.6
Latrell Sprewell,1996,GSW,FT,4.5
Sean Elliott,1996,SAS,FT,4.2
Mookie Blaylock,1996,ATL,STL,2.6
Michael Jordan,1996,CHI,STL,2.2
Hersey Hawkins,1996,SEA,STL,1.8
Scottie Pippen,1996,CHI,STL,1.7
Karl Malone,1996,UTA,STL,1.7
John Stockton,1996,UTA,STL,1.7
Nate McMillan,1996,SEA,STL,1.7
Charles Barkley,1996,PHO,STL,1.6
Nick Anderson,1996,ORL,STL,1.6
Hakeem Olajuwon,1996,HOU,STL,1.6
Latrell Sprewell,1996,GSW,STL,1.6
Kevin Johnson,1996,PHO,STL,1.5
Mitch Richmond,1996,SAC,STL,1.5
Chris Mullin,1996,GSW,STL,1.4
Bryant Stith,1996,DEN,STL,1.4
David Robinson,1996,SAS,BLK,3.3
Hakeem Olajuwon,1996,HOU,BLK,2.9
Patrick Ewing,1996,NYK,BLK,2.4
Gheorghe Mureșan,1996,WSB,BLK,2.3
Jim McIlvaine,1996,WSB,BLK,2.1
Vlade Divac,1996,LAL,BLK,1.7
Ervin Johnson,1996,SEA,BLK,1.6
Shawn Kemp,1996,SEA,BLK,1.6
Dino Radja,1996,BOS,BLK,1.5
Hot Rod Williams,1996,PHO,BLK,1.5
Pervis Ellison,1996,BOS,BLK,1.4
Brian Grant,1996,SAC,BLK,1.3
Chris Dudley,1996,POR,BLK,1.3
Horace Grant,1996,ORL,BLK,1.2
P.J. Brown,1996,NJN,BLK,1.2
Mookie Blaylock,1996,ATL,3P,2.9
Mitch Richmond,1996,SAC,3P,2.8
Chuck Person,1996,SAS,3P,2.4
Allan Houston,1996,DET,3P,2.3
Nick Anderson,1996,ORL,3P,2.2
Glen Rice,1996,CHH,3P,2.2
Reggie Miller,1996,IND,3P,2.2
Sean Elliott,1996,SAS,3P,2.1
Mahmoud Abdul-Rauf,1996,DEN,3P,2.1
Dell Curry,1996,CHH,3P,2.0
Scottie Pippen,1996,CHI,3P,1.9
Dana Barros,1996,BOS,3P,1.9
Dan Majerle,1996,CLE,3P,1.8
Hersey Hawkins,1996,SEA,3P,1.8
Joe Dumars,1996,DET,3P,1.8
P.J. Brown,1997,MIA,PTS,9.5
Matt Maloney,1997,HOU,PTS,9.4
Sam Mitchell,1997,MIN,PTS,9.3
Will Perdue,1997,SAS,PTS,8.7
Mark Davis,1997,PHI,PTS,8.5
Derek Strong,1997,ORL,PTS,8.5
Derrick McKey,1997,IND,PTS,8.0
Hot Rod Williams,1997,PHO,PTS,8.0
Popeye Jones,1997,TOR,PTS,7.8
Doug West,1997,MIN,PTS,7.8
Kobe Bryant,1997,LAL,PTS,7.6
Lamond Murray,1997,LAC,PTS,7.4
Antoine Carr,1997,UTA,PTS,7.4
Greg Ostertag,1997,UTA,PTS,7.3
Ervin Johnson,1997,DEN,PTS,7.1
Kevin Johnson,1997,PHO,AST,9.3
Grant Hill,1997,DET,AST,7.3
Latrell Sprewell,1997,GSW,AST,6.3
Mookie Blaylock,1997,ATL,AST,5.9
Scottie Pippen,1997,CHI,AST,5.7
Anthony Mason,1997,CHH,AST,5.7
Mark Price,1997,GSW,AST,4.9
Charles Barkley,1997,HOU,AST,4.7
Karl Malone,1997,UTA,AST,4.5
Detlef Schrempf,1997,SEA,AST,4.4
Michael Jordan,1997,CHI,AST,4.3
Mitch Richmond,1997,SAC,AST,4.2
Chris Mullin,1997,GSW,AST,4.1
Lee Mayberry,1997,VAN,AST,4.1
Joe Dumars,1997,DET,AST,4.0
Charles Barkley,1997,HOU,DRB,9.5
Anthony Mason,1997,CHH,DRB,8.8
Patrick Ewing,1997,NYK,DRB,8.4
Ervin Johnson,1997,DEN,DRB,8.3
Karl Malone,1997,UTA,DRB,7.5
Grant Hill,1997,DET,DRB,7.5
Derrick Coleman,1997,PHI,DRB,7.3
Hakeem Olajuwon,1997,HOU,DRB,7.0
Charles Oakley,1997,NYK,DRB,6.7
Shawn Kemp,1997,SEA,DRB,6.6
Arvydas Sabonis,1997,POR,DRB,6.3
Vlade Divac,1997,CHH,DRB,6.0
Will Perdue,1997,SAS,DRB,6.0
Horace Grant,1997,ORL,DRB,5.9
Bryant Reeves,1997,VAN,DRB,5.8
Dennis Rodman,1997,CHI,ORB,5.8
Charles Barkley,1997,HOU,ORB,4.0
Will Perdue,1997,SAS,ORB,3.9
Popeye Jones,1997,TOR,ORB,3.4
Shawn Kemp,1997,SEA,ORB,3.4
Horace Grant,1997,ORL,ORB,3.1
Charles Oakley,1997,NYK,ORB,3.1
Vlade Divac,1997,CHH,ORB,3.0
P.J. Brown,1997,MIA,ORB,3.0
Ervin Johnson,1997,DEN,ORB,2.8
Derrick Coleman,1997,PHI,ORB,2.8
Hot Rod Williams,1997,PHO,ORB,2.6
Anthony Mason,1997,CHH,ORB,2.5
Chris Dudley,1997,POR,ORB,2.5
Karl Malone,1997,UTA,ORB,2.4
Karl Malone,1997,UTA,FT,6.4
Kevin Johnson,1997,PHO,FT,6.3
Latrell Sprewell,1997,GSW,FT,6.2
Michael Jordan,1997,CHI,FT,5.9
Glen Rice,1997,CHH,FT,5.9
Mitch Richmond,1997,SAC,FT,5.6
Shawn Kemp,1997,SEA,FT,5.6
Patrick Ewing,1997,NYK,FT,5.6
Grant Hill,1997,DET,FT,5.6
Charles Barkley,1997,HOU,FT,5.4
Reggie Miller,1997,IND,FT,5.2
Derrick Coleman,1997,PHI,FT,4.8
Hakeem Olajuwon,1997,HOU,FT,4.5
Anthony Mason,1997,CHH,FT,4.4
Detlef Schrempf,1997,SEA,FT,4.1
Mookie Blaylock,1997,ATL,STL,2.7
Rick Fox,1997,BOS,STL,2.2
John Stockton,1997,UTA,STL,2.0
Nick Anderson,1997,ORL,STL,1.9
Hersey Hawkins,1997,SEA,STL,1.9
Scottie Pippen,1997,CHI,STL,1.9
Kerry Kittles,1997,NJN,STL,1.9
Grant Hill,1997,DET,STL,1.8
Michael Jordan,1997,CHI,STL,1.7
Jerome Kersey,1997,LAL,STL,1.7
Latrell Sprewell,1997,GSW,STL,1.7
Bryon Russell,1997,UTA,STL,1.6
Malik Sealy,1997,LAC,STL,1.6
Lindsey Hunter,1997,DET,STL,1.6
Chris Mullin,1997,GSW,STL,1.6
Ervin Johnson,1997,DEN,BLK,2.8
Patrick Ewing,1997,NYK,BLK,2.4
Hakeem Olajuwon,1997,HOU,BLK,2.2
Vlade Divac,1997,CHH,BLK,2.2
Greg Ostertag,1997,UTA,BLK,2.0
Jim McIlvaine,1997,SEA,BLK,2.0
Will Perdue,1997,SAS,BLK,1.6
Gheorghe Mureșan,1997,WSB,BLK,1.3
Hot Rod Williams,1997,PHO,BLK,1.3
Stojko Vranković,1997,MIN,BLK,1.3
Derrick Coleman,1997,PHI,BLK,1.3
Arvydas Sabonis,1997,POR,BLK,1.2
P.J. Brown,1997,MIA,BLK,1.2
Chris Dudley,1997,POR,BLK,1.2
Rik Smits,1997,IND,BLK,1.1
Reggie Miller,1997,IND,3P,2.8
Mookie Blaylock,1997,ATL,3P,2.8
Glen Rice,1997,CHH,3P,2.6
Mitch Richmond,1997,SAC,3P,2.5
Nick Anderson,1997,ORL,3P,2.3
Joe Dumars,1997,DET,3P,2.1
Lindsey Hunter,1997,DET,3P,2.0
Matt Maloney,1997,HOU,3P,1.9
Kerry Kittles,1997,NJN,3P,1.9
Scottie Pippen,1997,CHI,3P,1.9
Dell Curry,1997,CHH,3P,1.9
Latrell Sprewell,1997,GSW,3P,1.8
Allan Houston,1997,NYK,3P,1.8
LaPhonso Ellis,1997,DEN,3P,1.7
Hersey Hawkins,1997,SEA,3P,1.7
Dana Barros,1998,BOS,PTS,9.8
Chris Mills,1998,NYK,PTS,9.7
P.J. Brown,1998,MIA,PTS,9.6
Lawrence Funderburke,1998,SAC,PTS,9.5
Kevin Johnson,1998,PHO,PTS,9.5
Terry Porter,1998,MIN,PTS,9.5
Mark Price,1998,ORL,PTS,9.5
Dell Curry,1998,CHH,PTS,9.4
Ron Harper,1998,CHI,PTS,9.3
Steve Nash,1998,PHO,PTS,9.1
Charles Oakley,1998,NYK,PTS,9.0
Bryon Russell,1998,UTA,PTS,9.0
Jaren Jackson,1998,SAS,PTS,8.8
Matt Maloney,1998,HOU,PTS,8.6
Ervin Johnson,1998,MIL,PTS,8.0
John Stockton,1998,UTA,AST,8.5
Grant Hill,1998,DET,AST,6.8
Mookie Blaylock,1998,ATL,AST,6.7
Kevin Johnson,1998,PHO,AST,4.9
Mark Price,1998,ORL,AST,4.7
Detlef Schrempf,1998,SEA,AST,4.4
Lee Mayberry,1998,VAN,AST,4.4
Anthony Mason,1998,CHH,AST,4.2
Mitch Richmond,1998,SAC,AST,4.0
Karl Malone,1998,UTA,AST,3.9
Dana Barros,1998,BOS,AST,3.6
Joe Dumars,1998,DET,AST,3.5
Michael Jordan,1998,CHI,AST,3.5
Steve Nash,1998,PHO,AST,3.4
Rick Fox,1998,LAL,AST,3.4
Dennis Rodman,1998,CHI,DRB,9.8
Tim Duncan,1998,SAS,DRB,8.6
Charles Barkley,1998,HOU,DRB,8.1
Anthony Mason,1998,CHH,DRB,8.0
Karl Malone,1998,UTA,DRB,8.0
Arvydas Sabonis,1998,POR,DRB,7.9
Derrick Coleman,1998,PHI,DRB,7.4
David Robinson,1998,SAS,DRB,7.3
Jayson Williams,1998,NJN,DRB,6.8
Shawn Kemp,1998,CLE,DRB,6.6
Grant Hill,1998,DET,DRB,6.5
Charles Oakley,1998,NYK,DRB,6.4
Bison Dele,1998,DET,DRB,6.1
Brian Grant,1998,POR,DRB,5.9
Ervin Johnson,1998,MIL,DRB,5.5
Jayson Williams,1998,NJN,ORB,6.8
Dennis Rodman,1998,CHI,ORB,5.3
Charles Barkley,1998,HOU,ORB,3.5
Zydrunas Ilgauskas,1998,CLE,ORB,3.4
Erick Dampier,1998,GSW,ORB,3.3
David Robinson,1998,SAS,ORB,3.3
Tim Duncan,1998,SAS,ORB,3.3
P.J. Brown,1998,MIA,ORB,3.2
Brian Grant,1998,POR,ORB,3.2
Horace Grant,1998,ORL,ORB,3.0
Ervin Johnson,1998,MIL,ORB,3.0
Vlade Divac,1998,CHH,ORB,2.9
Bison Dele,1998,DET,ORB,2.9
Alan Henderson,1998,ATL,ORB,2.9
Terry Davis,1998,WAS,ORB,2.8
Karl Malone,1998,UTA,FT,7.8
Michael Jordan,1998,CHI,FT,6.9
David Robinson,1998,SAS,FT,6.6
Grant Hill,1998,DET,FT,5.9
Mitch Richmond,1998,SAC,FT,5.8
Glen Rice,1998,CHH,FT,5.2
Shawn Kemp,1998,CLE,FT,5.1
Derrick Coleman,1998,PHI,FT,5.1
Reggie Miller,1998,IND,FT,4.7
Kobe Bryant,1998,LAL,FT,4.6
Charles Barkley,1998,HOU,FT,4.4
Arvydas Sabonis,1998,POR,FT,4.4
Tim Duncan,1998,SAS,FT,3.9
Derek Strong,1998,ORL,FT,3.8
Detlef Schrempf,1998,SEA,FT,3.8
Mookie Blaylock,1998,ATL,STL,2.6
Hersey Hawkins,1998,SEA,STL,1.8
Grant Hill,1998,DET,STL,1.8
Kerry Kittles,1998,NJN,STL,1.7
Michael Jordan,1998,CHI,STL,1.7
Lindsey Hunter,1998,DET,STL,1.7
Charles Oakley,1998,NYK,STL,1.6
Lamond Murray,1998,LAC,STL,1.5
John Stockton,1998,UTA,STL,1.4
Shawn Kemp,1998,CLE,STL,1.4
Mitch Richmond,1998,SAC,STL,1.3
Ron Harper,1998,CHI,STL,1.3
Vlade Divac,1998,CHH,STL,1.3
Bobby Phills,1998,CHH,STL,1.3
Rick Fox,1998,LAL,STL,1.2
David Robinson,1998,SAS,BLK,2.6
Tim Duncan,1998,SAS,BLK,2.5
Greg Ostertag,1998,UTA,BLK,2.1
Ervin Johnson,1998,MIL,BLK,2.0
Jim McIlvaine,1998,SEA,BLK,1.8
Erick Dampier,1998,GSW,BLK,1.7
Zydrunas Ilgauskas,1998,CLE,BLK,1.6
Vlade Divac,1998,CHH,BLK,1.5
Keith Closs,1998,LAC,BLK,1.4
P.J. Brown,1998,MIA,BLK,1.3
Derrick Coleman,1998,PHI,BLK,1.2
John Wallace,1998,TOR,BLK,1.2
Rik Smits,1998,IND,BLK,1.2
Shawn Kemp,1998,CLE,BLK,1.1
Bryant Reeves,1998,VAN,BLK,1.1
Joe Dumars,1998,DET,3P,2.2
Reggie Miller,1998,IND,3P,2.0
Mitch Richmond,1998,SAC,3P,1.9
Isaiah Rider,1998,POR,3P,1.8
Matt Maloney,1998,HOU,3P,1.6
Eric Piatkowski,1998,LAC,3P,1.6
Glen Rice,1998,CHH,3P,1.6
Chuck Person,1998,SAS,3P,1.6
Dan Majerle,1998,MIA,3P,1.5
Hersey Hawkins,1998,SEA,3P,1.5
Matt Bullard,1998,HOU,3P,1.4
Kerry Kittles,1998,NJN,3P,1.4
Jaren Jackson,1998,SAS,3P,1.4
Dana Barros,1998,BOS,3P,1.3
Chris Mullin,1998,IND,3P,1.3
Dana Barros,1999,BOS,PTS,9.3
Cedric Henderson,1999,CLE,PTS,9.1
Horace Grant,1999,ORL,PTS,8.9
Erick Dampier,1999,GSW,PTS,8.8
Matt Harpring,1999,ORL,PTS,8.2
Calbert Cheaney,1999,WAS,PTS,7.7
Charles Oakley,1999,TOR,PTS,7.0
Danny Ferry,1999,CLE,PTS,7.0
Chuck Person,1999,CHH,PTS,6.1
Ervin Johnson,1999,MIL,PTS,5.1
Tim Duncan,1999,SAS,PTS,21.7
Grant Hill,1999,DET,PTS,21.1
Kobe Bryant,1999,LAL,PTS,19.9
Mitch Richmond,1999,WAS,PTS,19.7
Hakeem Olajuwon,1999,HOU,PTS,18.9
John Stockton,1999,UTA,AST,7.5
Grant Hill,1999,DET,AST,6.0
Scottie Pippen,1999,HOU,AST,5.9
Vlade Divac,1999,SAC,AST,4.3
Dana Barros,1999,BOS,AST,4.2
Kobe Bryant,1999,LAL,AST,3.8
Detlef Schrempf,1999,SEA,AST,3.7
Charles Oakley,1999,TOR,AST,3.4
Terry Porter,1999,MIA,AST,2.9
Allan Houston,1999,NYK,AST,2.7
Hersey Hawkins,1999,SEA,AST,2.5
Mitch Richmond,1999,WAS,AST,2.4
Arvydas Sabonis,1999,POR,AST,2.4
Tim Duncan,1999,SAS,AST,2.4
Cedric Henderson,1999,CLE,AST,2.3
Tim Duncan,1999,SAS,DRB,8.2
Hakeem Olajuwon,1999,HOU,DRB,7.4
Danny Fortson,1999,DEN,DRB,7.4
Vlade Divac,1999,SAC,DRB,7.2
Arvydas Sabonis,1999,POR,DRB,6.1
Detlef Schrempf,1999,SEA,DRB,5.9
Grant Hill,1999,DET,DRB,5.8
Charles Oakley,1999,TOR,DRB,5.6
Scottie Pippen,1999,HOU,DRB,5.2
Horace Grant,1999,ORL,DRB,4.7
P.J. Brown,1999,MIA,DRB,4.6
Matt Geiger,1999,PHI,DRB,4.5
Erick Dampier,1999,GSW,DRB,4.4
Kobe Bryant,1999,LAL,DRB,4.2
Ervin Johnson,1999,MIL,DRB,4.0
Danny Fortson,1999,DEN,ORB,4.2
Erick Dampier,1999,GSW,ORB,3.3
Tim Duncan,1999,SAS,ORB,3.2
Vlade Divac,1999,SAC,ORB,2.8
Matt Geiger,1999,PHI,ORB,2.7
Ervin Johnson,1999,MIL,ORB,2.4
P.J. Brown,1999,MIA,ORB,2.3
Horace Grant,1999,ORL,ORB,2.3
Hakeem Olajuwon,1999,HOU,ORB,2.1
Charles Oakley,1999,TOR,ORB,1.9
Arvydas Sabonis,1999,POR,ORB,1.8
Matt Harpring,1999,ORL,ORB,1.8
Detlef Schrempf,1999,SEA,ORB,1.5
Scottie Pippen,1999,HOU,ORB,1.3
Bryon Russell,1999,UTA,ORB,1.3
Grant Hill,1999,DET,FT,5.7
Mitch Richmond,1999,WAS,FT,5.0
Tim Duncan,1999,SAS,FT,4.9
Kobe Bryant,1999,LAL,FT,4.9
Reggie Miller,1999,IND,FT,4.5
Detlef Schrempf,1999,SEA,FT,4.0
Hakeem Olajuwon,1999,HOU,FT,3.9
Vlade Divac,1999,SAC,FT,3.6
Allan Houston,1999,NYK,FT,3.4
Danny Fortson,1999,DEN,FT,3.4
Matt Geiger,1999,PHI,FT,2.8
Bryon Russell,1999,UTA,FT,2.7
Arvydas Sabonis,1999,POR,FT,2.7
John Stockton,1999,UTA,FT,2.7
Scottie Pippen,1999,HOU,FT,2.6
Scottie Pippen,1999,HOU,STL,2.0
Hakeem Olajuwon,1999,HOU,STL,1.6
John Stockton,1999,UTA,STL,1.6
Grant Hill,1999,DET,STL,1.6
Hersey Hawkins,1999,SEA,STL,1.6
Bryon Russell,1999,UTA,STL,1.5
Kobe Bryant,1999,LAL,STL,1.4
Mitch Richmond,1999,WAS,STL,1.3
Lamond Murray,1999,LAC,STL,1.2
Cedric Henderson,1999,CLE,STL,1.2
Terry Porter,1999,MIA,STL,1.0
Dana Barros,1999,BOS,STL,1.0
P.J. Brown,1999,MIA,STL,0.9
Chris Mullin,1999,IND,STL,0.9
Tim Duncan,1999,SAS,STL,0.9
Tim Duncan,1999,SAS,BLK,2.5
Hakeem Olajuwon,1999,HOU,BLK,2.5
Arvydas Sabonis,1999,POR,BLK,1.3
Erick Dampier,1999,GSW,BLK,1.2
Horace Grant,1999,ORL,BLK,1.2
Ervin Johnson,1999,MIL,BLK,1.1
Vlade Divac,1999,SAC,BLK,1.0
P.J. Brown,1999,MIA,BLK,1.0
Kobe Bryant,1999,LAL,BLK,1.0
Matt Geiger,1999,PHI,BLK,0.8
Scottie Pippen,1999,HOU,BLK,0.7
Grant Hill,1999,DET,BLK,0.5
Detlef Schrempf,1999,SEA,BLK,0.5
Cedric Henderson,1999,CLE,BLK,0.5
Lamond Murray,1999,LAC,BLK,0.4
Reggie Miller,1999,IND,3P,2.1
Chris Mullin,1999,IND,3P,1.5
Mitch Richmond,1999,WAS,3P,1.4
Scottie Pippen,1999,HOU,3P,1.4
Michael Dickerson,1999,HOU,3P,1.4
Dana Barros,1999,BOS,3P,1.3
Terry Porter,1999,MIA,3P,1.2
Allan Houston,1999,NYK,3P,1.1
Chuck Person,1999,CHH,3P,1.1
Hersey Hawkins,1999,SEA,3P,1.1
Bryon Russell,1999,UTA,3P,1.0
Danny Ferry,1999,CLE,3P,0.8
Sean Elliott,1999,SAS,3P,0.8
Lamond Murray,1999,LAC,3P,0.7
Detlef Schrempf,1999,SEA,3P,0.7
Matt Geiger,2000,PHI,PTS,9.7
P.J. Brown,2000,MIA,PTS,9.6
George Lynch,2000,PHI,PTS,9.6
Vonteego Cummings,2000,GSW,PTS,9.4
Terry Porter,2000,SAS,PTS,9.4
Richard Hamilton,2000,WAS,PTS,9.0
Bryant Reeves,2000,VAN,PTS,8.9
Troy Hudson,2000,LAC,PTS,8.8
Eric Piatkowski,2000,LAC,PTS,8.7
Steve Nash,2000,DAL,PTS,8.6
LaPhonso Ellis,2000,ATL,PTS,8.4
Corey Maggette,2000,ORL,PTS,8.4
Pat Garrity,2000,ORL,PTS,8.2
Jason Terry,2000,ATL,PTS,8.1
Horace Grant,2000,SEA,PTS,8.1
John Stockton,2000,UTA,AST,8.6
Mookie Blaylock,2000,GSW,AST,6.7
Grant Hill,2000,DET,AST,5.2
Scottie Pippen,2000,POR,AST,5.0
Kobe Bryant,2000,LAL,AST,4.9
Steve Nash,2000,DAL,AST,4.9
Anthony Mason,2000,CHH,AST,4.5
Jason Terry,2000,ATL,AST,4.3
Lamar Odom,2000,LAC,AST,4.2
Lindsey Hunter,2000,DET,AST,4.0
Latrell Sprewell,2000,NYK,AST,4.0
Troy Hudson,2000,LAC,AST,3.9
Karl Malone,2000,UTA,AST,3.7
Isaiah Rider,2000,ATL,AST,3.7
Ron Harper,2000,LAL,AST,3.4
Tim Duncan,2000,SAS,DRB,8.9
Patrick Ewing,2000,NYK,DRB,7.5
Karl Malone,2000,UTA,DRB,7.4
David Robinson,2000,SAS,DRB,7.2
Derrick Coleman,2000,CHH,DRB,6.9
Anthony Mason,2000,CHH,DRB,6.8
Arvydas Sabonis,2000,POR,DRB,6.3
Shawn Kemp,2000,CLE,DRB,6.0
Vlade Divac,2000,SAC,DRB,5.9
Elton Brand,2000,CHI,DRB,5.7
Lamar Odom,2000,LAC,DRB,5.7
Horace Grant,2000,SEA,DRB,5.6
Charles Oakley,2000,TOR,DRB,5.3
Grant Hill,2000,DET,DRB,5.3
Dirk Nowitzki,2000,DAL,DRB,5.2
Elton Brand,2000,CHI,ORB,4.3
Tim Duncan,2000,SAS,ORB,3.5
Alan Henderson,2000,ATL,ORB,3.2
George Lynch,2000,PHI,ORB,2.9
Ervin Johnson,2000,MIL,ORB,2.9
Shawn Kemp,2000,CLE,ORB,2.8
P.J. Brown,2000,MIA,ORB,2.7
Danny Fortson,2000,BOS,ORB,2.6
Matt Geiger,2000,PHI,ORB,2.4
David Robinson,2000,SAS,ORB,2.4
Patrick Ewing,2000,NYK,ORB,2.3
Scot Pollard,2000,SAC,ORB,2.2
Horace Grant,2000,SEA,ORB,2.2
Greg Ostertag,2000,UTA,ORB,2.1
Lamar Odom,2000,LAC,ORB,2.1
Karl Malone,2000,UTA,FT,7.2
Grant Hill,2000,DET,FT,6.5
Tim Duncan,2000,SAS,FT,6.2
Shawn Kemp,2000,CLE,FT,6.0
Kobe Bryant,2000,LAL,FT,5.0
Paul Pierce,2000,BOS,FT,4.9
Reggie Miller,2000,IND,FT,4.6
David Robinson,2000,SAS,FT,4.6
Elton Brand,2000,CHI,FT,4.5
Glen Rice,2000,LAL,FT,4.3
Latrell Sprewell,2000,NYK,FT,4.2
Mitch Richmond,2000,WAS,FT,4.0
Derrick Coleman,2000,CHH,FT,4.0
Lamar Odom,2000,LAC,FT,4.0
Anthony Mason,2000,CHH,FT,3.8
Paul Pierce,2000,BOS,STL,2.1
Mookie Blaylock,2000,GSW,STL,2.0
John Stockton,2000,UTA,STL,1.7
Kobe Bryant,2000,LAL,STL,1.6
George Lynch,2000,PHI,STL,1.6
Lindsey Hunter,2000,DET,STL,1.6
Bryon Russell,2000,UTA,STL,1.6
Mitch Richmond,2000,WAS,STL,1.5
Grant Hill,2000,DET,STL,1.4
Lamond Murray,2000,CLE,STL,1.4
Michael Dickerson,2000,VAN,STL,1.4
Scottie Pippen,2000,POR,STL,1.4
Dan Majerle,2000,MIA,STL,1.3
Charles Oakley,2000,TOR,STL,1.3
Nick Anderson,2000,SAC,STL,1.3
David Robinson,2000,SAS,BLK,2.3
Tim Duncan,2000,SAS,BLK,2.2
Greg Ostertag,2000,UTA,BLK,2.1
Jim McIlvaine,2000,NJN,BLK,1.8
Derrick Coleman,2000,CHH,BLK,1.8
Ervin Johnson,2000,MIL,BLK,1.6
Elton Brand,2000,CHI,BLK,1.6
Patrick Ewing,2000,NYK,BLK,1.4
Lamar Odom,2000,LAC,BLK,1.3
Keith Closs,2000,LAC,BLK,1.3
Rik Smits,2000,IND,BLK,1.3
Vlade Divac,2000,SAC,BLK,1.3
Shawn Kemp,2000,CLE,BLK,1.2
Arvydas Sabonis,2000,POR,BLK,1.2
Rasho Nesterović,2000,MIN,BLK,1.0
Lindsey Hunter,2000,DET,3P,2.0
Reggie Miller,2000,IND,3P,2.0
Nick Anderson,2000,SAC,3P,1.8
Dan Majerle,2000,MIA,3P,1.6
Michael Dickerson,2000,VAN,3P,1.5
Kerry Kittles,2000,NJN,3P,1.5
Matt Bullard,2000,HOU,3P,1.4
Mookie Blaylock,2000,GSW,3P,1.4
Dirk Nowitzki,2000,DAL,3P,1.4
Dell Curry,2000,TOR,3P,1.4
Terry Porter,2000,SAS,3P,1.3
Bryon Russell,2000,UTA,3P,1.3
Jaren Jackson,2000,SAS,3P,1.3
Allan Houston,2000,NYK,3P,1.3
Mitch Richmond,2000,WAS,3P,1.3
Larry Johnson,2001,NYK,PTS,9.9
Bryant Stith,2001,BOS,PTS,9.7
Patrick Ewing,2001,SEA,PTS,9.6
Rick Fox,2001,LAL,PTS,9.6
Charles Oakley,2001,TOR,PTS,9.6
Marcus Fizer,2001,CHI,PTS,9.5
LaPhonso Ellis,2001,MIN,PTS,9.4
Lucious Harris,2001,NJN,PTS,9.4
Morris Peterson,2001,TOR,PTS,9.3
Fred Hoiberg,2001,CHI,PTS,9.1
Chris Porter,2001,GSW,PTS,8.6
P.J. Brown,2001,CHH,PTS,8.5
Horace Grant,2001,LAL,PTS,8.5
George Lynch,2001,PHI,PTS,8.4
Pat Garrity,2001,ORL,PTS,8.3
John Stockton,2001,UTA,AST,8.7
Steve Nash,2001,DAL,AST,7.3
Mookie Blaylock,2001,GSW,AST,6.7
Lamar Odom,2001,LAC,AST,5.2
Kobe Bryant,2001,LAL,AST,5.0
Jason Terry,2001,ATL,AST,4.9
Scottie Pippen,2001,POR,AST,4.6
Karl Malone,2001,UTA,AST,4.5
Jacque Vaughn,2001,UTA,AST,3.9
Fred Hoiberg,2001,CHI,AST,3.6
Latrell Sprewell,2001,NYK,AST,3.5
Charles Oakley,2001,TOR,AST,3.4
Vonteego Cummings,2001,GSW,AST,3.4
Michael Dickerson,2001,VAN,AST,3.3
