opp_Opponent,Location,Opponent,PCA1_1,PCA1_2,PCA1_3,PCA2_1,PCA2_2,PCA2_3,PCA2_4,PCA2_5,PCA3_1,PCA3_2,PCA3_3,PCA3_4,PCA4_1,PCA4_2,PCA4_3,PCA5_1,PCA5_2,PCA6_1,PCA6_2,PCA7_1,PCA7_2,PCA7_3,PCA7_4,PCA8_1,PCA8_2,PCA8_3
OKC,Away,CHI,0.8119230699658194,-0.05949758323652882,-1.7650581097909939,-0.8730466823924896,-2.2811361327536788,0.7409673647073949,-0.44941290487611746,0.13712072148672055,-0.21375328990217915,-0.599267504934418,-2.141431855307881,-0.4330424037293962,2.38705048119933,1.2617268359388132,0.040695569670541595,-1.0323138697451844,-0.053358202372810616,-2.0782710333471885,0.5932230034991676,-0.873260831693802,-1.0452230695656692,0.47725020461593665,0.801950991674932,2.0634479826135497,0.3597258229263263,-0.3245097627942832
OKC,Away,CLE,-1.6017572655207142,-0.09166271176313062,-0.1754993547902368,-0.6219623386918299,-1.1440410507406462,0.6358017273451321,-2.309347495299728,0.25656771734177614,1.6122717251708132,-2.7574142349192465,0.24386402395861376,-0.05542566104644696,-1.3444047854927221,-0.979225508799824,1.896219141984204,-0.931557152481937,-0.5531976182742662,-2.5508216202750593,1.0741227415166819,0.9940259910165381,2.6923410850652836,1.497024015583666,0.3065239887256359,2.238842206657934,-1.617377046203976,-0.2040620254501916
OKC,Home,DEN,-2.7749154573530532,1.23270858628894,0.7886168393513721,-1.9713943087625065,-0.1928715236261543,-2.200164302377496,0.5530646135096162,0.3781158745366133,-3.6889612779953755,0.20191219849532774,-0.5888240544978255,0.49341347427877746,-4.258130743751329,-0.08925934268395733,-0.6073438334335067,-0.571138619165115,0.039793574038147726,4.743434928463029,-2.402930330029881,2.405843671382808,0.49595910965722645,1.5756983119215262,0.5249982302872714,0.6611553013172483,1.019690358018303,-0.7272915930480189
OKC,Home,DET,-0.5376098905038922,-1.040818269664193,-0.49473022106838777,-0.1217172943971401,0.4091231046362597,-0.06151159486915159,-2.0038108648959234,0.5186072246886166,0.9226541856289138,-1.6733152340571336,0.32477534002282743,-0.37349437716707956,1.0063738026849451,-0.6256649758652392,0.33721494853406453,2.352162027193275,0.04092086711388547,0.34032814241713494,-1.2691248453488737,-0.8614139356327902,-0.3436390333218644,-0.2339492679498279,0.6397747726657607,-1.1946965411551824,1.3825618218562323,0.3084096895615781
OKC,Home,NOP,-2.0682244184753045,0.7954751108595153,0.4230102725446957,1.297504727192098,-1.5016091924889476,0.29247603662515786,-1.818911273008425,-2.075384357234205,-0.11840383293383798,-0.5497857473094053,-1.6334094123242564,-2.1573026724330338,-3.2523413874475517,0.25655353905269923,-0.8291220735691703,1.1193781765152075,1.1656688062510456,-2.1051803547668624,0.9239709867574203,3.308261549019823,-0.8948481209628446,0.4701383171385748,-0.3379986092071502,0.9316604211842412,-1.0582089202914782,-1.0788780553452364
OKC,Home,GSW,0.9344505110788281,-2.066153954109309,-0.4618005582224434,1.9294377519818757,-2.15774103879363,0.8760503292563234,-2.445662243514871,1.3534025902098128,-2.8625131152183854,1.6902574088492464,-1.7531541264881718,0.303180586265206,3.470292912336241,-0.932011570840074,0.1413054706076711,2.777587329674774,-0.1998291681613494,4.460252504440688,1.4227628784552404,-1.242898662029261,-2.5070226850624504,-0.4588205007135663,0.7003754458468205,0.7854273676356137,2.0782408213421166,-0.08942570426493235
OKC,Home,ATL,0.6531908568679914,0.1373744561409309,0.41826046299689673,2.334960670717028,-0.13799178320179822,0.1714355794122874,-0.18959378238648547,0.7355086437931807,0.16376931433824474,1.000011138644977,0.6393839257374426,-2.0866620104917475,-0.1905287399916523,-0.06722983006599517,0.29884467171475954,0.12131140643566489,1.5434942407454062,-1.5562930663114412,1.2968798317764785,2.657465788542685,-2.968270696916395,-0.7935697548335159,-1.4212788235471105,0.4626222889684558,0.497256821010148,-0.011736838691102966
OKC,Home,CLE,-0.3992088597777119,-1.124754235291312,0.02080929963769239,2.988168175084482,1.9962935849007708,1.567581108142815,-1.8268457342146731,-0.5259621320196802,0.3669382559911667,1.0701457016595086,1.4510970007120987,0.5101456289614056,0.7043920412115184,-0.9280589931904271,0.3403301999786984,2.8755573872793745,1.4537998555877218,0.966047263238407,-2.277280222657035,-1.0005195650986816,-0.30362944156782573,-0.9306843313806609,-0.6007064012905724,1.187235587307123,-0.25365745078246643,1.137030133023561
OKC,Away,SAC,-2.5939386560113236,0.5898430250097006,0.48673343701042004,-1.2964671361711437,-0.2341629668423605,0.315104107299511,-1.5546621876635973,0.31036039996298126,-1.9099732827652722,-1.0888687222518674,-0.8822084578993942,-0.8322907675259845,-3.297275583622582,-0.4001815811553439,-0.5070085237249943,-0.8968692195129817,-0.21378523698969124,-2.1048643924600174,1.628755786770634,3.307838657546108,1.225206137376353,-0.018483123396611848,1.0430355911767264,1.6495877858352606,1.099435497329308,0.906899494191395
OKC,Away,PHO,-2.009260149967835,-0.5437622085743997,-0.3224416919141792,2.139182088386889,1.9377602660801216,-0.550501467194259,0.27309253821708507,0.3069114195254243,-2.656391391874257,-1.2336156742362778,0.9557469483496828,-0.588893916451984,-0.5424910688390109,-0.7849328168670257,0.12420158243299452,0.9971535037485838,0.150953994675241,-2.610704177332544,-2.1269548254121995,2.635486768951257,-0.45318236158563796,-0.5283858487781742,1.245131771079738,-1.7269000452269356,-1.711386161480607,0.11869796184061791
