opp_Opponent,Location,Opponent,PCA1_1,PCA1_2,PCA1_3,PCA2_1,PCA2_2,PCA2_3,PCA2_4,PCA2_5,PCA3_1,PCA3_2,PCA3_3,PCA3_4,PCA4_1,PCA4_2,PCA4_3,PCA5_1,PCA5_2,PCA6_1,PCA6_2,PCA7_1,PCA7_2,PCA7_3,PCA7_4,PCA8_1,PCA8_2
DEN,Home,LAL,1.1529549313495966,0.24718156674322747,0.12443744401929195,-1.228368218522504,0.2965745250810384,0.06316529579623517,-0.7947177901754605,-0.6157033787289039,-1.0181187548302093,0.3427034154371714,-0.09324364194608536,-0.3281943860438661,1.0550984588869676,0.3396679265448125,-0.04605389456286584,-1.7051315312660476,-0.12348993756252256,-0.8042528839114255,-0.5234329207554903,0.40428287209668573,1.1212768066313668,0.05093969649552602,0.3980517684784576,-1.4173721483753319,-0.3066074579729754
DEN,Away,MEM,0.020456202798299725,1.4065646440057682,-0.456609766372713,0.8292850278614518,3.4854642416388892,1.5482296043924983,-0.8229976801966155,-0.4392340034370531,-1.987530823901204,2.9483143712820974,0.7127865343185009,0.4039097091387003,-1.0168723165608853,1.2971300686087461,0.049115720822588846,-0.037327361002537335,-1.1381384937174919,-2.2483616558766952,0.49907223519808286,2.7002603041523354,-0.24216561716684987,0.334806070149866,0.6953095931496848,2.5914496768259454,-2.1026367783720117
DEN,Away,OKC,1.1140774435786214,-1.744889635945942,0.15449274986656908,-0.590119798941951,0.42696966669256337,0.05855939822696491,0.3560346342131392,0.1870596242045504,2.1944230739794026,-0.7674144986620858,1.2764505077035762,0.7898977666225663,2.755004612865617,-1.0584669231979824,-0.473504285966799,-1.7381428303584565,0.9480511081777436,-4.525789618899069,0.011299473198088944,-3.956744423120205,-1.0599086974804224,-0.24714991895891067,0.25341118122460515,-0.1707047788700187,-1.0778293539008341
DEN,Home,UTA,-0.681118842132921,-0.9446868035074931,-0.2111607491013861,-2.75357931172141,-1.2671727370563133,-0.18666936313701293,2.328319026594712,-1.3783261234609094,-1.5958661065468465,1.7659493333677614,0.5111811964616865,-0.9721729655753094,0.4505817906621389,-0.6215893703384581,-0.8663888655165729,-1.016928708166901,-3.2991404262331536,-2.189149346881726,1.5526718098074417,2.0409843028715517,2.564931035351788,-0.6125968288423389,-0.19234064136815318,0.2569907238214122,1.4315748077274888
DEN,Away,MIN,-2.2124470588477574,1.2118154744807035,1.8476824285273818,2.621206170352729,0.0772013745659626,2.083954534246793,-0.9859713801030845,0.7056849298900939,-0.2880184658684496,1.8654933416186805,-0.3342654349843107,1.2722139187268369,-4.577207208732405,-0.15587598004479017,-0.6122920323786027,-2.58916363265007,-0.3796040732444905,-0.8478207937433978,-2.4896739289431054,2.0091285931882013,-1.3294566486093824,-1.3522429946639325,-1.2610844978388687,0.04127177443712103,-1.9688021459923384
DEN,Home,DAL,1.231830558660013,-0.5684177974823665,0.5331966837602671,-0.9326930828605141,3.383352865905762,1.4909096690492059,0.2923360607276518,0.17183546322037943,3.4628454168738396,0.13455409991838088,-2.102385444595535,0.5653967211905001,1.1965506761436813,-0.46072419486773764,0.40758342847008716,-0.192353737995202,-0.2589755169208847,2.23117194800794,2.614849985183111,-2.9621667299809182,-0.5792448645488523,1.7626174611914422,-1.0058423926363167,2.553763207771442,-0.9402868278364124
DEN,Home,CHI,0.771582768205811,0.6692854747386291,-1.8684825694310951,-0.2645212742388587,1.1362559747343943,-1.219798553520018,0.11781701806801613,-0.5977029997471806,1.3887121842241972,-0.9520200389892951,1.408750736267576,-0.21699117197724532,1.701646980516491,1.5684232333434904,-0.14320980683569937,2.4615212812179106,0.019631425337982233,-2.3728994751114993,-1.4952172878973713,-1.9532204706006704,-0.2971521847447688,-0.6121682034572882,0.1998661673792071,0.43145455564395685,0.8640740364333634
DEN,Home,NOP,2.7189149068318015,0.47368755154933506,0.5244522120362437,-1.7964780424614741,-0.19463783862708237,-0.9375816847771282,0.45338674130479845,1.9016474783499515,0.5970195605835035,-0.6348653624435456,0.40219879835353284,0.5438425880647383,1.5964527871941971,0.7992684477279571,-0.6575748301825599,0.49267778756403513,-0.15726337885315533,1.9047154576513516,-0.37379738877673874,-1.8521876027048825,0.11341666687774339,-1.2213809971511265,0.1758053388397312,-0.9841231999591975,-0.58782259010359
DEN,Home,GSW,-0.3689341783327293,1.0005537167806515,0.5225590471654549,0.6912797436858175,-2.117220983552441,-1.1424285489765857,-2.042915287598705,-0.4654994971986011,-0.6083955080471268,-0.495912569460655,0.5394780197542662,-0.5646998812329208,-1.5646892751495902,0.49095003924827246,-0.19789621112056996,0.40378995908832066,-0.8081082085546186,-1.2164077855805697,0.9366791788612819,1.0093785036995362,1.3810217552814754,-2.2918716605632516,-0.8205369417024936,-1.7361564955419995,-0.601650833702844
DEN,Away,HOU,-0.9504975712628623,0.416092877757515,0.7102314237950101,1.9918562108356728,-2.911168192917385,0.812336645251174,-0.3632543268102319,-0.08020161547373153,0.9005585369915893,-0.11115330752819622,0.29750448528835716,-0.7098192531305482,-1.6781020740692423,-0.08560288485328305,-0.4775455618176072,-1.4445200504924605,0.31922676262401417,-1.295660948974252,0.23224370817233084,0.412378297996707,0.2381133019870095,-0.24592059154333148,-0.8152503599091433,-1.0284850383502355,-1.4793923484539022
