opp_Opponent,Location,Opponent,PCA1_1,PCA1_2,PCA1_3,PCA2_1,PCA2_2,PCA2_3,PCA2_4,PCA2_5,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA4_3,PCA5_1,PCA5_2,PCA6_1,PCA6_2,PCA7_1,PCA7_2,PCA7_3,PCA7_4,PCA8_1,PCA8_2
DET,Away,MIA,-0.19726033910384178,-0.08888843745559968,0.702296461978957,1.1627112203587828,-2.1727172518297873,-0.2984671582619893,0.5366044585022476,-0.2949339249801055,3.6232682247505004,3.5048419876182204,-0.4384594229585681,-0.8993805849970322,-0.24341174462945633,0.2945700274719676,-1.9157740313303788,-1.9472580012454246,-4.041271847124891,-1.6596147244748403,-0.2413877712645277,1.5070600971922168,-2.217923376569507,-1.92987188580438,1.4748442305622134,-1.0040585918868234
DET,Away,CHO,-0.2786517119041987,-0.32807613001035174,-0.12281526105249459,2.4248136673031513,-0.1788080317630745,3.2759178347032365,0.46110436695028695,-1.0765805886856679,2.399574461164612,-0.06887563952266436,-0.731635648177721,-0.6171627974063991,-0.24446747735011237,-0.05838067439855293,1.4621465942571659,0.24539738966219027,-6.484724969278626,-0.33369891246834543,-0.8279033817157935,0.4362583486251731,0.7473777474948028,-1.0459341772736959,1.4693324149900449,-0.7995069004105132
DET,Home,CHI,0.7771972941648321,-0.5946252667344514,-1.0202714420912857,-1.0454352182169577,-2.149341095245622,-0.18853840315524648,1.1784154740480526,0.21853509048451242,3.2486445153593233,-0.5174222388408118,1.5427305857243179,2.882370943433086,-0.7528635123213346,-0.1306866921245386,-0.08242609044846598,-0.043767536065653576,-3.031270601550058,-0.30349912856433287,-4.174636747607317,2.7495196270466873,-0.41447697202407685,-0.6418112735098686,1.0280377481867433,-3.234155781065905
DET,Away,OKC,0.4018960151343917,0.1405434912605865,-0.4457695800260577,1.960691832977478,0.022881835905156505,0.558437227538033,2.1110165636601113,-0.5907721943391682,-0.07235865261214057,0.2840470806754804,0.681034648091446,0.15007591669846707,-0.9933258820523859,2.2159928272392175,0.6003290350385967,0.028807957962622227,1.4864244602587662,-0.9521540174714207,0.5707995525192234,-0.7646623812302552,2.6363369999213524,0.24610365227474834,-0.06981948785226451,-1.8342501285743928
DET,Home,POR,-0.6058440955129422,-0.2781529456786377,0.25525568781557584,1.8098723783034447,2.6644485442118535,2.555759947986379,-0.6853005349737163,-0.20888816897155937,-1.6758706712710294,-0.7201252614022347,-1.1015992205129803,-1.1474145980412382,-0.5615060398879448,0.5257374655359561,-2.5591537162111186,1.2043106348011698,-2.8638849118840106,-2.83517051554388,1.297854439298003,-1.643894107949783,0.5342024940229696,0.2544404978195778,0.21011925485004318,-0.49202491569830986
DET,Away,NOP,1.1720851396100422,0.7281219401605534,0.8241491601205333,4.304075094049201,-0.34499157168959493,0.04451239828684382,0.7829244300725814,0.7096726366869287,2.5716494977695215,0.5223656116729612,2.223884308009195,-0.17732856853024642,0.6162363636086546,0.4383179215828779,0.9285272907021345,0.3072605444944799,1.3245538129739554,0.13181189551324082,-2.7117763806257495,0.574432850181838,1.3914287084393375,-0.507997134428642,-1.8401079436046148,0.45428395360171686
DET,Home,PHO,-0.8001112201476419,-1.652319733494246,-0.5898141779585672,1.1376680542015531,0.9370917292508726,0.9732138626404455,-0.4949312294503421,1.307790802660603,-2.344571170478698,2.043468350528161,1.5882193876874702,0.3608515285984519,-1.5563332833192114,-0.49382578018997725,-2.133603465077869,0.908527369792859,-0.14385002886974316,-2.8846421282723598,1.4221971783335614,2.860154856771682,1.4443230568258603,0.25526545453379335,-0.6675505199633831,0.8506760674393843
DET,Home,GSW,-0.6432906672391328,0.7639073913537766,-1.1409952196095139,-1.2018442515843124,0.01491076292140852,0.6541319619726242,-0.20139179398882867,-0.28077590466870594,-1.9344023043908256,-0.5040791778219386,0.4966965738001671,1.3583169755260678,0.18514078392200342,0.5355220099961044,-0.012737300493591602,1.9287936324331794,0.05445089784034975,1.6135380490939457,0.5444219978968134,2.4247863190646206,-2.0196474606392205,0.23928704055878908,-0.24516135974618905,-0.6239286511282821
DET,Away,MIL,1.141749370873559,-2.151848475137969,0.7486795832453984,2.237853374598992,-2.1696491393633015,0.256215158005335,-0.7295812922341489,0.5067346497748035,2.7828100478513313,-1.1995423434898531,-1.397996839259273,-0.3081341147296257,-0.9577829918331646,-1.3929379787620733,-1.0848483080175189,1.3979129938110113,-1.5764468215473715,1.0035222615334194,-2.3674260819810193,-1.5004799428211641,1.0297570715124276,-0.24061508158447134,-0.3912404636903736,-2.401709114859905
DET,Home,PHI,-1.0035873946526415,-0.744345965974585,-0.17827304459113744,4.311813270512583,-1.231891370831102,0.11096739333275045,-0.22628655138704107,-0.10867901618568866,0.8138913879640769,-0.041829076249354176,-0.48437737388203483,-0.592841126691968,-0.49958827232449843,-0.5990565822047178,0.7514252505119665,-0.04115448836753138,-2.6296279065104042,-0.6343460096938524,0.29377540505644867,-0.09211618768375571,-0.7246799344067079,-0.490588269934996,2.1880699141453444,-0.285040879966145
